id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00018859,23,23,99
1,0.00010100,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00005939,23,23,1980
2,0.00329400,0.00000200,0.00001000,1.81818181818E-8,bnb,1,0,1,,23,22,-522
3,0.00410100,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00070080,22,22,1980
4,0.00329000,0.00000208,0.00001000,1E-8,srd,2,0,2,0.00500192,22,21,-513
5,0.00319400,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00006780,21,21,1980
6,0.00040100,0.00000344,0.00001000,1E-8,knapsack,4,0,2,0.00001995,21,18,-1737
7,0.00262000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00064580,18,18,1980
8,0.00100000,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00034452,18,17,-513
9,0.00650000,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00008592,18,17,-513
10,0.00014000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00017632,17,17,1980
11,0.00310000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00018580,24,24,1980
12,0.00010100,0.00002820,0.00020000,2.0E-7,srd,1,0,2,4.99987080,25,25,1980
13,0.00113200,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00218059,25,25,99
14,0.00010200,0.00002820,0.00020000,2.0E-7,srd,1,0,2,4.99974060,25,25,1980
15,0.00400000,0.00000547,0.00001000,1E-8,knapsack,7,0,2,5.00338563,31,25,-3573
16,0.00100000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,5.00235743,25,25,1980
17,0.00300000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,4.99935602,27,27,99
18,0.00665800,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,4.99266982,27,27,1980
19,0.00110000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,4.99156841,27,27,99
20,0.00090000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,4.99064021,27,27,1980
21,0.00110000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,4.98953880,27,27,99
22,0.00209300,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,4.98741760,27,27,1980
23,0.00332600,0.00000463,0.00001000,1.21522309711E-8,bnb,5,0,1,,27,22,-2979
24,0.00424600,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,4.98314340,22,22,1980
25,0.00333000,0.00000208,0.00001000,1E-8,srd,2,0,2,0.09666892,22,21,-513
26,0.00200000,0.00002820,0.00020000,2.0E-7,srd,1,0,2,4.98111520,21,21,1980
27,0.00337500,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00052359,21,21,99
28,0.00300000,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.09364072,21,21,1980
29,0.00294600,0.00000344,0.00001000,1E-8,knapsack,4,0,2,0.00002032,21,18,-1737
30,0.00332500,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00461859,19,19,99
31,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00126539,19,19,1980
32,0.00330000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00609859,19,19,99
33,0.00336300,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00270739,19,19,1980
34,0.00333400,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.99663780,22,22,1980
35,0.00030000,0.00000208,0.00001000,1E-8,srd,2,0,2,3.99971824,22,21,-513
36,0.00300100,0.00002820,0.00020000,2.0E-7,fifo,1,0,2,1.99697080,21,21,1980
37,0.00332900,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.01233280,22,22,1980
38,0.00332700,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00019451,22,21,-513
39,0.00332700,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.00964480,21,21,1980
40,0.00322700,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00047831,21,20,-513
41,0.00332000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00629660,20,20,1980
42,0.00198400,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.02298780,21,21,1980
43,0.00322000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00307519,21,21,99
44,0.00505500,0.00002820,0.00020000,2.0E-7,fifo,1,0,2,2.99491680,23,23,1980
45,0.00105000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00018719,24,24,1980
46,0.00020000,0.00000200,0.00001000,1.12994350282E-8,bnb,2,0,1,,24,22,-1202
47,0.00086900,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00210280,22,22,1980
48,0.00020400,0.00002820,0.00020000,2.0E-7,srd,1,0,2,0.00976780,23,23,1980
49,0.00322600,0.00000622,0.00001000,1.63254593176E-8,bnb,5,0,1,,23,18,-2820
50,0.00334300,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00639660,18,18,1980
51,0.00668000,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00278971,18,17,-513
52,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00644680,17,17,1980
53,0.00332500,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.00023163,17,16,-513
54,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00309360,16,16,1980
55,0.00332500,0.00000276,0.00001000,1E-8,knapsack,3,0,2,0.00018466,16,14,-1125
56,0.00300000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00697180,14,14,1368
57,0.00332700,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00364339,14,14,-513
58,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00029019,14,14,1368
59,0.00300000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00699859,14,14,-513
60,0.00332700,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00364339,14,14,1368
61,0.00332700,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00031498,14,14,-513
62,0.00332800,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00674380,14,14,1368
63,0.00332900,0.00000208,0.00001000,1E-8,knapsack,2,0,2,0.04772685,14,13,-1125
64,0.00333000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00338560,13,13,1368
65,0.00332500,0.00000208,0.00001000,1E-8,srd,2,0,2,1.99393391,13,12,-1125
66,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00003240,12,12,1368
67,0.00333500,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00899639,12,12,-513
68,0.00332500,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.00564319,12,12,1368
69,0.00332500,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00231678,12,12,-513
70,0.00300000,0.00002820,0.00020000,2.0E-7,knapsack,1,0,2,0.01995960,12,12,1368
71,0.00321200,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.01674619,12,12,-513
72,0.00200000,0.00000141,0.00001000,1E-8,knapsack,1,0,2,0.00031537,13,13,-513
