id,input_amounts
0,['0.00329000']
1,['0.00018859']
2,['0.00329600']
3,['0.00483000']
4,"['0.00329400', '0.00500000']"
5,['0.00329000']
6,"['0.00006780', '0.00005939', '0.00014860', '0.00014860']"
7,['0.00329400']
8,"['0.00070080', '0.00064580']"
9,"['0.00329400', '0.00329400']"
10,['0.00034452']
11,['0.00331400']
12,['5.00000000']
13,['0.00331400']
14,['4.99987080']
15,"['0.00017632', '0.00001995', '0.00018580', '0.00008592', '0.00218059', '0.00500192', '4.99974060']"
16,['5.00338563']
17,['5.00235743']
18,['4.99935602']
19,['4.99266982']
20,['4.99156841']
21,['4.99064021']
22,['4.98953880']
23,"['0.00010863', '0.00100000', '0.00010000', '0.00109000', '0.00103200']"
24,['4.98741760']
25,"['0.00000100', '0.10000000']"
26,['4.98314340']
27,['0.00390000']
28,['0.09666892']
29,"['0.00056976', '0.00100000', '0.00050000', '0.00090000']"
30,['0.00794500']
31,['0.00461859']
32,['0.00940000']
33,['0.00609859']
34,['1.00000000']
35,"['0.00002032', '4.00000000']"
36,['2.00000000']
37,['0.01569000']
38,"['0.00052359', '0.00300000']"
39,['0.01300000']
40,"['0.00100000', '0.00270739']"
41,['0.00964480']
42,['0.02500000']
43,['0.00629660']
44,['3.00000000']
45,['0.00126539']
46,"['0.00000200', '0.00020000']"
47,['0.00300000']
48,['0.01000000']
49,"['0.00210280', '0.00011000', '0.00019451', '0.00034660', '0.00047831']"
50,['0.00976780']
51,"['0.00307519', '0.00639660']"
52,['0.00980000']
53,"['0.00278971', '0.00076900']"
54,['0.00644680']
55,"['0.00023163', '0.00309360', '0.00018719']"
56,['0.01000000']
57,['0.00697180']
58,['0.00364339']
59,['0.01000000']
60,['0.00699859']
61,['0.00364339']
62,['0.01010000']
63,"['0.03535793', '0.01570000']"
64,['0.00674380']
65,"['0.00029019', '1.99697080']"
66,['0.00338560']
67,['0.01233280']
68,['0.00899639']
69,['0.00564319']
70,['0.02298780']
71,['0.01995960']
72,['0.00231678']
73,['0.01674619']
74,['0.01351799']
75,['0.01019158']
76,"['0.00031537', '0.00031498', '0.99663780']"
77,['0.00686338']
78,"['0.00100000', '0.04772685']"
79,['0.00350818']
80,['0.04538377']
81,['0.04202657']
82,['0.03269716']
83,['0.02936575']
84,['0.00910000']
85,['0.00577359']
86,['0.02601255']
87,['0.01714000']
88,['0.00274539']
89,['0.00553414']
90,['0.01538980']
91,['0.09364072']
92,"['0.00015298', '2.99491680']"
93,['0.01203660']
94,['4.98111520']
95,['0.00200840']
96,['0.00220273']
97,['0.00116387']
98,"['0.01490000', '0.00013567']"
99,"['0.99387239', '0.00020132']"
100,['0.00300000']
101,['0.00480000']
102,['0.00444318']
103,"['0.00100000', '0.00022559', '0.00097180', '0.00080000', '0.00000699']"
104,['3.99971824']
105,"['0.00003240', '0.00100000', '0.00100000', '0.00100000']"
106,"['0.00100000', '0.00100000']"
107,['0.07861252']
108,['0.00480000']
109,"['0.00300000', '0.00171142', '0.00018466', '0.00002896']"
110,['0.99207163']
111,['3.99869004']
