id,utxo_amounts
0,"['0.00331400', '0.00329000', '0.00329400', '0.00329000', '0.00500000', '0.10000000', '4.00000000', '0.00329600', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00329400', '0.00331400', '0.00483000', '0.00329400', '0.00014860', '0.00014860']"
1,"['0.00018859', '0.00331400', '0.00329000', '0.00329400', '0.00500000', '0.10000000', '4.00000000', '0.00329600', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00329400', '0.00331400', '0.00483000', '0.00329400', '0.00014860', '0.00014860']"
2,"['0.00331400', '0.00329000', '0.00329400', '0.00500000', '0.10000000', '4.00000000', '0.00329600', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00329400', '0.00331400', '0.00483000', '0.00005939', '0.00329400', '0.00014860', '0.00014860']"
3,"['0.00331400', '0.00329000', '0.00329400', '0.00500000', '0.10000000', '4.00000000', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00329400', '0.00331400', '0.00483000', '0.00005939', '0.00329400', '0.00014860', '0.00014860']"
4,"['0.00331400', '0.00329000', '0.00329400', '0.00070080', '0.00500000', '0.10000000', '4.00000000', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00329400', '0.00331400', '0.00005939', '0.00329400', '0.00014860', '0.00014860']"
5,"['0.00500192', '0.00331400', '0.00329000', '0.00329400', '0.00070080', '0.10000000', '4.00000000', '1.00000000', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00331400', '0.00005939', '0.00329400', '0.00014860', '0.00014860']"
6,"['0.00500192', '0.00331400', '0.00329400', '0.00070080', '0.10000000', '4.00000000', '1.00000000', '0.00006780', '5.00000000', '2.00000000', '0.00329400', '3.00000000', '0.01569000', '0.00794500', '0.01570000', '0.00940000', '0.00331400', '0.00005939', '0.00329400', '0.00014860', '0.00014860']"
7,"['0.00001995', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.00329400', '0.00331400', '0.01569000', '2.00000000', '5.00000000', '1.00000000', '4.00000000', '0.10000000', '0.00070080', '0.00329400', '0.00329400', '0.00331400', '0.00500192']"
8,"['0.00001995', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.00064580', '0.00329400', '0.00331400', '0.01569000', '2.00000000', '5.00000000', '1.00000000', '4.00000000', '0.10000000', '0.00070080', '0.00329400', '0.00331400', '0.00500192']"
9,"['0.00010000', '0.00034452', '0.00001995', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.00329400', '0.00331400', '0.01569000', '2.00000000', '5.00000000', '1.00000000', '4.00000000', '0.10000000', '0.00329400', '0.00331400', '0.00500192']"
10,"['0.00010000', '0.00034452', '0.00001995', '0.00008592', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.00331400', '0.01569000', '2.00000000', '5.00000000', '1.00000000', '4.00000000', '0.10000000', '0.00331400', '0.00500192']"
11,"['0.01000000', '0.00390000', '0.00050000', '0.01000000', '0.00010000', '0.01010000', '0.00017632', '0.00001995', '0.00008592', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.00331400', '0.01569000', '2.00000000', '5.00000000', '0.00980000', '1.00000000', '4.00000000', '0.02500000', '0.10000000', '0.00331400', '0.00500192']"
12,"['0.00018580', '0.01000000', '0.00390000', '0.00050000', '0.01000000', '0.00010000', '0.01010000', '0.00017632', '0.00001995', '0.00109000', '0.00008592', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.01569000', '2.00000000', '5.00000000', '0.00980000', '1.00000000', '4.00000000', '0.02500000', '0.10000000', '0.00331400', '0.00500192']"
13,"['4.99987080', '0.00018580', '0.01000000', '0.00390000', '0.00050000', '0.01000000', '0.00010000', '0.01010000', '0.00017632', '0.00001995', '0.00109000', '0.00008592', '0.00940000', '0.01570000', '0.00794500', '3.00000000', '0.01569000', '2.00000000', '0.00980000', '1.00000000', '4.00000000', '0.02500000', '0.10000000', '0.00331400', '0.00500192']"
14,"['4.99987080', '0.00018580', '0.01000000', '0.00390000', '0.00050000', '0.01000000', '0.00010000', '0.01010000', '0.00017632', '0.00001995', '0.00109000', '0.00008592', '0.00940000', '0.01570000', '0.00218059', '0.00794500', '3.00000000', '0.01569000', '2.00000000', '0.00980000', '1.00000000', '4.00000000', '0.02500000', '0.10000000', '0.00500192']"
