id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5705
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,5197
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01234529,22,22,4875
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5160
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00607372,22,22,3160
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,2.99678910,22,22,1799
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,2308
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,22,22,2671
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01131809,22,22,2522
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00916343,23,23,2477
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,23,23,1678
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00017883,30,30,1397
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,2496
13,0.00113200,0.00002890,0.00020493,0.000206428571429,srd,1,0,2,0.00863910,31,31,2642
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,924
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00726996,36,36,3992
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1937
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,0.99704302,37,36,9022
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00191345,36,36,5363
