id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.01570000']
3,['0.00483000']
4,['0.00940000']
5,['3.00000000']
6,['0.00066424']
7,['0.00312770']
8,['0.01234529']
9,['0.01569000']
10,['0.00023909']
11,['0.00329000']
12,['0.00014860']
13,['0.00980000']
14,['0.00011747']
15,['0.01131809']
16,['0.00103200']
17,"['0.00014860', '1.00000000']"
18,['0.00863910']
19,"['0.00191345', '0.00050000']"
20,['0.00100000']
21,['0.99704302']
22,['0.00331400']
23,['0.00794500']
24,['0.01000000']
25,['0.00390000']
26,['0.02500000']
27,"['0.00010000', '0.00329600']"
28,['0.02297728']
29,"['0.00331400', '5.00000000']"
30,['0.99586038']
31,['4.00000000']
32,"['0.00002077', '0.00329400']"
33,"['0.00008392', '0.00329400']"
34,"['0.00017883', '0.00090000', '0.00109000', '0.00117491']"
35,['0.00047838']
36,['0.00916343']
37,['3.99665865']
38,['0.99251887']
39,['2.00000000']
40,['0.00458613']
41,['0.01000000']
42,['0.01000000']
43,"['0.00056976', '0.00135370', '0.00100000', '0.00020000', '0.00010863']"
44,['0.00615794']
45,['0.00109927']
46,['0.00726996']
47,['0.00100000']
48,['3.99332557']
49,"['0.00011000', '0.00300000', '0.00012652']"
50,['0.01996328']
51,['0.01010000']
52,"['0.00329400', '0.00004273']"
53,['0.01300000']
54,['0.00607372']
55,['2.99678910']
56,['0.00667425']
57,"['0.00300000', '0.00500000']"
58,['0.00341533']
59,['0.00573006']
60,['0.00706471']
61,['0.98918849']
62,['0.03535793']
63,['2.99346048']
64,['0.01661620']
65,['0.00466719']
66,['0.01328059']
67,['2.99012753']
68,"['0.00274413', '0.00133717']"
69,['5.00035701']
70,['0.00966386']
71,"['0.00008543', '0.00017263', '0.00367012']"
72,['0.98585686']
73,['0.03202451']
74,['3.99311833']
75,['0.00801140']
76,"['0.00373168', '1.99666975']"
77,['2.98678829']
78,"['0.00075022', '0.00100000', '0.98384658']"
79,['0.98224268']
80,['0.00995188']
81,"['0.00666003', '0.00470698']"
82,['0.02881496']
83,['1.99700055']
84,['1.99366544']
85,['0.00910000']
86,['3.98978756']
87,"['0.00203272', '0.00076900']"
88,['0.01714000']
89,['0.00661744']
90,['4.99702849']
91,"['4.99369756', '0.00034660']"
92,['0.00107434']
93,"['1.99033119', '0.00119083']"
94,"['0.00609255', '0.00116387']"
95,['0.00272563']
96,['3.96930483']
97,['1.98151686']
98,"['2.98345475', '0.00480000']"
99,['4.97903881']
100,"['0.00524505', '0.00072100']"
101,['0.97890854']
102,['2.97323670']
103,['0.01780000']
104,['4.97702741']
105,"['1.98049894', '0.00300000']"
106,['0.00390000']
107,"['0.00080000', '0.00236318']"
108,['0.00104828']
109,['0.01450000']
110,['0.00200000']
111,['0.00054522']
112,['0.00480000']
113,['0.01109159']
114,['0.00798369']
115,"['0.00004023', '0.00100000']"
116,['0.97432670']
117,['0.00800000']
118,"['0.00790000', '0.00100000']"
119,['0.97061113']
120,['0.01490000']
121,"['0.00008000', '0.00957424']"
122,"['0.00332484', '0.00006000']"
123,"['0.00785624', '0.00065998']"
124,"['0.00800000', '0.00001914']"
125,"['0.00006080', '0.96760551']"
126,"['0.00070486', '0.00169500', '0.01000000', '0.00261576']"
127,['0.00500000']
128,['0.00464370']
129,['0.00395520']
130,['0.01000000']
131,"['0.00040000', '0.00480000', '0.00091371']"
132,"['0.00454585', '0.00107722', '0.00072739']"
133,"['0.00370000', '0.00389102', '0.00341677']"
134,['2.97123250']
135,['0.95765003']
136,['2.96847675']
137,"['0.00004458', '0.01448214']"
138,['0.00171142']
139,"['0.00120000', '0.00163049']"
140,"['0.03000000', '0.01251902']"
141,['0.94764575']
142,['0.02951584']
143,['0.00049540']
144,['0.00290000']
145,['4.97601993']
146,"['0.00025639', '0.00078817', '0.00200000']"
147,['0.00300000']
148,"['0.00444318', '0.00122015', '0.00010000']"
149,"['0.00592000', '0.00299529', '0.00089442']"
150,"['0.00228044', '0.00564652', '0.00180000']"
151,"['0.00213902', '0.03500000', '0.00007111', '0.01680000', '0.00500000']"
152,"['0.00069882', '0.00133049']"
153,['2.95847041']
154,"['0.00090000', '0.01000000']"
155,['0.00500000']
156,"['0.94563866', '0.00490000', '0.00980000']"
157,['0.00464708']
158,['0.00087643']
