id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5705
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,4.99983370,22,22,5197
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,1.99664529,22,22,4875
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5160
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00167372,22,22,3160
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1799
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,4.99940855,22,22,2308
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,1.99399597,22,22,2671
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99838135,22,22,2522
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00916343,23,23,2477
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00778983,23,23,1678
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,30,30,1397
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,2496
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00883910,31,31,2642
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,924
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00374170,36,36,3992
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1937
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.99692843,37,37,5638
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00243778,37,37,5363
19,0.00110000,0.00012262,0.00058951,0.000589519230769,srd,2,0,2,2.99885648,37,36,10390
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,7125
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.02381736,35,35,6415
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00117491,35,35,3849
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,0.00699527,35,34,4439
24,0.00424600,0.00004800,0.00016975,0.000195918367347,bnb,3,0,1,,34,31,3883
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,2.99550170,31,31,2352
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.01367728,31,31,2208
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,31,29,2173
28,0.00300000,0.00002065,0.00009927,0.0000992788461538,srd,2,0,2,2.99266388,29,28,2204
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srd,2,0,2,3.99813301,28,27,1428
30,0.00332500,0.00002436,0.00011709,0.000117115384615,srd,2,0,2,2.99261052,28,27,2501
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.99358708,27,27,1761
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,27,26,1064
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.01030317,26,26,1393
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srd,1,0,2,3.99479486,29,29,905
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,29,29,1016
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srd,1,0,2,0.00699451,29,29,928
37,0.00332900,0.00000896,0.00002890,0.0000365714285714,bnb,3,0,1,,30,27,570
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srd,1,0,2,1.99066559,27,27,850
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,3.99146461,27,27,841
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00006157,27,27,994
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,0.00551335,27,27,1017
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srd,1,0,2,0.00801140,28,28,936
43,0.00322000,0.00001094,0.00002925,0.0000349520766773,bnb,4,0,1,,28,24,699
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,srd,1,0,2,0.00794133,26,26,870
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00011837,27,27,1072
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,srd,1,0,2,0.00678926,27,27,981
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00012652,27,27,928
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srd,1,0,2,3.99125737,28,28,840
49,0.00322600,0.00001052,0.00003136,0.0000429387755102,bnb,3,0,1,,28,25,716
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00039462,25,25,899
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,srd,1,0,2,0.00132673,25,25,941
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srd,1,0,2,0.00607003,25,25,962
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,3.98792123,25,25,1394
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,srd,1,0,2,0.00366568,25,25,935
55,0.00332500,0.00000707,0.00002561,0.0000256159420290,srd,3,0,2,0.00481331,25,23,1081
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,srd,1,0,2,0.00493720,23,23,903
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00033474,23,23,889
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,srd,1,0,2,0.03202803,23,23,957
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,srd,1,0,2,1.98766116,23,23,924
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,srd,1,0,2,0.00273700,23,23,1036
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,srd,1,0,2,0.02048573,23,23,934
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,srd,2,0,2,0.00688238,23,22,1181
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,srd,1,0,2,0.00160425,22,22,886
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,srd,1,0,2,0.00147770,22,22,1003
65,0.00332500,0.00001417,0.00003559,0.0000452715654952,bnb,4,0,1,,22,18,995
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,srd,1,0,2,0.01715702,18,18,409
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,srd,1,0,2,0.00056076,18,18,447
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,srd,1,0,2,0.00355326,18,18,424
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,srd,1,0,2,0.00697465,18,18,382
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,srd,1,0,2,3.98491740,18,18,418
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,srd,1,0,2,3.98169961,18,18,555
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,srd,1,0,2,2.99060024,19,19,870
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,srd,1,0,2,0.00357971,19,19,819
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,srd,1,0,2,3.97836884,19,19,554
75,0.00330000,0.00000651,0.00003128,0.0000312980769231,srd,2,0,2,0.00382646,19,18,603
76,0.00339300,0.00000788,0.00003786,0.0000378846153846,srd,2,0,2,0.01410274,18,17,713
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,srd,1,0,2,4.99504781,17,17,606
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,srd,1,0,2,0.99023937,17,17,642
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,srd,1,0,2,4.99171367,17,17,672
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,srd,1,0,2,2.98726580,18,18,566
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,srd,1,0,2,1.97832890,18,18,483
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,srd,1,0,2,2.98392807,19,19,726
83,0.00332500,0.00001491,0.00007168,0.0000716826923077,srd,2,0,2,2.98219241,19,18,1314
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,srd,1,0,2,4.98837942,18,18,833
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,srd,1,0,2,2.97918496,18,18,707
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,srd,1,0,2,0.96975664,18,18,596
87,0.00172200,0.00000538,0.00002583,0.0000258653846154,srd,2,0,2,0.01618162,18,17,574
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00007914,18,18,761
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00048896,18,18,736
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,knapsack,1,0,2,0.00364372,18,18,543
91,0.01500000,0.00000535,0.00002572,0.0000257211538462,srd,2,0,2,0.95575129,19,18,571
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,srd,1,0,2,0.95474806,18,18,353
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,srd,1,0,2,4.97837592,18,18,372
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,srd,1,0,2,0.00163601,21,21,668
95,0.00200000,0.00000683,0.00003280,0.0000328365384615,srd,2,0,2,0.01258487,21,20,608
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,srd,1,0,2,4.97636538,23,23,867
97,0.00100000,0.00001792,0.00012707,0.000127092198582,knapsack,1,0,2,0.00014595,23,23,1385
98,0.01500000,0.00001224,0.00008674,0.0000868085106383,srd,1,0,2,0.01498776,26,26,1014
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srd,1,0,2,2.97717356,26,26,948
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,srd,1,0,2,1.97632155,26,26,664
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,srd,1,0,2,0.01321816,26,26,791
102,0.00200000,0.00000420,0.00002977,0.0000297872340426,srd,1,0,2,2.97516936,36,36,489
103,0.00300000,0.00000714,0.00003429,0.0000343269230769,srd,2,0,2,0.01121102,38,37,716
104,0.00100000,0.00000748,0.00005302,0.0000530496453901,srd,1,0,2,0.01389252,41,41,735
105,0.00300000,0.00000951,0.00004568,0.0000457211538462,srd,2,0,2,2.97315985,41,40,905
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,srd,1,0,2,0.01345094,41,41,746
107,0.00210000,0.00001010,0.00007160,0.0000716312056738,srd,1,0,2,0.00288990,45,45,918
108,0.00100000,0.00000675,0.00002624,0.0000275510204082,bnb,3,0,1,,48,45,360
109,0.00492000,0.00000849,0.00004079,0.0000408173076923,srd,2,0,2,0.00467151,47,46,824
110,0.00110000,0.00000558,0.00003952,0.0000395744680851,srd,1,0,2,0.01507604,48,48,601
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00005577,49,49,559
112,0.00413200,0.00001183,0.00005686,0.000056875000,srd,2,0,2,0.00575617,51,50,1091
113,0.00310000,0.00000790,0.00005597,0.0000560283687943,srd,1,0,2,0.00599210,50,50,763
114,0.00536100,0.00001021,0.00004908,0.0000490865384615,srd,2,0,2,0.00093546,53,52,961
115,0.00100000,0.00001430,0.00010135,0.000101418439716,srd,1,0,2,0.00698570,52,52,1213
116,0.00370900,0.00000968,0.00004653,0.0000465384615385,srd,2,0,2,0.00497844,53,52,919
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,srd,1,0,2,0.01330718,53,53,1175
118,0.00556800,0.00000485,0.00003438,0.0000343971631206,srd,1,0,2,0.00551874,53,53,549
119,0.00300000,0.00000829,0.00003981,0.0000398557692308,srd,2,0,2,0.00799171,64,63,806
120,0.00924800,0.00001060,0.00003883,0.0000432653061224,bnb,3,0,1,,65,62,692
121,0.00500000,0.00001189,0.00003440,0.0000379872204473,bnb,4,0,1,,65,61,772
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,srd,1,0,2,0.01051000,62,62,736
123,0.00850000,0.00001232,0.00008736,0.0000873758865248,srd,1,0,2,0.00148768,62,62,1073
124,0.00800000,0.00001483,0.00010512,0.000105177304965,srd,1,0,2,0.94673323,63,63,1248
125,0.01000000,0.00001628,0.00007824,0.0000782692307692,srd,2,0,2,0.00057523,63,62,1448
126,0.01500500,0.00000818,0.00003228,0.0000333877551020,bnb,3,0,1,,62,59,478
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,srd,1,0,2,1.97431684,59,59,538
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,srd,1,0,2,0.00165050,59,59,593
129,0.00321900,0.00001299,0.00006243,0.0000624519230769,srd,2,0,2,2.96998363,60,59,1183
130,0.00610000,0.00001324,0.00006365,0.0000636538461538,srd,2,0,2,0.00089318,59,58,1203
131,0.00610000,0.00001371,0.00005371,0.0000559591836735,bnb,3,0,1,,58,55,941
132,0.00634000,0.00001050,0.00003869,0.0000428571428571,bnb,3,0,1,,55,52,683
133,0.01100000,0.00000416,0.00002945,0.0000295035460993,srd,1,0,2,1.96331268,57,57,500
134,0.00275200,0.00000762,0.00002653,0.0000311020408163,bnb,3,0,1,,57,54,446
135,0.01000000,0.00000428,0.00003034,0.0000303546099291,srd,1,0,2,0.02499572,58,58,509
136,0.01000000,0.00001425,0.00004493,0.0000455271565495,bnb,4,0,1,,58,54,964
137,0.00200000,0.00000522,0.00003700,0.0000370212765957,srd,1,0,2,0.01130196,56,56,502
138,0.00170000,0.00000803,0.00003860,0.0000386057692308,srd,2,0,2,0.02428769,56,55,713
139,0.00160000,0.00000701,0.00004970,0.0000497163120567,srd,1,0,2,0.00739299,55,55,628
140,0.01299400,0.00001202,0.00004410,0.0000490612244898,bnb,3,0,1,,58,55,812
141,0.00200000,0.00000709,0.00005024,0.0000502836879433,srd,1,0,2,0.94472614,55,55,644
142,0.00200000,0.00000570,0.00004039,0.0000404255319149,srd,1,0,2,2.96797793,57,57,547
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,knapsack,1,0,2,0.00004086,61,61,746
144,0.00210000,0.00001183,0.00008384,0.0000839007092199,srd,1,0,2,0.00668817,63,63,977
145,0.00925000,0.00000637,0.00004511,0.0000451773049645,srd,1,0,2,3.96911247,63,63,593
146,0.00303500,0.00000493,0.00003491,0.0000349645390071,srd,1,0,2,0.00364824,63,63,493
147,0.00166400,0.00000551,0.00003901,0.0000390780141844,srd,1,0,2,0.00733049,63,63,533
148,0.00575300,0.00000797,0.00003829,0.0000383173076923,srd,2,0,2,0.00644099,64,63,719
149,0.00980100,0.00000719,0.00003453,0.0000345673076923,srd,2,0,2,2.96556273,63,62,656
150,0.00971900,0.00000729,0.00002813,0.0000297551020408,bnb,3,0,1,,63,60,406
151,0.05900000,0.00000359,0.00002542,0.0000254609929078,srd,1,0,2,0.88572255,67,67,398
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srd,1,0,2,2.96353993,69,69,1748
153,0.05000000,0.00002685,0.00007372,0.0000857827476038,bnb,4,0,1,,69,65,2103
154,0.00997000,0.00000978,0.00006934,0.0000693617021277,srd,1,0,2,3.95913269,65,65,833
155,0.00320000,0.00000656,0.00004649,0.0000465248226950,srd,1,0,2,0.00559344,69,69,608
156,0.12100000,0.00001798,0.00003470,0.0000348449612403,bnb,7,0,1,,71,64,1176
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,srd,1,0,2,0.00142790,67,67,505
158,0.00084400,0.00000524,0.00003713,0.0000371631205674,srd,1,0,2,0.00879062,67,67,515
159,0.10000000,0.00000679,0.00003264,0.0000326442307692,srd,2,0,2,4.87643773,68,67,635
160,0.10000000,0.00001996,0.00005382,0.0000637699680511,bnb,4,0,1,,72,68,1497
161,0.10000000,0.00001232,0.00003581,0.0000358139534884,srd,4,0,2,0.80551023,68,65,1041
162,0.00500000,0.00000680,0.00004821,0.0000482269503546,srd,1,0,2,0.00499320,72,72,635
163,0.00400000,0.00000615,0.00004358,0.0000436170212766,srd,1,0,2,0.00857872,75,75,590
164,0.00500000,0.00000758,0.00005369,0.0000537588652482,srd,1,0,2,0.04499242,75,75,690
165,0.00500000,0.00000495,0.00003510,0.0000351063829787,srd,1,0,2,0.05499505,75,75,505
166,0.00069400,0.00000600,0.00002785,0.0000545454545455,bnb,1,0,1,,75,74,415
167,0.00300000,0.00000520,0.00003686,0.0000368794326241,srd,1,0,2,0.00163850,78,78,523
168,0.01000000,0.00000383,0.00002715,0.0000271631205674,srd,1,0,2,0.03498859,78,78,427
169,0.00100000,0.00000295,0.00002086,0.0000209219858156,srd,1,0,2,4.87543478,78,78,364
170,0.01003000,0.00000850,0.00003252,0.0000346938775510,bnb,3,0,1,,80,77,509
171,0.00137000,0.00000549,0.00003889,0.0000389361702128,srd,1,0,2,0.00125789,77,77,555
172,0.00126800,0.00001200,0.00004999,0.0000677966101695,bnb,2,0,1,,77,75,854
173,0.00450000,0.00000384,0.00002717,0.0000272340425532,srd,1,0,2,0.04549616,76,76,439
174,0.00500000,0.00000618,0.00004376,0.0000438297872340,srd,1,0,2,0.01489382,78,78,603
175,0.01020000,0.00001000,0.00005221,0.0000564971751412,bnb,2,0,1,,78,76,644
176,0.01020000,0.00000627,0.00004442,0.0000444680851064,srd,1,0,2,0.00479373,77,77,598
177,0.01050000,0.00000553,0.00003917,0.0000392198581560,srd,1,0,2,0.02949447,78,78,546
178,0.01063000,0.00004894,0.00034704,0.000347092198582,srd,1,0,2,0.08912106,79,79,3593
179,0.00030000,0.00006414,0.00045489,0.000454893617021,srd,1,0,2,0.00563586,79,79,4662
180,0.00030000,0.00006653,0.00047184,0.000471843971631,srd,1,0,2,0.00463347,79,79,4829
181,0.01030000,0.00005639,0.00022818,0.000230163265306,bnb,3,0,1,,81,78,4476
182,0.01080000,0.00004504,0.00031942,0.000319432624113,srd,1,0,2,0.03465112,80,80,3321
183,0.01030000,0.00005981,0.00042412,0.000424184397163,srd,1,0,2,0.07876125,81,81,4357
184,0.01110000,0.00003621,0.00025680,0.000256808510638,srd,1,0,2,1.95217647,82,82,2701
185,0.00020000,0.00007868,0.00055797,0.000558014184397,knapsack,1,0,2,0.00012132,83,83,5682
186,0.00062000,0.00012365,0.00087693,0.000876950354610,knapsack,1,0,2,0.00010035,83,83,8840
187,0.01100000,0.00020000,0.00108256,0.00112994350282,bnb,2,0,1,,84,82,15317
188,0.01410000,0.00008029,0.00056942,0.000569432624113,srd,1,0,2,0.08571971,84,84,5796
189,0.01110000,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,1.94101117,85,85,4742
190,0.00200000,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.02264566,86,86,4683
191,0.00210000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.00287068,89,89,2265
192,0.01210000,0.00002913,0.00020656,0.000206595744681,srd,1,0,2,0.06663212,90,90,2252
193,0.01100000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,0.80447104,90,89,3284
194,0.00200000,0.00002579,0.00018288,0.000182907801418,srd,1,0,2,0.00596592,96,96,2017
195,0.00110000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,0.00188883,96,96,980
196,0.01552400,0.00005444,0.00020493,0.000222204081633,bnb,3,0,1,,98,95,4379
197,0.00100000,0.00001771,0.00012556,0.000125602836879,srd,1,0,2,0.00078229,97,97,1450
198,0.00125100,0.00005819,0.00041264,0.000412695035461,srd,1,0,2,0.00432667,99,99,4292
199,0.01896200,0.00006560,0.00046520,0.000465248226950,srd,1,0,2,0.05121740,99,99,4802
200,0.00200000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00370804,99,99,3575
201,0.00761500,0.00009424,0.00066830,0.000668368794326,srd,1,0,2,1.93330193,105,105,6812
202,0.00020000,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00975391,106,106,3432
203,0.02767100,0.00006724,0.00023312,0.000274448979592,bnb,3,0,1,,106,103,5540
204,0.00100000,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00897606,103,103,1877
205,0.01310600,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.02185987,104,104,1791
206,0.01890200,0.00001932,0.00006024,0.0000617252396166,bnb,4,0,1,,107,103,1406
207,0.01400000,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00105953,103,103,1355
208,0.00400000,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00398365,103,103,1344
209,0.00100000,0.00000897,0.00006361,0.0000636170212766,srd,1,0,2,0.00796709,103,103,826
