Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19447278,56.3960000000,87,267,369,233,0,189,bnb: **44** ; Total: **44**,0.00002077,4.99983370,0.934408325185,1.55151117735,0.00438689,0.0000188278540773,0.000591600000,0.004978490000,1,7,1.58369098712,1.10371243786,knapsack: **19** ; srd: **170** ; bnb: **44**
bustabit-tiny-hot-wallet_peak-and-tail,23.92767919,94.5090000000,191,594,701,406,0,298,bnb: **108** ; Total: **108**,0.00001097,8.80479045,0.826261093893,1.56479434184,0.00764498,0.00001883,0.00129880000,0.00894378000,1,8,1.72660098522,1.22187137324,knapsack: **20** ; srd: **278** ; bnb: **108**
bustabit-tiny-hot-wallet_peak-and-tail,27.28390179,151.492666667,353,961,967,539,0,359,bnb: **177** ; knapsack: **3** ; Total: **180**,0.00000459,8.80479045,0.734524952730,1.50769213552,0.01070321,0.0000198575324675,0.00240040000,0.01310361000,1,8,1.79406307978,1.18709056871,knapsack: **26** ; srd: **336** ; bnb: **177**
bustabit-tiny-hot-wallet_peak-and-tail,19.66868912,217.076000000,422,1316,1318,684,0,424,bnb: **255** ; knapsack: **5** ; Total: **260**,0.00000459,9.89997280,0.674628579858,1.54437243645,0.01313503,0.0000192032602339,0.00286960000,0.01600463000,1,13,1.92690058480,1.36272540910,knapsack: **33** ; srd: **396** ; bnb: **255**
bustabit-tiny-hot-wallet_peak-and-tail,26.29638360,252.528400000,385,1682,1775,818,0,478,bnb: **335** ; knapsack: **5** ; Total: **340**,0.00000459,9.89997280,0.610340847803,1.48051565614,0.01797743,0.0000219772982885,0.00261800000,0.02059543000,1,90,2.16992665037,3.45833394553,knapsack: **38** ; srd: **445** ; bnb: **335**
bustabit-tiny-hot-wallet_peak-and-tail,18.38008787,271.513666667,344,2008,2232,992,0,568,bnb: **416** ; knapsack: **8** ; Total: **424**,0.00000351,9.89997280,0.568807371356,1.46407829690,0.02271960,0.0000229028225806,0.00233920000,0.02505880000,1,90,2.25,3.26681013160,knapsack: **52** ; srd: **524** ; bnb: **416**
bustabit-tiny-hot-wallet_peak-and-tail,26.40386094,286.528285714,443,2415,2572,1085,0,600,bnb: **475** ; knapsack: **10** ; Total: **485**,0.00000351,9.89997280,0.56102047105,1.44711509151,0.02452960,0.0000226079262673,0.00301240000,0.02754200000,1,90,2.37050691244,3.26519386545,knapsack: **59** ; srd: **551** ; bnb: **475**
bustabit-tiny-hot-wallet_peak-and-tail,23.47185727,311.840500000,517,2818,2937,1182,0,636,bnb: **535** ; knapsack: **11** ; Total: **546**,0.00000351,9.89997280,0.532813764607,1.41078524520,0.02712860,0.0000229514382403,0.00351560000,0.03064420000,1,90,2.48477157360,3.31435513302,knapsack: **75** ; srd: **572** ; bnb: **535**
bustabit-tiny-hot-wallet_peak-and-tail,15.35484043,332.021333333,340,3213,3566,1287,0,693,bnb: **581** ; knapsack: **13** ; Total: **594**,0.00000351,9.89997280,0.495151665166,1.35839221235,0.03132351,0.0000243383916084,0.00231200000,0.03363551000,1,90,2.77078477078,4.48839712956,knapsack: **97** ; srd: **609** ; bnb: **581**
bustabit-tiny-hot-wallet_peak-and-tail,15.77869541,328.513200000,325,3571,4026,1429,0,780,bnb: **630** ; knapsack: **19** ; Total: **649**,0.00000351,9.89997280,0.463009724731,1.28776921140,0.03434110,0.0000240315605318,0.00221000000,0.03655110000,1,90,2.81735479356,4.37408090395,knapsack: **124** ; srd: **675** ; bnb: **630**
bustabit-tiny-hot-wallet_peak-and-tail,22.01491841,317.581636364,242,3938,4556,1562,0,860,bnb: **679** ; knapsack: **23** ; Total: **702**,0.00000351,9.98999606,0.490402129651,1.36784194743,0.03804930,0.0000243593469910,0.00164560000,0.03969490000,1,90,2.91677336748,4.62128743857,knapsack: **142** ; srd: **741** ; bnb: **679**
bustabit-tiny-hot-wallet_peak-and-tail,20.44213893,309.504500000,234,4278,4995,1722,0,951,bnb: **744** ; knapsack: **27** ; Total: **771**,0.00000351,9.98999606,0.470893225205,1.34074151307,0.04152471,0.0000241142334495,0.00159120000,0.04311591000,1,90,2.90069686411,4.44110659110,knapsack: **161** ; srd: **817** ; bnb: **744**
bustabit-tiny-hot-wallet_peak-and-tail,20.92050542,305.890923077,305,4650,5364,1850,0,1019,bnb: **803** ; knapsack: **28** ; Total: **831**,0.00000351,9.98999606,0.451603217586,1.29988045707,0.04449916,0.0000240536,0.00207400000,0.04657316000,1,90,2.89945945946,4.34524783221,knapsack: **171** ; srd: **876** ; bnb: **803**
bustabit-tiny-hot-wallet_peak-and-tail,27.28134382,304.268285714,285,4990,5804,2010,0,1099,bnb: **881** ; knapsack: **30** ; Total: **911**,0.00000351,9.98999606,0.427672548553,1.25872121071,0.04833387,0.0000240467014925,0.00193800000,0.05027187000,1,90,2.88756218905,4.20531964510,knapsack: **179** ; srd: **950** ; bnb: **881**
bustabit-tiny-hot-wallet_peak-and-tail,16.99635452,304.273466667,255,5335,6259,2165,0,1179,bnb: **955** ; knapsack: **31** ; Total: **986**,0.00000351,9.98999606,0.407054631009,1.22679686409,0.05107826,0.0000235927297921,0.00173400000,0.05281226000,1,90,2.89099307159,4.11493124286,knapsack: **183** ; srd: **1027** ; bnb: **955**
bustabit-tiny-hot-wallet_peak-and-tail,12.91527238,295.012500000,122,5654,6831,2346,0,1299,bnb: **1014** ; knapsack: **33** ; Total: **1047**,0.00000351,9.98999606,0.432308370408,1.27345232712,0.05589538,0.0000238258226769,0.000829600000,0.056724980000,1,90,2.91176470588,4.11926335840,knapsack: **194** ; srd: **1138** ; bnb: **1014**
bustabit-tiny-hot-wallet_peak-and-tail,26.62150577,284.845529412,164,5963,7228,2537,0,1429,bnb: **1072** ; knapsack: **36** ; Total: **1108**,0.00000351,9.98999606,0.422674381176,1.25371421262,0.06050534,0.0000238491683090,0.00111520000,0.06162054000,1,90,2.84903429247,3.98979277972,knapsack: **203** ; srd: **1262** ; bnb: **1072**
bustabit-tiny-hot-wallet_peak-and-tail,15.60829413,280.298555556,228,6278,7597,2722,0,1547,bnb: **1138** ; knapsack: **37** ; Total: **1175**,0.00000351,9.98999606,0.401187449321,1.20907948209,0.06386177,0.0000234613409258,0.00155040000,0.06541217000,1,90,2.79096252755,3.87663766905,knapsack: **206** ; srd: **1378** ; bnb: **1138**
bustabit-tiny-hot-wallet_peak-and-tail,19.57721467,277.302421053,234,6573,8022,2927,0,1683,bnb: **1206** ; knapsack: **38** ; Total: **1244**,0.00000351,9.98999606,0.379703854534,1.16477068779,0.06771098,0.0000231332353946,0.00159120000,0.06930218000,1,90,2.74069012641,3.76297862550,knapsack: **222** ; srd: **1499** ; bnb: **1206**
bustabit-tiny-hot-wallet_peak-and-tail,13.42831690,276.345100000,272,6892,8418,3108,0,1798,bnb: **1270** ; knapsack: **40** ; Total: **1310**,0.00000351,9.98999606,0.362626771652,1.13032701550,0.07156532,0.0000230261647362,0.00184960000,0.07341492000,1,90,2.70849420849,3.67306919617,knapsack: **246** ; srd: **1592** ; bnb: **1270**
bustabit-tiny-hot-wallet_peak-and-tail,13.06801119,268.687523810,66,7193,9076,3307,0,1949,bnb: **1316** ; knapsack: **42** ; Total: **1358**,0.00000351,9.99489343,0.398046929318,1.21352753605,0.07585668,0.0000229382159057,0.000448800000,0.076305480000,1,90,2.74448140308,4.11528831782,knapsack: **282** ; srd: **1709** ; bnb: **1316**
bustabit-tiny-hot-wallet_peak-and-tail,12.20412303,261.377454545,145,7533,9442,3467,0,2054,bnb: **1370** ; knapsack: **43** ; Total: **1413**,0.00000351,9.99489343,0.395134842999,1.20117939621,0.07990183,0.0000230463888088,0.000986000000,0.080887830000,1,90,2.72339198154,4.03489299560,knapsack: **298** ; srd: **1799** ; bnb: **1370**
bustabit-tiny-hot-wallet_peak-and-tail,27.27017333,258.055913043,260,7877,9773,3623,0,2156,bnb: **1423** ; knapsack: **44** ; Total: **1467**,0.00000351,9.99489343,0.386232017365,1.18220726209,0.08258860,0.0000227956389732,0.00176800000,0.08435660000,1,90,2.69748826939,3.96089551780,knapsack: **308** ; srd: **1892** ; bnb: **1423**
bustabit-tiny-hot-wallet_peak-and-tail,15.42778850,258.934250000,160,8204,10310,3796,0,2266,bnb: **1483** ; knapsack: **47** ; Total: **1530**,0.00000351,9.99489343,0.374257848151,1.16008515409,0.08566509,0.0000225671996839,0.00108800000,0.08675309000,1,90,2.71601685985,3.98719512280,knapsack: **325** ; srd: **1988** ; bnb: **1483**
bustabit-tiny-hot-wallet_peak-and-tail,24.52325208,257.147840000,249,8541,10659,3959,0,2367,bnb: **1540** ; knapsack: **52** ; Total: **1592**,0.00000351,9.99489343,0.369478949447,1.14770523941,0.08967375,0.0000226506062137,0.00169320000,0.09136695000,1,90,2.69234655216,3.91868066262,knapsack: **340** ; srd: **2079** ; bnb: **1540**
