id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5705
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,1.99983370,22,22,5197
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00459029,22,22,4875
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00042453,22,22,5160
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01237372,22,22,3160
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1799
6,0.00040100,0.00002353,0.00017125,0.000213909090909,bnb,1,0,1,,22,21,1565
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2671
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,21,21,2522
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,0.00929941,22,21,3690
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,4.99984483,21,21,1678
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,1.99672253,28,28,1397
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,2496
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00366910,29,29,2642
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,29,28,924
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00832559,34,34,3992
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1937
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,0.00350242,35,34,9022
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00257376,34,34,5363
19,0.00110000,0.00012262,0.00058951,0.000589519230769,srd,2,0,2,0.00213418,34,33,10390
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,7125
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00139112,32,32,6415
22,0.00209300,0.00004118,0.00032686,0.000374363636364,bnb,1,0,1,,32,31,2677
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.99664113,31,31,2921
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00581869,31,30,3381
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00164522,30,30,2352
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00737728,30,30,2208
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.00660977,30,30,1682
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.02198600,30,30,1596
29,0.00294600,0.00001488,0.00005283,0.0000607346938776,bnb,3,0,1,,30,27,1062
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00326826,28,28,1772
31,0.00332500,0.00002236,0.00011591,0.000126327683616,bnb,2,0,1,,28,26,1613
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,26,25,1064
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.01861189,25,25,1393
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srd,1,0,2,1.99338438,28,28,905
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,28,28,1016
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srd,1,0,2,0.00709451,28,28,928
37,0.00332900,0.00000408,0.00002890,0.0000291428571429,srd,1,0,2,0.00056692,29,29,899
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srd,1,0,2,0.00376413,29,29,850
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,4.99651458,29,29,841
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srd,1,0,2,0.99340870,29,29,994
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,0.00405153,29,29,1017
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srd,1,0,2,0.00130540,30,30,932
43,0.00322000,0.00001291,0.00002925,0.0000412460063898,bnb,4,0,1,,30,26,896
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,srd,2,0,2,0.00346517,28,27,979
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,srd,2,0,2,0.00958503,28,27,1320
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,srd,1,0,2,0.00279475,27,27,981
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00002652,27,27,928
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srd,1,0,2,0.00937779,28,28,836
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srd,1,0,2,0.99017827,28,28,920
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,srd,2,0,2,0.00172051,28,27,886
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,srd,1,0,2,1.98669971,27,27,799
52,0.00332500,0.00001060,0.00003523,0.0000432653061224,bnb,3,0,1,,27,24,708
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,0.00248255,24,24,1390
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,srd,1,0,2,0.98684868,24,24,931
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,srd,1,0,2,2.99667138,24,24,863
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,srd,1,0,2,3.99699587,24,24,899
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,srd,1,0,2,0.98351774,24,24,885
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,srd,1,0,2,3.99366597,24,24,815
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,srd,1,0,2,0.00066467,24,24,920
60,0.00332700,0.00000889,0.00004272,0.0000427403846154,srd,2,0,2,0.00296011,24,23,1255
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,srd,1,0,2,0.00966837,23,23,934
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,srd,1,0,2,0.00646658,23,23,988
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,srd,1,0,2,0.00633542,23,23,748
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,srd,1,0,2,0.00604218,23,23,865
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,srd,1,0,2,0.00072151,23,23,824
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,srd,1,0,2,0.01528318,23,23,731
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,srd,1,0,2,0.00299618,23,23,431
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,srd,1,0,2,4.99318546,23,23,424
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,srd,1,0,2,2.99334286,23,23,382
70,0.00300000,0.00000565,0.00002712,0.0000271634615385,srd,2,0,2,1.98719648,23,22,521
71,0.00321200,0.00000853,0.00004100,0.0000410096153846,srd,2,0,2,2.99078700,22,21,752
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,srd,1,0,2,0.00145489,22,22,869
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,srd,1,0,2,2.98757745,22,22,818
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,srd,1,0,2,1.98386571,22,22,553
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,srd,1,0,2,1.98056129,22,22,457
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,srd,1,0,2,0.01188484,22,22,523
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,srd,2,0,2,0.00134398,22,21,853
78,0.00334100,0.00000989,0.00004752,0.0000475480769231,srd,2,0,2,0.03203356,21,20,875
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,srd,1,0,2,0.00270804,20,20,657
80,0.00332900,0.00000803,0.00003857,0.0000386057692308,srd,2,0,2,4.99233098,21,20,747
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,srd,1,0,2,2.97824519,20,20,480
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,srd,1,0,2,4.98899325,21,21,736
83,0.00332500,0.00001491,0.00007168,0.0000716826923077,srd,2,0,2,0.00100025,21,20,1311
84,0.00332500,0.00000925,0.00006554,0.0000656028368794,srd,1,0,2,0.98018349,20,20,830
85,0.00300000,0.00000745,0.00005282,0.0000528368794326,srd,1,0,2,0.00609255,20,20,717
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,srd,1,0,2,0.01155083,20,20,596
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,srd,1,0,2,0.01015919,20,20,450
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,srd,1,0,2,4.98633539,21,21,745
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,srd,1,0,2,0.00682169,21,21,736
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,srd,1,0,2,0.00349076,21,21,626
91,0.01500000,0.00000710,0.00002572,0.0000257246376812,srd,3,0,2,3.98552042,22,20,678
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,srd,1,0,2,0.97918026,20,20,436
93,0.01000000,0.00000685,0.00002479,0.0000248188405797,srd,3,0,2,3.97796846,20,18,575
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,srd,1,0,2,0.97717255,21,21,677
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,srd,1,0,2,1.97855666,21,21,461
96,0.00200000,0.00001555,0.00007472,0.0000747596153846,srd,2,0,2,0.02809445,24,23,1317
97,0.00100000,0.00002644,0.00012707,0.000127115384615,srd,2,0,2,0.00362819,23,22,2191
98,0.01500000,0.00001224,0.00008674,0.0000868085106383,srd,1,0,2,1.96354442,25,25,1006
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srd,1,0,2,3.97595706,25,25,948
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,srd,1,0,2,0.97516520,25,25,664
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,srd,1,0,2,0.00696899,25,25,776
102,0.00200000,0.00000420,0.00002977,0.0000297872340426,srd,1,0,2,0.00099580,35,35,489
103,0.00300000,0.00000484,0.00003429,0.0000343262411348,srd,1,0,2,0.00396415,37,37,534
104,0.00100000,0.00001103,0.00005302,0.0000530288461538,srd,2,0,2,0.01712897,41,40,1012
105,0.00300000,0.00000645,0.00004568,0.0000457446808511,srd,1,0,2,0.00179355,40,40,646
106,0.00152800,0.00000882,0.00006253,0.0000625531914894,srd,1,0,2,0.00492976,41,41,813
107,0.00210000,0.00001010,0.00007160,0.0000716312056738,srd,1,0,2,0.00151809,45,45,902
108,0.00100000,0.00000370,0.00002624,0.0000262411347518,srd,1,0,2,0.00099630,48,48,470
109,0.00492000,0.00000576,0.00004079,0.0000408510638298,knapsack,1,0,2,0.00000400,50,50,598
110,0.00110000,0.00000863,0.00003952,0.0000487570621469,bnb,2,0,1,,52,50,561
111,0.00050000,0.00000499,0.00003536,0.0000353900709220,knapsack,1,0,2,0.00021652,51,51,544
112,0.00413200,0.00000802,0.00005686,0.0000568794326241,srd,1,0,2,0.00385998,53,53,757
113,0.00310000,0.00000790,0.00005597,0.0000560283687943,srd,1,0,2,0.00059210,53,53,764
114,0.00536100,0.00001543,0.00004908,0.0000492971246006,bnb,4,0,1,,56,52,1064
115,0.00100000,0.00001430,0.00010135,0.000101418439716,srd,1,0,2,0.01611467,52,52,1214
116,0.00370900,0.00000657,0.00004653,0.0000465957446809,srd,1,0,2,3.97224149,53,53,671
117,0.00013000,0.00001376,0.00009757,0.0000975886524823,knapsack,1,0,2,0.00007276,54,54,1176
118,0.00556800,0.00001089,0.00003438,0.0000347923322684,bnb,4,0,1,,54,50,672
119,0.00300000,0.00001142,0.00003981,0.0000466122448980,bnb,3,0,1,,61,58,770
120,0.00924800,0.00001244,0.00003883,0.0000397444089457,bnb,4,0,1,,60,56,808
121,0.00500000,0.00000887,0.00003440,0.0000362040816327,bnb,3,0,1,,59,56,538
122,0.00337500,0.00000752,0.00005332,0.0000533333333333,srd,1,0,2,0.00253748,57,57,737
123,0.00850000,0.00001232,0.00008736,0.000088000,srd,1,0,2,0.02648768,57,57,1074
124,0.00800000,0.00001483,0.00010512,0.000105177304965,srd,1,0,2,3.96422666,58,58,1249
125,0.01000000,0.00002160,0.00007824,0.0000782608695652,srd,3,0,2,0.00205646,58,56,1914
126,0.01500500,0.00000456,0.00003228,0.0000323404255319,srd,1,0,2,0.96015564,56,56,529
127,0.00200000,0.00000471,0.00003336,0.0000334042553191,srd,1,0,2,0.02448297,56,56,539
128,0.00134400,0.00000550,0.00003894,0.0000390070921986,srd,1,0,2,0.00355050,56,56,594
129,0.00321900,0.00001299,0.00006243,0.0000624519230769,srd,2,0,2,0.01398268,57,56,1184
130,0.00610000,0.00000898,0.00006365,0.0000636879432624,srd,1,0,2,0.00879102,56,56,839
131,0.00610000,0.00000758,0.00005371,0.0000537588652482,srd,1,0,2,3.95811908,56,56,741
132,0.00634000,0.00001219,0.00003869,0.0000389456869010,bnb,4,0,1,,56,52,784
133,0.01100000,0.00001141,0.00002945,0.0000299475065617,bnb,5,0,1,,57,52,677
134,0.00275200,0.00000375,0.00002653,0.0000265957446809,srd,1,0,2,1.96078867,52,52,472
135,0.01000000,0.00001000,0.00003034,0.0000319488817891,bnb,4,0,1,,56,52,600
136,0.01000000,0.00000935,0.00004493,0.0000449519230769,knapsack,2,0,2,0.00002967,52,51,819
137,0.00200000,0.00000770,0.00003700,0.0000370192307692,srd,2,0,2,0.95914424,53,52,759
138,0.00170000,0.00000545,0.00003860,0.0000386524822695,srd,1,0,2,0.00329455,52,52,591
139,0.00160000,0.00001034,0.00004970,0.0000497115384615,srd,2,0,2,0.02387263,52,51,898
140,0.01299400,0.00000918,0.00004410,0.0000441346153846,srd,2,0,2,0.00144000,54,53,804
141,0.00200000,0.00000709,0.00005024,0.0000502836879433,srd,1,0,2,0.00678393,53,53,633
142,0.00200000,0.00000570,0.00004039,0.0000404255319149,srd,1,0,2,0.00128885,55,55,549
143,0.00044600,0.00000854,0.00006056,0.0000605673758865,knapsack,1,0,2,0.00004086,59,59,748
144,0.00210000,0.00001183,0.00008384,0.0000839007092199,srd,1,0,2,0.01568817,61,61,979
145,0.00925000,0.00000637,0.00004511,0.0000451773049645,srd,1,0,2,0.00074363,61,61,595
146,0.00303500,0.00000493,0.00003491,0.0000349645390071,srd,1,0,2,0.00496007,61,61,495
147,0.00166400,0.00000812,0.00003901,0.0000390384615385,knapsack,2,0,2,0.00002670,61,60,733
148,0.00575300,0.00000540,0.00003829,0.0000382978723404,srd,1,0,2,0.00992977,61,61,528
149,0.00980100,0.00000963,0.00003453,0.0000393061224490,bnb,3,0,1,,61,58,613
150,0.00971900,0.00000985,0.00002813,0.0000314696485623,bnb,4,0,1,,59,55,594
151,0.05900000,0.00000359,0.00002542,0.0000254609929078,srd,1,0,2,3.89911549,62,62,399
152,0.00200000,0.00002280,0.00016170,0.000161702127660,srd,1,0,2,0.00087720,64,64,1749
153,0.05000000,0.00001534,0.00007372,0.00007375000,srd,2,0,2,0.01878466,64,63,1312
154,0.00997000,0.00001443,0.00006934,0.000069375000,srd,2,0,2,4.98604708,63,62,1238
155,0.00320000,0.00000967,0.00004649,0.0000464903846154,srd,2,0,2,0.00079033,66,65,858
156,0.12100000,0.00002299,0.00003470,0.0000352607361963,bnb,9,0,1,,67,58,1541
157,0.00356700,0.00000510,0.00003613,0.0000361702127660,srd,1,0,2,0.00142790,61,61,506
158,0.00084400,0.00000524,0.00003713,0.0000371631205674,srd,1,0,2,0.00094431,61,61,516
159,0.10000000,0.00001484,0.00003264,0.000033125000,bnb,6,0,1,,62,56,938
160,0.10000000,0.00000759,0.00005382,0.0000538297872340,srd,1,0,2,4.88603949,61,61,680
161,0.10000000,0.00001511,0.00003581,0.0000396587926509,bnb,5,0,1,,61,56,1020
162,0.00500000,0.00001003,0.00004821,0.0000482211538462,knapsack,2,0,2,0.00004995,63,62,885
163,0.00400000,0.00000615,0.00004358,0.0000436170212766,srd,1,0,2,0.02899385,65,65,639
164,0.00500000,0.00001000,0.00005369,0.0000564971751412,bnb,2,0,1,,65,63,638
165,0.00500000,0.00000495,0.00003510,0.0000351063829787,srd,1,0,2,0.02398890,63,63,495
166,0.00069400,0.00000600,0.00002785,0.0000545454545455,bnb,1,0,1,,63,62,415
167,0.00300000,0.00000520,0.00003686,0.0000368794326241,srd,1,0,2,0.00199480,66,66,522
