Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19435473,52.7200000000,97,267,363,233,0,193,bnb: **38** ; knapsack: **2** ; Total: **40**,0.00000400,4.99984483,0.777216687513,1.45903037650,0.00450494,0.0000193345064378,0.000659600000,0.005164540000,1,9,1.55793991416,1.10146417280,knapsack: **21** ; srd: **174** ; bnb: **38**
bustabit-tiny-hot-wallet_peak-and-tail,23.92742522,94.6630000000,176,594,717,406,0,299,bnb: **103** ; knapsack: **4** ; Total: **107**,0.00000400,4.99984483,0.645177637157,1.31601276992,0.00789895,0.0000194555418719,0.00119680000,0.00909575000,1,9,1.76600985222,1.30598899279,knapsack: **27** ; srd: **276** ; bnb: **103**
bustabit-tiny-hot-wallet_peak-and-tail,27.28369890,146.734000000,342,961,983,539,0,364,bnb: **169** ; knapsack: **6** ; Total: **175**,0.00000387,4.99984483,0.572233532280,1.25411253198,0.01090610,0.0000202339517625,0.00232560000,0.01323170000,1,9,1.82374768089,1.26304054988,knapsack: **35** ; srd: **335** ; bnb: **169**
bustabit-tiny-hot-wallet_peak-and-tail,19.66844689,207.087000000,393,1316,1348,684,0,425,bnb: **250** ; knapsack: **9** ; Total: **259**,0.00000387,4.99984483,0.5072886164,1.19275384674,0.01337726,0.0000195573976608,0.00267240000,0.01604966000,1,10,1.97076023392,1.38778144610,knapsack: **41** ; srd: **393** ; bnb: **250**
bustabit-tiny-hot-wallet_peak-and-tail,26.29774853,252.470000000,479,1682,1688,818,0,485,bnb: **324** ; knapsack: **9** ; Total: **333**,0.00000387,7.09784230,0.489729294062,1.22020353540,0.01661250,0.0000203086797066,0.00325720000,0.01986970000,1,25,2.06356968215,1.69190396198,knapsack: **45** ; srd: **449** ; bnb: **324**
bustabit-tiny-hot-wallet_peak-and-tail,18.38115191,282.217666667,326,2008,2254,992,0,572,bnb: **407** ; knapsack: **13** ; Total: **420**,0.00000387,7.09784230,0.427484254248,1.13653964433,0.02165556,0.0000218302016129,0.00221680000,0.02387236000,1,43,2.27217741935,2.79658724136,knapsack: **59** ; srd: **526** ; bnb: **407**
bustabit-tiny-hot-wallet_peak-and-tail,26.40482342,292.673714286,417,2415,2607,1085,0,609,bnb: **462** ; knapsack: **14** ; Total: **476**,0.00000387,7.09784230,0.421441358374,1.13732968017,0.02356712,0.0000217208479263,0.00283560000,0.02640272000,1,43,2.40276497696,2.88445888321,knapsack: **65** ; srd: **558** ; bnb: **462**
bustabit-tiny-hot-wallet_peak-and-tail,23.47272773,312.881750000,495,2818,2971,1182,0,648,bnb: **517** ; knapsack: **17** ; Total: **534**,0.00000387,7.09784230,0.399851525571,1.10642190766,0.02625814,0.0000222150084602,0.00336600000,0.02962414000,1,43,2.51353637902,2.97509894497,knapsack: **76** ; srd: **589** ; bnb: **517**
bustabit-tiny-hot-wallet_peak-and-tail,15.35564210,330.547555556,332,3213,3579,1287,0,698,bnb: **566** ; knapsack: **23** ; Total: **589**,0.00000387,7.09784230,0.374689728123,1.07060404775,0.03052184,0.0000237154933955,0.00225760000,0.03277944000,1,51,2.78088578089,3.91076690882,knapsack: **105** ; srd: **616** ; bnb: **566**
bustabit-tiny-hot-wallet_peak-and-tail,15.77928621,324.996800000,295,3571,4052,1429,0,776,bnb: **621** ; knapsack: **32** ; Total: **653**,0.00000387,7.09784230,0.363013527023,1.04893166296,0.03375030,0.0000236181245626,0.00200600000,0.03575630000,1,51,2.83554933520,3.82919220604,knapsack: **139** ; srd: **669** ; bnb: **621**
