id,input_amounts
0,['0.00329000']
1,['0.00329600']
2,['0.00940000']
3,['0.00483000']
4,['0.01569000']
5,"['0.00011747', '0.00312970']"
6,['0.00066424']
7,['0.00329000']
8,"['5.00000000', '0.00014860']"
9,"['0.00329400', '0.00329400']"
10,['0.00329400']
11,['0.00313883']
12,['0.00331400']
13,['0.01570000']
14,"['0.00002766', '0.00010000']"
15,['0.00500000']
16,['0.00103200']
17,['0.01000000']
18,['1.00000000']
19,['0.00318617']
20,['0.00100000']
21,['0.00692843']
22,"['0.00014860', '0.00200304']"
23,['0.00794500']
24,['2.00000000']
25,['0.01000000']
26,['0.00329400']
27,"['0.00127128', '0.00109000', '0.00004881', '0.00100000']"
28,['0.00604529']
29,"['0.00331400', '0.00095187']"
30,['3.00000000']
31,['0.00458613']
32,['0.00390000']
33,['0.01010000']
34,"['0.00090000', '0.00100000', '0.00002824', '0.00130888', '0.00010863']"
35,['0.00050000']
36,['0.00303129']
37,['0.00664522']
38,['0.00672589']
39,"['0.00002580', '0.00331214']"
40,"['0.00300000', '0.00023909']"
41,['0.00339551']
42,"['0.00056976', '0.00059103', '0.00064068', '0.00019425']"
43,['0.00574579']
44,['0.00980000']
45,['0.00124478']
46,['0.99327435']
47,['0.00252166']
48,['0.02500000']
49,['0.01000000']
50,['2.99665849']
51,"['0.00676957', '0.00164818']"
52,"['0.00034660', '4.99910848']"
53,['0.02479276']
54,['0.01300000']
55,['0.01236372']
56,['0.00967041']
57,['0.02145662']
58,['4.00000000']
59,"['0.00173086', '3.99667010']"
60,['0.01812568']
61,['0.00474133']
62,['0.99306910']
63,['3.99539443']
64,['0.01479265']
65,['0.01453910']
66,"['3.99206148', '0.00300000']"
67,['0.00666628']
68,['4.99612275']
69,"['1.99573006', '0.00018824']"
70,['0.00332704']
71,['0.00903510']
72,['0.01145704']
73,['0.00581731']
74,['0.00944676']
75,['2.99331141']
76,"['0.98973568', '0.00140970']"
77,['0.03535793']
78,"['4.99279363', '0.00032321']"
79,['2.99000699']
80,['0.00611599']
81,['0.01120908']
82,"['3.99173101', '0.00278155']"
83,['0.98774450']
84,"['4.98976595', '0.00076900']"
85,['0.03202439']
86,['0.02901694']
87,['0.00187682']
88,['0.00853421']
89,['0.01714000']
90,['0.00910000']
91,['2.98667285']
92,['1.99258811']
93,"['1.99158488', '0.00015117', '0.00576907']"
94,['4.98719631']
95,['4.98518860']
96,['0.00587635']
97,['0.01780000']
98,['4.98318397']
99,['0.98440939']
100,['0.01490000']
101,['0.98239799']
102,['0.00260776']
103,"['0.00480000', '0.00060356']"
104,['0.00480000']
105,['4.96817173']
106,"['0.00006080', '4.96516528']"
107,['0.01380250']
