----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.19434556 | 50.9180000000 | 76 | 267 | 382 | 233 | 0 | 191 | bnb: **42** ; Total: **42** | 0.00000601 | 4.99910848 | 0.874944355550 | 1.64058496525 | 0.00451411 | 0.0000193738626609 | 0.000516800000 | 0.005030910000 | 1 | 9 | 1.63948497854 | 1.23126781135 | knapsack: **34** ; srd: **157** ; bnb: **42** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.92757177 | 98.75 | 203 | 594 | 693 | 406 | 0 | 302 | bnb: **104** ; Total: **104** | 0.00000601 | 8.38940606 | 0.731425045530 | 1.49475979811 | 0.00775240 | 0.0000190945812808 | 0.00138040000 | 0.00913280000 | 1 | 9 | 1.70689655172 | 1.23340409172 | knapsack: **37** ; srd: **265** ; bnb: **104** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28378978 | 161.084000000 | 386 | 961 | 951 | 539 | 0 | 376 | bnb: **162** ; knapsack: **1** ; Total: **163** | 0.00000340 | 8.38940606 | 0.625929903245 | 1.42301295791 | 0.01081522 | 0.0000200653432282 | 0.00262480000 | 0.01344002000 | 1 | 9 | 1.76437847866 | 1.22024135798 | knapsack: **41** ; srd: **336** ; bnb: **162** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.66851403 | 230.076000000 | 448 | 1316 | 1307 | 684 | 0 | 439 | bnb: **243** ; knapsack: **2** ; Total: **245** | 0.00000340 | 8.38940606 | 0.541866802232 | 1.33305361459 | 0.01331012 | 0.0000194592397661 | 0.00304640000 | 0.01635652000 | 1 | 11 | 1.91081871345 | 1.35907553064 | knapsack: **48** ; srd: **393** ; bnb: **243** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.29585685 | 265.756400000 | 380 | 1682 | 1794 | 818 | 0 | 492 | bnb: **324** ; knapsack: **2** ; Total: **326** | 0.00000340 | 8.38940606 | 0.487341288476 | 1.26957885263 | 0.01850418 | 0.0000226212469438 | 0.00258400000 | 0.02108818000 | 1 | 97 | 2.19315403423 | 3.76862679694 | knapsack: **56** ; srd: **438** ; bnb: **324** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.37882229 | 271.478000000 | 186 | 2008 | 2401 | 992 | 0 | 579 | bnb: **408** ; knapsack: **5** ; Total: **413** | 0.00000340 | 9.18560375 | 0.499321316287 | 1.36673589724 | 0.02398518 | 0.0000241786088710 | 0.00126480000 | 0.02524998000 | 1 | 97 | 2.42036290323 | 4.12392647797 | knapsack: **73** ; srd: **511** ; bnb: **408** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.40255640 | 264.082285714 | 294 | 2415 | 2743 | 1085 | 0 | 622 | bnb: **457** ; knapsack: **6** ; Total: **463** | 0.00000340 | 9.18560375 | 0.484195741833 | 1.33897927483 | 0.02583414 | 0.0000238102672811 | 0.00199920000 | 0.02783334000 | 1 | 97 | 2.52811059908 | 4.07725133367 | knapsack: **82** ; srd: **546** ; bnb: **457** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.47051844 | 275.549500000 | 399 | 2818 | 3087 | 1182 | 0 | 668 | bnb: **505** ; knapsack: **9** ; Total: **514** | 0.00000340 | 9.18560375 | 0.458463334850 | 1.29715309155 | 0.02846743 | 0.0000240841201354 | 0.00271320000 | 0.03118063000 | 1 | 97 | 2.61167512690 | 4.05244606653 | knapsack: **99** ; srd: **578** ; bnb: **505** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.35372603 | 289.444888889 | 338 | 3213 | 3596 | 1287 | 0 | 721 | bnb: **553** ; knapsack: **13** ; Total: **566** | 0.00000340 | 9.18560375 | 0.430259522233 | 1.25362503046 | 0.03243791 | 0.0000252042812743 | 0.00229840000 | 0.03473631000 | 1 | 97 | 2.79409479409 | 4.33227562244 | knapsack: **118** ; srd: **616** ; bnb: **553** |
