id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5705
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312370,22,22,5197
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4875
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5160
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,4.99667372,22,22,3160
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002224,22,21,2546
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2308
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2671
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.99897280,21,21,2522
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.99244623,22,22,2477
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.01554483,22,22,1678
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,1397
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,30,30,2496
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00215310,30,30,2642
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00317537,30,30,1921
15,0.00400000,0.00007100,0.00034131,0.000341346153846,srd,2,0,2,0.99052833,36,35,6245
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1937
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.02192843,36,36,5638
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00339081,36,35,8558
19,0.00110000,0.00012262,0.00058951,0.000589519230769,srd,2,0,2,0.00388601,35,34,10390
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,7125
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,3.99881736,33,33,6415
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,4.99453463,33,33,3849
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,0.00727019,33,32,4439
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,4.99415332,32,31,3381
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.01219005,31,31,2352
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00136809,31,31,2208
27,0.00337500,0.00002982,0.00010801,0.000108043478261,srd,3,0,2,0.00753427,31,29,3016
28,0.00300000,0.00002785,0.00009927,0.000113673469388,bnb,3,0,1,,29,26,2164
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00022192,26,26,1136
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.98718682,27,27,1772
31,0.00332500,0.00002411,0.00011591,0.000115913461538,srd,2,0,2,0.00599018,27,26,2482
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,26,25,1064
33,0.00336300,0.00001638,0.00007874,0.00007875000,srd,2,0,2,0.00891067,25,24,1861
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srd,1,0,2,1.99666185,27,27,905
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srd,1,0,2,0.00722852,27,27,1016
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00028851,27,27,928
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srd,1,0,2,0.98385374,28,28,899
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srd,1,0,2,0.00676962,28,28,850
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,0.00558042,28,28,841
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srd,1,0,2,0.00234799,28,28,994
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,0.00056026,28,28,1017
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srd,1,0,2,0.00478102,29,29,936
43,0.00322000,0.00001082,0.00002925,0.0000345686900958,bnb,4,0,1,,29,25,687
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,srd,1,0,2,0.00494133,27,27,870
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srd,1,0,2,3.99776082,28,28,1072
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00001667,28,28,981
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,srd,1,0,2,0.00707152,28,28,928
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00008127,29,29,840
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srd,1,0,2,1.99343142,29,29,924
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,srd,2,0,2,0.00443200,29,28,1028
51,0.00668000,0.00001286,0.00003311,0.0000337532808399,bnb,5,0,1,,28,23,806
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srd,1,0,2,0.00967003,23,23,962
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,0.01235386,23,23,1394
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,srd,2,0,2,0.00489674,23,22,1089
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,srd,1,0,2,0.00394157,22,22,867
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,srd,1,0,2,0.00934973,22,22,903
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,srd,1,0,2,0.00633909,22,22,889
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,srd,1,0,2,0.00110210,22,22,957
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,0.03312040,22,21,1070
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,srd,1,0,2,0.00601670,21,21,1036
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,srd,1,0,2,0.00156511,21,21,796
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,srd,1,0,2,4.99081990,21,21,850
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,srd,1,0,2,0.00300614,21,21,890
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,srd,1,0,2,0.98051813,21,21,1007
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,srd,1,0,2,0.97718811,21,21,501
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,srd,1,0,2,0.00061286,21,21,408
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,srd,1,0,2,0.01858919,21,21,431
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,srd,1,0,2,0.97385899,21,21,424
69,0.00332500,0.00000519,0.00002495,0.0000249519230769,srd,2,0,2,0.01528124,21,20,484
70,0.00300000,0.00000614,0.00002712,0.0000558181818182,knapsack,1,0,1,,20,19,404
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,srd,1,0,2,4.98760211,19,19,554
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,srd,1,0,2,0.03111012,20,20,869
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,srd,1,0,2,0.00386197,20,20,818
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,srd,1,0,2,0.01195047,20,20,553
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,srd,1,0,2,0.00268576,20,20,457
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,srd,1,0,2,4.98420377,20,20,523
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,srd,1,0,2,0.00052843,20,20,606
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,srd,1,0,2,0.02776241,20,20,619
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,srd,1,0,2,2.99666586,20,20,671
80,0.00332900,0.00001065,0.00003857,0.0000385869565217,srd,3,0,2,0.00069271,21,19,942
81,0.00932800,0.00000629,0.00003020,0.0000302403846154,srd,2,0,2,3.98903939,19,18,618
82,0.00333000,0.00000773,0.00005482,0.0000548226950355,srd,1,0,2,1.99009369,19,19,723
83,0.00332500,0.00001011,0.00007168,0.0000717021276596,srd,1,0,2,0.00861536,19,19,880
84,0.00332500,0.00001364,0.00006554,0.0000655769230769,srd,2,0,2,2.99334799,19,18,1208
85,0.00300000,0.00001099,0.00005282,0.0000528365384615,srd,2,0,2,0.00765412,18,17,1009
86,0.02047700,0.00000573,0.00004059,0.0000406382978723,srd,1,0,2,0.95337626,17,17,596
87,0.00172200,0.00000365,0.00002583,0.0000258865248227,srd,1,0,2,0.00688971,17,17,450
88,0.00265000,0.00000786,0.00005570,0.0000557446808511,knapsack,1,0,2,0.00034214,18,18,745
89,0.00333000,0.00000750,0.00005315,0.0000531914893617,knapsack,1,0,2,0.00267920,18,18,736
90,0.00332500,0.00000593,0.00004202,0.0000420567375887,srd,1,0,2,2.99001706,18,18,544
91,0.01500000,0.00000363,0.00002572,0.0000259285714286,srd,1,0,2,0.93837263,19,19,382
92,0.00100000,0.00000323,0.00002289,0.0000229078014184,srd,1,0,2,0.02675918,19,19,354
93,0.01000000,0.00000350,0.00002479,0.0000248226950355,srd,1,0,2,0.01999650,19,19,373
94,0.00200000,0.00000771,0.00005464,0.0000546808510638,srd,1,0,2,4.98219606,22,22,669
95,0.00200000,0.00000463,0.00003280,0.0000328368794326,srd,1,0,2,0.00488508,22,22,461
96,0.00200000,0.00001054,0.00007472,0.0000747517730496,srd,1,0,2,0.00564358,25,25,876
97,0.00100000,0.00001792,0.00012707,0.000127092198582,srd,1,0,2,0.01678208,25,25,1394
98,0.01500000,0.00001224,0.00008674,0.0000868085106383,srd,1,0,2,3.97402715,28,28,1015
99,0.00200000,0.00001140,0.00008082,0.0000808510638298,srd,1,0,2,0.00363218,28,28,957
100,0.00200000,0.00000735,0.00005212,0.0000521276595745,srd,1,0,2,0.00099265,28,28,673
101,0.00457300,0.00000884,0.00006264,0.0000626950354610,srd,1,0,2,0.01220024,28,28,790
