id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01553370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01233529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01450650,21,21,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,22,21,2466
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,4.99984483,21,21,1066
11,0.00310000,0.00002186,0.00007917,0.0000792028985507,srd,3,0,2,0.00944513,28,26,503
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.02487217,27,27,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00823910,27,27,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00932450,27,27,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,2.99595187,33,33,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00672843,34,34,5026
18,0.00665800,0.00007043,0.00047972,0.000640272727273,bnb,1,0,1,,34,33,4348
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00271687,33,33,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.02368953,32,32,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.02155044,32,32,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00674113,32,32,2309
