id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,['0.01569000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01553370']
9,"['0.00329400', '0.00329400']"
10,['5.00000000']
11,"['0.01233529', '0.00014860', '0.00008310']"
12,['0.02500000']
13,['0.00940000']
14,['0.00944513']
15,['3.00000000']
16,['0.00103200']
17,['0.00980000']
18,['0.00672843']
19,['0.00390000']
20,['0.00100000']
21,['0.02487217']
22,['0.02368953']
23,['0.01010000']
24,['0.00674113']
25,"['0.00064468', '0.00271687']"
26,['0.01450650']
27,"['0.00329600', '0.00010000']"
28,"['0.00100000', '0.00004881', '0.00109000', '0.00090000']"
29,"['0.00247119', '0.00010863', '0.00014860', '0.00023909']"
30,['0.00794500']
31,['0.00823910']
32,"['0.00331400', '0.00331400']"
33,"['0.00331476', '0.00006396']"
34,['0.00460349']
35,['0.00050000']
36,"['0.00000200', '0.00126534', '0.00100000', '0.00056976', '0.00000100', '0.00019425']"
37,['0.00489775']
38,"['0.00156467', '0.00300000']"
39,['0.00500000']
40,['0.00932450']
41,['0.00609207']
42,['0.00276632']
43,"['0.00166975', '0.00077772', '0.00123269']"
44,['0.01000000']
45,['0.00300000']
46,"['0.00001611', '0.00020000']"
47,['0.00194346']
48,['0.00045208']
49,['0.00494133']
50,"['0.00024484', '0.00171090', '0.00106998', '0.00034660']"
51,['0.01000000']
52,"['0.00331533', '0.00001937']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,['0.01248378']
57,['0.00947965']
58,['0.00614871']
59,"['0.00076900', '0.00281881']"
60,['0.01300000']
61,"['0.02155044', '0.00011000']"
62,['0.00966697']
63,['0.00633355']
64,"['0.00058128', '0.00300060']"
65,['0.01832661']
66,['0.01499659']
67,['0.01166788']
68,['0.00832864']
69,['0.00499952']
70,['0.03535793']
71,['0.03235410']
72,['0.02913631']
73,['0.02712603']
74,['0.02391648']
75,['0.02058571']
76,['0.01728129']
77,['0.01388295']
78,"['0.00024361', '1.00000000']"
79,['0.01054941']
80,['0.00721527']
81,['0.99689272']
82,['0.00388083']
83,['0.98756046']
84,"['0.00054310', '2.99595187']"
85,['0.00910000']
86,['0.98422535']
87,"['0.00100000', '0.00167100']"
88,['0.00609255']
89,['0.00343469']
90,['0.01714000']
91,['0.96374262']
92,"['0.00009719', '0.00094362']"
93,['0.01380907']
94,['0.00380557']
95,"['0.00179786', '0.00116387']"
96,['0.00300000']
97,"['0.00003604', '0.00098946']"
98,"['0.01490000', '0.00095490']"
99,['0.00480000']
100,['0.00278860']
101,['0.01780000']
102,"['0.00006080', '0.00100000', '0.00100000']"
103,"['0.00300000', '0.00005258']"
104,"['0.00100000', '0.00004544']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,"['0.00080000', '0.00078125']"
107,"['0.00006461', '0.00083685', '0.00120000', '0.00003441']"
108,"['0.00100000', '0.00001123']"
109,"['0.00004024', '0.00390000', '0.00100000']"
110,['0.00120000']
111,['0.00171142']
112,"['0.00120643', '0.00009442', '0.00087643', '0.00200000']"
113,['0.00370000']
114,"['0.00010000', '0.00270000', '0.00200000', '0.00059210']"
115,['2.99315633']
116,"['0.00228044', '0.00000898', '0.00040000', '0.00001421', '0.00100000', '0.00002572', '0.00000577']"
117,['0.00200000']
118,"['0.00185624', '0.00444318']"
119,"['0.00006000', '0.00300000']"
120,"['0.00072426', '0.00163049', '0.00091371', '0.00010000', '0.00090000', '0.00500000']"
121,"['0.00025639', '0.00464370', '0.00008000', '0.00005171']"
122,['0.00341677']
123,"['0.00090000', '0.00169500', '0.00592000', '0.00001996']"
124,['4.99984483']
125,"['0.00003425', '0.00500000', '0.00110000', '0.00100000', '0.00290000']"
126,"['0.00454585', '0.01109159']"
127,['0.00300000']
128,"['0.00099529', '0.00062572']"
129,['0.00360000']
130,['0.00790000']
131,"['0.00480000', '0.00179102']"
132,['0.00800000']
133,"['0.00037219', '0.00026891', '0.00490000', '0.00047984', '0.00500000']"
134,"['0.00165454', '0.00226500']"
135,"['0.01000000', '0.00000880']"
136,"['0.00800000', '0.00213902']"
137,"['0.00116202', '0.00100000']"
138,"['0.00049540', '0.03500000']"
139,['0.00300000']
140,"['0.00480000', '0.00012967', '0.00069882', '0.00139299', '0.00100000', '0.00500000']"
141,['0.00500000']
142,"['0.00200000', '0.00000635', '0.00000490']"
143,['0.00070000']
144,"['0.00180000', '0.00015432', '0.00024546']"
145,"['0.00007664', '2.99214203']"
146,"['0.00299291', '0.00280000']"
147,['0.00275064']
148,"['0.00300000', '0.00290000']"
149,"['0.00880000', '0.00108113']"
150,['0.01000000']
151,"['0.00600000', '0.00880000', '0.00013903', '0.01680000', '0.00027703', '0.00600000', '0.00860000', '0.00969612', '0.00007294', '0.00263338']"
152,['0.00980000']
153,"['0.00090000', '0.01450000', '0.00090000', '0.03378737']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00006201', '0.00777720', '0.00500000', '0.01500000', '0.06000000', '0.01000000', '0.01321816', '0.01000000']"
157,['0.00900000']
158,['0.00179344']
159,"['0.03000000', '0.00040000', '0.00094420', '0.00900000', '0.00963986', '0.00003602', '0.05000000']"
160,"['0.00542790', '0.01990000', '0.02000000', '0.05900000']"
161,"['0.03300000', '0.02959206', '0.04000000']"
162,"['0.00430938', '0.00084400']"
163,['0.00700000']
164,"['0.00299385', '0.00258217']"
165,['0.01000000']
166,"['0.00014335', '0.00056485']"
167,['0.00499505']
168,"['0.00800000', '0.00002022', '0.00198985']"
169,"['0.00100000', '0.00000840']"
170,"['0.00010000', '0.01000000']"
171,"['0.05000000', '0.00038000']"
172,['0.02471042']
173,['0.02343537']
174,"['0.00500000', '0.00006323']"
175,['0.01893153']
176,"['0.00040000', '0.00090000', '0.00021000', '0.00872416']"
177,"['0.00250000', '0.00980000']"
178,['0.03000000']
179,['0.00179185']
180,['0.00142771']
181,['0.09990000']
182,['0.04900191']
183,['0.07024500']
184,['0.06000000']
185,['0.00106118']
186,['0.00078250']
187,"['0.05000000', '0.01000000']"
188,"['0.00017000', '0.08956782']"
189,['0.01932106']
190,['0.00500000']
191,['0.00293524']
192,"['0.01000000', '2.00000000']"
193,['0.04877482']
194,['4.99183000']
195,"['0.00000406', '0.00010000', '0.00003885', '0.00100000']"
196,['0.05000000']
197,['0.03774825']
198,['2.98295928']
199,"['0.00815576', '0.01090000']"
200,['0.03815687']
201,['4.98980421']
202,['0.00028000']
203,['0.09980000']
204,['0.07551938']
205,"['0.01000000', '0.07449544']"
206,"['0.00006080', '0.00400000', '0.00090000', '0.00080592', '0.00003391', '0.00390000', '0.00099000', '0.00090000', '0.00014000', '0.00050000', '0.00318000', '0.00170000', '0.00005412', '0.00180000']"
207,['2.98165009']
208,['0.00900000']
209,['0.00180000']
210,['0.00044827']
211,"['0.00200000', '0.01570000', '0.00079103']"
212,"['0.00005460', '0.03673054', '0.01000000', '0.01000000', '0.00023716', '0.01000000', '0.01000000', '0.00001887', '0.01000000', '0.00290000', '0.00018066', '0.00990000']"
213,"['0.00229870', '0.01000000', '0.00390000', '0.01000000', '0.00498365', '0.00001567']"
214,['0.00039116']
215,"['0.05000000', '0.02400000', '0.00097600', '0.00005460']"
216,"['0.00001853', '0.01000000']"
217,"['0.00001079', '0.01000000', '0.01944692', '0.03610874', '0.03444710']"
218,"['0.01000000', '0.01000000', '0.00013614', '0.01000000']"
219,"['0.00003735', '0.00019558']"
220,['0.00193800']
