Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19416663,23.1300000000,20,267,454,233,1,207,bnb: **23** ; knapsack: **3** ; Total: **26**,0.00000406,4.99984483,0.223942718937,0.857744086440,0.00469304,0.0000201418025751,0.000136000000,0.004829040000,1,14,1.94849785408,1.75600199102,knapsack: **162** ; srd: **48** ; bnb: **23**
bustabit-tiny-hot-wallet_peak-and-tail,23.92684248,27.4180000000,30,594,915,406,2,351,bnb: **48** ; knapsack: **7** ; Total: **55**,0.00000397,4.99984483,0.200905291481,0.750598638391,0.00848169,0.0000208908620690,0.000204000000,0.008685690000,1,17,2.25369458128,2.20597922498,knapsack: **282** ; srd: **76** ; bnb: **48**
bustabit-tiny-hot-wallet_peak-and-tail,27.28260068,32.0180000000,71,961,1344,539,3,454,bnb: **75** ; knapsack: **10** ; Total: **85**,0.00000397,4.99984483,0.224724012621,0.768821120360,0.01200432,0.0000222714656772,0.000482800000,0.012487120000,1,17,2.49350649351,2.57335766109,knapsack: **356** ; srd: **108** ; bnb: **75**
bustabit-tiny-hot-wallet_peak-and-tail,19.66682808,33.7215000000,18,1316,1870,684,5,572,bnb: **101** ; knapsack: **11** ; Total: **112**,0.00000397,9.97631410,0.261017109860,1.06159867290,0.01499607,0.0000219240789474,0.000122400000,0.015118470000,1,47,2.73391812865,3.33084724017,knapsack: **454** ; srd: **129** ; bnb: **101**
bustabit-tiny-hot-wallet_peak-and-tail,26.29642648,32.3476000000,46,1682,2319,818,5,683,bnb: **122** ; knapsack: **13** ; Total: **135**,0.00000397,9.97631410,0.361396214231,1.43996987883,0.01793455,0.0000219248777506,0.000312800000,0.018247350000,1,47,2.83496332518,3.44793767833,knapsack: **546** ; srd: **150** ; bnb: **122**
bustabit-tiny-hot-wallet_peak-and-tail,18.38017186,32.0383333333,28,2008,2814,992,6,834,bnb: **145** ; knapsack: **13** ; Total: **158**,0.00000317,9.97631410,0.442932253249,1.55461537297,0.02263561,0.0000228181552419,0.000190400000,0.022826010000,1,47,2.83669354839,3.38953460796,knapsack: **650** ; srd: **197** ; bnb: **145**
bustabit-tiny-hot-wallet_peak-and-tail,26.40350509,34.1388571429,46,2415,3276,1085,6,907,bnb: **165** ; knapsack: **13** ; Total: **178**,0.00000317,9.97631410,0.420565572646,1.49620238053,0.02488545,0.0000229358986175,0.000312800000,0.025198250000,1,47,3.01935483871,3.68684125999,knapsack: **707** ; srd: **213** ; bnb: **165**
bustabit-tiny-hot-wallet_peak-and-tail,23.47117908,35.6860000000,50,2818,3748,1182,6,980,bnb: **189** ; knapsack: **13** ; Total: **202**,0.00000317,9.97631410,0.391246630939,1.44347644695,0.02780679,0.0000235252030457,0.000340000000,0.028146790000,1,47,3.17089678511,3.88765592971,knapsack: **778** ; srd: **215** ; bnb: **189**
bustabit-tiny-hot-wallet_peak-and-tail,15.35461102,37.1682222222,23,3213,4252,1287,6,1062,bnb: **209** ; knapsack: **16** ; Total: **225**,0.00000317,9.97631410,0.369500208446,1.39047637983,0.03155292,0.0000245166433566,0.000156400000,0.031709320000,1,47,3.30380730381,4.09701664248,knapsack: **845** ; srd: **233** ; bnb: **209**
bustabit-tiny-hot-wallet_peak-and-tail,15.77862135,37.2972000000,27,3571,4725,1429,6,1181,bnb: **230** ; knapsack: **18** ; Total: **248**,0.00000317,9.97631410,0.349427230804,1.33714221802,0.03441516,0.0000240833869839,0.000183600000,0.034598760000,1,47,3.30650804759,4.03796318597,knapsack: **945** ; srd: **254** ; bnb: **230**
