id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01233529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,0.00774919,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00457485,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99897280,21,21,1910
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,22,21,2466
10,0.00014000,0.00002628,0.00010753,0.000148474576271,bnb,2,0,1,,21,19,816
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,26,26,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,1.99883910,27,27,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,27,27,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,4.99492467,33,33,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,4.99185310,34,34,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,4.98512745,34,34,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00271687,34,34,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00881736,33,33,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,4.98298836,33,33,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.02164113,33,33,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.01737119,33,33,1682
25,0.00333000,0.00003155,0.00017571,0.000178248587571,bnb,2,0,1,,33,31,1057
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00572647,31,31,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,31,29,286
28,0.00300000,0.00003874,0.00009927,0.000101679790026,bnb,5,0,1,,29,24,57
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00036055,24,24,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00123334,25,25,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,3.99665865,25,25,1149
32,0.00330000,0.00003790,0.00006361,0.0000734496124031,bnb,7,0,1,,25,18,-1238
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00235236,18,18,781
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,1,2,0.00001123,21,18,-1144
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00005480,18,18,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00581187,18,18,316
37,0.00332900,0.00000408,0.00002890,0.0000291428571429,knapsack,1,0,2,0.00247879,19,19,287
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00214681,19,18,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00606975,18,18,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00283732,18,18,382
41,0.00332000,0.00000848,0.00004075,0.0000407692307692,knapsack,2,0,2,0.00165565,18,17,3
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00781140,18,18,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00458727,18,18,290
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,knapsack,2,0,2,0.00118250,20,19,-245
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00012596,20,20,460
46,0.00020000,0.00001123,0.00003719,0.0000634463276836,bnb,2,0,1,,20,18,-394
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,18,18,316
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00002719,19,18,-296
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00676957,18,18,312
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00342249,18,18,145
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,18,18,187
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00001019,18,17,-90
53,0.00332500,0.00001114,0.00007896,0.0000795714285714,knapsack,1,0,2,0.00008635,17,17,782
54,0.00332500,0.00001366,0.00003255,0.0000358530183727,bnb,5,0,1,,17,12,-2171
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00677138,12,12,255
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00376725,12,12,150
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00043631,12,12,136
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00900539,12,12,204
59,0.00300000,0.00000443,0.00003138,0.0000316428571429,knapsack,1,0,2,0.00600096,12,12,171
60,0.00332700,0.00000889,0.00004272,0.0000427403846154,srd,2,0,2,0.00271987,12,11,-106
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00966837,11,11,185
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00633495,11,11,239
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00300200,11,11,137
64,0.00333000,0.00000827,0.00003974,0.0000397596153846,knapsack,2,0,2,0.00010004,11,10,-155
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.01236998,10,10,213
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00904127,10,10,-219
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00570203,10,10,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00237291,10,10,-189
69,0.00332500,0.00000519,0.00002495,0.0000249519230769,knapsack,2,0,2,0.00176259,10,9,-741
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01436736,9,9,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01114957,9,9,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.00913929,10,10,258
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00592974,10,10,192
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00259897,10,10,-73
75,0.00330000,0.00000651,0.00003128,0.0000312980769231,knapsack,2,0,2,0.00105505,10,9,-636
