id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.01569000']
3,['0.00483000']
4,"['0.00794500', '0.00314770']"
5,['0.00329000']
6,['0.00500000']
7,['0.00329400']
8,['5.00000000']
9,"['0.00329400', '0.00329400']"
10,"['0.00011747', '0.00004881']"
11,['0.00329400']
12,['0.00014860']
13,['2.00000000']
14,['0.00014860']
15,['4.99897280']
16,['0.00103200']
17,['4.99492467']
18,['4.99185310']
19,['0.00390000']
20,['0.00100000']
21,['0.01000000']
22,['4.98512745']
23,['0.02500000']
24,['0.02164113']
25,"['0.00271687', '0.00064468']"
26,['0.00774919']
27,"['0.00010000', '0.00329600']"
28,"['0.00100000', '0.00002077', '0.00002797', '0.00090000', '0.00109000']"
29,['0.00331400']
30,['0.00457485']
31,['4.00000000']
32,"['0.00050000', '0.00018283', '0.00066424', '0.00010863', '0.00123334', '0.00007910', '0.00056976']"
33,['0.00572647']
34,"['0.00235236', '0.00100000', '0.00000200', '0.00000100']"
35,['0.00036055']
36,['0.00881736']
37,['0.00581187']
38,"['0.00247879', '0.00300000']"
39,['0.00940000']
40,['0.00606975']
41,"['0.00214681', '0.00283732']"
42,['0.00980000']
43,['0.00781140']
44,"['0.00458727', '0.00165565']"
45,['0.00118250']
46,"['0.00020000', '0.00001123']"
47,['0.00300000']
48,"['0.00012596', '0.00011000']"
49,['0.01000000']
50,['0.00676957']
51,['0.01000000']
52,"['0.00331533', '0.00002719']"
53,['0.00342249']
54,"['0.00008635', '0.00212652', '0.00034660', '0.00076900', '0.00001019']"
55,['0.01010000']
56,['0.00677138']
57,['0.00376725']
58,['0.01233529']
59,['0.00900539']
60,"['0.00005480', '0.00600096']"
61,['0.01300000']
62,['0.00966837']
63,['0.00633495']
64,"['0.00043631', '0.00300200']"
65,['0.01570000']
66,['0.01236998']
67,['0.00904127']
68,['0.00570203']
69,"['0.00271987', '0.00237291']"
70,['0.01737119']
71,['0.01436736']
72,['0.01114957']
73,['0.00913929']
74,['0.00592974']
75,"['0.00176259', '0.00259897']"
76,['0.03535793']
77,['0.03195959']
78,['0.02862605']
79,['0.02527834']
80,['0.02194420']
81,['0.01860976']
82,['0.00927750']
83,['0.00593977']
84,"['0.00100000', '0.00260466']"
85,['0.00910000']
86,['1.00000000']
87,"['3.99665865', '0.00105505']"
88,['0.00609255']
89,['0.00343469']
90,['0.01714000']
91,"['3.99598632', '0.01380907']"
92,['0.03000000']
93,['0.02899677']
94,['0.01899327']
95,['0.01698556']
96,['0.00300000']
97,['3.99479004']
98,"['0.01498093', '0.00006080']"
99,"['0.00009719', '0.00098946', '0.00100000']"
100,['0.00480000']
101,"['0.00279265', '0.00116387', '0.00100000']"
102,"['0.00080000', '0.00100000', '0.00026602']"
103,"['0.00300000', '0.00002368']"
104,"['0.00100000', '0.00001654']"
105,['0.00370000']
106,"['0.00107722', '0.00036623', '0.00010004']"
107,"['0.00005780', '0.00100000', '0.00100000', '0.00000551', '0.00006434']"
108,['0.00120000']
109,"['0.00019630', '0.00480000']"
110,['0.00120000']
111,['0.00069355']
112,"['0.00200000', '0.00171142', '0.00009442', '0.00006781', '0.00018856', '0.00010000']"
113,"['0.00270000', '0.00087643']"
114,"['0.00200000', '0.00200000', '0.00100000', '0.00040000']"
115,"['0.00002211', '0.00100000']"
116,"['0.00046478', '0.00341677']"
117,['0.00016287']
118,"['0.00228044', '0.00390000']"
119,"['0.00001911', '0.00300000']"
120,"['0.00163049', '0.00480000', '0.00025639', '0.00010000', '0.00091371', '0.00090000', '0.00006000', '0.00060528', '0.00001082']"
121,"['0.00008000', '0.00500000']"
122,"['0.00169500', '0.00090000', '0.00100000']"
123,"['0.00500000', '0.00360000']"
124,['0.01109159']
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00490000', '0.01000000', '0.00007284', '0.00008182']"
127,['0.00290000']
128,['0.00307676']
129,['0.00444318']
130,"['0.00003855', '0.00020528', '0.00500000', '0.00089529']"
131,"['0.00454585', '0.00172726']"
132,['0.00790000']
133,"['0.00121537', '0.01000000']"
134,"['0.00155454', '0.00226500']"
135,"['0.00016193', '0.00464370', '0.00020924', '0.00500000']"
136,"['0.00106202', '0.00900000']"
137,['0.00213902']
138,['0.00300000']
139,"['0.00049540', '0.00100000', '0.00013380']"
140,"['0.00001722', '0.00069882', '0.00600000', '0.00000443', '0.00500000', '0.00129455']"
141,['0.00800000']
142,"['0.00001548', '0.00200000']"
143,['0.00070000']
144,"['0.00180000', '0.00100000']"
145,"['0.00005267', '0.00024546', '0.00599291', '0.00300000']"
146,"['0.00068256', '0.00280000']"
147,['0.00600000']
148,"['0.00290000', '0.00433049']"
149,"['0.00800000', '0.00044029', '0.00146952']"
150,"['0.00500000', '0.00880000']"
151,"['0.00860000', '0.00002552', '0.00969612', '0.01490000', '0.00900000', '0.01680000']"
152,['0.00407514']
153,"['0.00205234', '0.00090000', '0.00090000', '0.03500000', '0.00880000', '0.00263338']"
154,['0.01000000']
155,['0.00980000']
156,"['0.00659344', '0.01000000', '0.01450000', '0.00500000', '0.06000000', '0.01500000', '0.01000000']"
157,['0.01780000']
158,['0.00963986']
159,"['0.02000000', '0.01422790', '0.00879062', '0.01990000', '0.04000000']"
160,"['0.05900000', '0.05000000']"
161,"['3.00000000', '0.00290507']"
162,['0.00700000']
163,"['0.00000946', '0.00021000', '0.00040000', '0.00084400', '0.00199320', '0.00038000', '0.00009927', '0.00007445', '0.00002022']"
164,['0.00898880']
165,['0.01000000']
166,['0.00398122']
167,['0.00328329']
168,"['0.00000707', '0.01000000']"
169,"['0.00017000', '0.00100000']"
170,"['0.00800000', '0.00499505']"
171,['0.00295828']
172,['0.00158279']
173,['0.02471042']
174,"['0.00500000', '0.00010000']"
175,['0.02020658']
176,"['0.00025040', '0.00999921']"
177,"['0.00009089', '0.00004037', '0.00980000', '0.00030774', '0.00027809']"
178,['0.02959206']
179,['0.00040000']
180,['0.00090000']
181,['0.05000000']
182,['0.05000000']
183,['0.09980000']
184,['0.03300000']
185,['0.00053347']
186,['0.00250000']
187,['0.08944019']
188,"['0.01000000', '0.00500000']"
189,['2.90289762']
190,['0.01000000']
191,['1.99883910']
192,"['0.01000000', '0.01000000']"
193,['0.07828754']
194,"['0.00175635', '0.00025479', '0.00003586']"
195,"['0.00090000', '0.00010000', '0.00016566']"
196,['0.02186379']
197,['0.03966782']
198,['0.01000000']
199,['0.03000000']
200,['0.03865011']
201,['0.01891312']
202,['0.00028000']
