id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00923370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00147529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.00506794,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00174166,22,22,2548
5,0.00319400,0.00002295,0.00011981,0.000129661016949,bnb,2,0,1,,22,20,431
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00286485,20,20,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00021553,20,20,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00226680,20,20,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00141843,21,21,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00006036,21,21,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,28,28,785
12,0.00010100,0.00003958,0.00019026,0.000190288461538,knapsack,2,0,2,0.00001978,29,28,2498
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00025753,28,28,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,28,27,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00595187,33,33,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00192843,34,34,5026
18,0.00665800,0.00011860,0.00047972,0.000484081632653,bnb,3,0,1,,34,31,7805
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01451687,31,31,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,31,30,6513
21,0.00110000,0.00012191,0.00058609,0.000586105769231,srd,2,0,2,0.00222069,30,29,9109
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00766091,29,29,3237
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,2.99752551,29,28,3215
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.01024693,28,28,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,3.99664522,28,28,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,1.99797728,28,28,1596
27,0.00337500,0.00002852,0.00010801,0.000116408163265,bnb,3,0,1,,28,25,358
28,0.00300000,0.00001843,0.00009927,0.000104124293785,bnb,2,0,1,,25,23,66
29,0.00294600,0.00001897,0.00005283,0.0000606070287540,bnb,4,0,1,,23,19,-1045
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,4.99665849,20,20,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00665865,20,20,1149
32,0.00330000,0.00002189,0.00006361,0.0000636337209302,knapsack,4,2,2,0.00023264,20,17,-110
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00014926,17,16,637
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,knapsack,1,0,2,0.00056185,19,19,293
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,19,19,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00294638,19,19,316
37,0.00332900,0.00001451,0.00002890,0.0000592244897959,bnb,3,0,1,,20,17,-711
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00017625,17,16,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00332840,16,16,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00009597,16,16,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00433516,16,16,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00234656,17,17,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,knapsack,2,0,2,0.00012047,17,16,-191
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,18,18,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,19,19,460
46,0.00020000,0.00001644,0.00003719,0.0000928813559322,knapsack,2,0,1,,19,17,-58
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00106998,17,17,316
48,0.00020400,0.00000477,0.00002292,0.0000229326923077,knapsack,2,0,2,0.00007748,18,17,-296
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00171090,17,17,312
50,0.00334300,0.00001192,0.00002891,0.0000289320388350,knapsack,5,0,2,0.00005004,17,13,-1645
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00341533,13,13,329
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00008536,13,13,350
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00691079,13,13,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00358120,13,13,323
