id,input_amounts
0,['0.00329000']
1,['0.00940000']
2,['0.00483000']
3,['0.00923370']
4,['0.00506794']
5,"['0.00147529', '0.00174166']"
6,['0.00329000']
7,['0.00286485']
8,['0.00329400']
9,['0.00794500']
10,['0.00021553']
11,['0.00329400']
12,"['0.00010000', '0.00006036']"
13,['0.00141843']
14,['0.00011747']
15,['0.01000000']
16,['0.00103200']
17,['0.00500000']
18,"['0.00014860', '0.00331400', '0.00331400']"
19,['0.01570000']
20,['0.00100000']
21,"['0.00014860', '0.00329400']"
22,['0.00980000']
23,"['0.00090000', '3.00000000']"
24,['0.01451687']
25,['4.00000000']
26,['2.00000000']
27,"['0.00222069', '0.00100000', '0.00018283']"
28,"['0.00109000', '0.00192843']"
29,"['0.00010863', '0.00226680', '0.00001978', '0.00056976']"
30,['5.00000000']
31,['0.01000000']
32,"['0.00000200', '0.00025753', '0.00000100', '0.00329400']"
33,"['0.00329600', '0.00023264']"
34,['0.00390000']
35,['0.00050000']
36,['0.00595187']
37,"['0.00014926', '0.00300000', '0.00019425']"
38,"['0.00294638', '0.00056185']"
39,['0.00665865']
40,['0.00332840']
41,['0.00766091']
42,['0.00433516']
43,"['0.00234656', '0.00100000']"
44,['0.01000000']
45,['0.00300000']
46,"['0.00012047', '0.00009597']"
47,['0.00194346']
48,"['0.00017625', '0.00011000']"
49,['0.00494133']
50,"['0.00171090', '0.00020000', '0.00034660', '0.00106998', '0.00007748']"
51,['0.01010000']
52,['0.00341533']
53,['0.01024693']
54,['0.00691079']
55,"['0.00076900', '0.01300000']"
56,['0.00358120']
57,['0.01043867']
58,['0.00710773']
59,['0.00377783']
60,['0.01569000']
61,"['0.00005004', '0.03535793']"
62,['0.01235697']
63,['0.00902355']
64,['0.00569060']
65,"['0.00235499', '0.00077340', '0.00057707']"
66,['0.02500000']
67,['0.02167129']
68,['0.01833205']
69,['0.01500293']
70,['0.01167441']
71,['0.00867058']
72,['0.00545279']
73,['0.00344251']
74,['0.03207414']
75,['0.02874337']
76,['0.02543895']
77,['0.02204061']
78,['0.01870707']
79,['0.01535936']
80,['0.01202522']
81,"['0.00869078', '0.00037063', '0.00023296', '0.00008536']"
82,['1.00000000']
83,['0.99666227']
84,['0.00910000']
85,['0.00576575']
86,['0.99332716']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.97284443']
92,['0.00103265']
93,['0.03000000']
94,"['0.00100000', '0.00116387']"
95,['0.00781371']
96,['0.00300000']
97,['4.99665849']
98,"['0.00004134', '0.00002942', '0.01490000', '0.00006080']"
99,"['0.00015250', '0.00100000', '0.00098946']"
100,['0.00480000']
101,['0.00580908']
102,"['0.00122724', '0.00080000']"
103,"['0.00100000', '0.00002104', '0.00100000', '0.00100000']"
104,['0.00107722']
105,"['0.00000924', '0.00300000']"
106,"['0.00100000', '0.00100000']"
107,"['0.00200000', '0.00011965']"
108,"['0.00006974', '0.00100000']"
109,"['0.00045899', '0.00171142', '0.00006428', '0.00270000']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00009442', '0.00200000', '0.00200000', '0.00010000']"
113,"['0.00279265', '0.00069501']"
114,"['0.00037601', '0.00500000']"
115,['0.00444318']
116,"['0.00040000', '0.00004286', '0.00000480', '0.00100000', '0.00228044']"
117,['0.00087643']
118,"['0.00073267', '0.00500000']"
119,"['0.00006000', '0.00300000']"
120,"['0.00390000', '0.00010000', '0.00480000', '0.00005171', '0.00025639', '0.00015751']"
121,"['0.00341677', '0.00163049']"
122,['0.00342888']
123,"['0.00091371', '0.00360000', '0.00004636', '0.00008000', '0.00100000', '0.00290000']"
124,['3.99664522']
125,"['0.00300000', '0.00592000', '0.00110000']"
126,"['0.00169500', '0.00090000', '0.00454585', '0.00790000']"
127,['0.00370000']
128,['0.00169529']
129,['0.00464370']
130,"['0.00090000', '0.00034579', '0.00490000']"
131,"['0.00480000', '0.00141589']"
132,['0.00800000']
133,['0.01109159']
134,"['0.00226500', '0.00165454']"
135,"['0.00002822', '0.00880000', '0.00116202', '0.00002474']"
136,"['0.00500000', '0.00500000', '0.00004010']"
137,"['0.01450000', '0.00100000']"
138,['0.00213902']
139,"['0.00008743', '4.99564057']"
140,"['0.00010471', '0.00043357', '0.00800000', '0.00100000', '0.00300000', '0.00049540']"
141,"['0.00000454', '0.01780000']"
142,"['0.00001855', '0.00200000']"
143,['0.00069882']
144,"['0.00180000', '0.00070000']"
145,"['0.00600000', '0.00024428', '0.00300000', '0.00002769']"
146,"['0.00280000', '0.00038256']"
147,['0.00500000']
148,['0.00600000']
149,['0.01000000']
150,['0.01000000']
151,"['0.00001014', '0.00880000', '0.00860000', '0.00969612', '0.01680000', '0.00900000', '0.00024160', '0.00019413', '0.00263338', '0.00014029', '0.00000645', '0.00290000']"
152,['0.01349230']
153,"['0.00027703', '0.01146950', '0.00333049', '0.00900000', '0.01579409', '0.00980000', '0.00040000']"
154,['0.01000000']
155,['0.00500000']
156,"['0.01000000', '0.01999650', '0.01000000', '0.01500000', '0.00179344', '0.00500000', '0.06000000']"
157,['0.01990000']
158,['0.00090000']
159,"['0.00077095', '0.04000000', '0.00963986', '0.05000000']"
160,"['0.02959206', '0.02000000', '0.03500000', '0.01632790']"
161,['0.95784080']
162,['0.00700000']
163,"['0.00199320', '0.00090000', '0.00002022', '0.00021000', '0.00090144']"
164,['0.01000000']
165,"['0.00499242', '0.00003078']"
166,"['0.00038000', '0.00039958']"
167,['0.00800000']
168,"['0.00000690', '0.01000000']"
169,"['0.00017000', '0.00084400']"
170,['0.02471042']
171,"['0.00040000', '0.00100000']"
172,['0.00499480']
173,"['0.00090000', '0.00371975']"
174,"['0.00000966', '0.00500000']"
175,['0.01467583']
176,['0.03000000']
177,"['0.00980000', '0.00250000']"
178,['0.01979373']
179,['0.00179185']
180,['0.00142771']
181,['0.03300000']
182,['0.09990000']
183,['2.99752551']
184,['0.05000000']
185,['0.00106118']
186,['0.00078250']
187,['0.09980000']
188,['0.06000000']
189,['0.05000000']
190,['0.00446846']
191,['0.00240370']
192,['3.98863039']
193,['3.97650126']
194,['0.03886379']
195,"['0.00001589', '0.00090000', '0.00011409', '0.00007978', '0.00002191']"
