id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,"['0.00329000', '0.00011747']"
3,['0.00483000']
4,"['0.00331400', '0.00002392']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['4.00000000']
9,['0.01553370']
10,['0.00329400']
11,"['1.00000000', '0.00064468']"
12,['0.00014860']
13,['0.00313883']
14,['0.00014860']
15,['3.00000000']
16,['0.00103200']
17,['0.99752821']
18,['0.99445664']
19,['2.99595187']
20,['0.00100000']
21,['0.00794500']
22,['0.00390000']
23,['0.01569000']
24,"['0.00090000', '0.00002077', '0.00329600', '0.00008310']"
25,['0.00940000']
26,"['3.99897280', '0.00010863']"
27,"['0.00002797', '0.00100000', '0.00050000', '0.00056976', '0.00109000', '0.00023909']"
28,['0.00329400']
29,['0.00331400']
30,['0.01000000']
31,['0.01000000']
32,"['0.00000100', '0.00176091', '0.00000200', '0.00197793']"
33,['0.00500000']
34,"['0.00036055', '0.00100000', '0.00010000', '0.00162589', '0.00028000']"
35,['0.00041995']
36,['0.00604522']
37,"['0.00303973', '0.00300000']"
38,['0.00665849']
39,"['0.00332811', '0.00002031']"
40,['0.00665865']
41,['0.00342622']
42,"['3.99704792', '0.00011420']"
43,['0.00676236']
44,"['0.00353823', '0.00270471']"
45,['0.00118252']
46,"['0.00020000', '0.00001663']"
47,['0.00300000']
48,"['0.00011000', '0.00010047']"
49,['0.00900713']
50,['0.00577670']
51,['0.00980000']
52,"['0.00034660', '0.00311533']"
53,"['0.00076900', '0.00012598', '0.00242962', '0.00012960']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,"['0.00010203', '0.01233113']"
58,['0.00910035']
59,['0.00577045']
60,"['0.00276602', '0.00212652']"
61,['0.01010000']
62,['0.00676837']
63,['0.00343495']
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00300566', '3.99517134', '0.00033766']"
68,['0.02500000']
69,['0.02167088']
70,['0.01834236']
71,['0.01533853']
72,['0.01212074']
73,['0.01011046']
74,['0.00690091']
75,['0.00357014']
76,['0.03535793']
77,['0.03195959']
78,"['5.00000000', '0.00026572']"
79,['0.02862605']
80,['0.02529191']
81,['0.02195747']
82,['0.01262521']
83,['0.00928748']
84,['0.00595237']
85,"['0.00100000', '0.00261812']"
86,['0.98773099']
87,"['0.00155665', '0.00060713']"
88,['0.00910000']
89,['0.00644214']
90,"['0.00310464', '0.00043640']"
91,"['0.00010200', '4.99691483']"
92,['0.01714000']
93,['0.01613677']
94,['0.00613327']
95,['0.00412556']
96,['0.00212093']
97,['0.00116387']
98,"['0.00014595', '0.01490000']"
99,['0.00300000']
100,"['0.00002790', '0.00100000', '0.00098860']"
101,['0.00480000']
102,"['0.00100000', '0.00021816', '0.00080000']"
103,"['0.00000994', '0.00300000']"
104,"['0.00100000', '0.00006080']"
105,"['0.00107722', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00011039', '0.00004977', '0.00171142', '0.00006461', '0.00020729']"
108,"['0.00100000', '0.00001398']"
109,['0.00500000']
110,['0.00120000']
111,"['0.00046318', '0.00007424']"
112,"['0.00200000', '0.00009442', '0.00087643', '0.00120000']"
113,"['0.00000852', '0.00200000', '0.00100000', '0.00010000', '0.00001929']"
114,"['0.00500000', '0.00040000']"
115,['3.99517136']
116,"['0.00270000', '0.00100000', '0.00002879']"
117,['0.00228044']
118,"['0.00213668', '0.00003006', '0.00341677']"
119,"['0.00000475', '0.00000602', '0.00300000']"
120,"['0.00360000', '0.00025639', '0.00006000', '0.00444318', '0.00000694', '0.00090000']"
121,"['0.00100000', '0.00010000', '0.00008000', '0.00390000']"
122,"['0.00169500', '0.00006816', '0.00163049']"
123,"['0.00290000', '0.00090000', '0.00480000']"
124,['2.00000000']
125,"['0.00592000', '0.00110000', '0.00300000']"
126,"['0.00490000', '0.00464370', '0.00454585', '0.00007588', '0.00091371']"
127,['0.00370000']
128,['0.00169529']
129,['0.00480000']
130,"['0.00157219', '0.00500000', '0.00000393']"
131,['0.00790000']
132,['0.00800000']
133,"['0.00006084', '0.00900000', '0.00034579', '0.00165454']"
134,"['0.00226500', '0.00045855', '0.00005103']"
135,"['0.01000000', '0.00001525']"
136,"['0.01000000', '0.00000893']"
137,['0.00213902']
138,"['0.00049540', '0.96724826']"
139,['0.00179242']
140,"['0.00069882', '0.00013380', '0.00018541', '0.00500000', '0.00100000', '0.00100000', '0.00500000']"
141,['0.00300000']
142,"['0.00099291', '0.00200000']"
143,['0.00070000']
144,"['0.00098450', '0.00180000']"
145,"['0.00280000', '0.00066706', '0.00600000']"
146,"['0.00020460', '0.00300000']"
147,['0.00600000']
148,"['0.00433049', '0.00290000']"
149,"['0.00016233', '0.00146952', '0.00024546', '0.00800000']"
150,['0.01109159']
151,"['0.00980000', '0.00880000', '0.00006443', '0.00136862', '0.03000000', '0.00900000']"
152,['0.00969612']
153,"['0.01780000', '0.01450000', '0.00090000', '0.00040000', '0.00263338', '0.00880000', '0.00500000', '0.00002087']"
154,['0.01000000']
155,['0.00767332']
156,"['0.00500000', '0.00446676', '0.01000000', '0.01500000', '0.01000000', '0.01680000', '0.06000000']"
157,['0.00860000']
158,['0.00090000']
159,"['0.03500000', '0.00502790', '0.04000000', '0.02000000']"
160,"['0.02959206', '0.05000000', '0.00084400', '0.01990000']"
161,"['0.00963986', '0.05900000', '0.03300000']"
162,['0.00700000']
163,"['0.00031754', '0.00000891', '0.00005076', '0.00199320', '0.00162997', '0.00002022']"
164,['0.01000000']
165,"['0.00499242', '0.00001667']"
166,"['0.00021000', '0.00024777', '0.00038000']"
167,['0.00800000']
168,"['0.01000000', '0.00013608']"
169,"['0.00100000', '0.00013043']"
170,['0.02471042']
171,['0.00499480']
172,['0.00361931']
173,['0.01467583']
174,"['0.00500000', '0.00010000']"
175,"['0.00009089', '0.01017199']"
176,['0.03000000']
177,"['0.00980000', '0.00017000', '0.00005202', '0.00012609', '0.00040000']"
178,['0.01979373']
179,['0.00090000']
180,['0.00053586']
181,['0.05000000']
182,['4.98201148']
183,['0.09980000']
184,['0.05000000']
185,['0.00234426']
186,['0.00206558']
187,"['0.01000000', '0.00132193']"
188,['0.06000000']
189,"['0.00911479', '0.00250000']"
190,['0.00500000']
191,['0.00293524']
192,['0.04581971']
193,['0.03966782']
194,['0.96603563']
195,"['0.00009675', '0.00010000', '0.00090000', '0.00003197']"
196,"['0.00080592', '0.00100000', '0.05000000']"
197,['0.00170000']
198,['0.01000000']
199,['4.97116644']
200,['0.01000000']
201,['0.08944019']
202,['0.00028000']
203,['0.05000000']
204,['0.09990000']
205,['0.09887606']
206,"['0.00044827', '0.00003391', '0.00200000', '0.00006080', '0.00180000', '0.00016933', '0.00068229', '0.00041847', '0.00050000', '0.00390000', '0.00099000', '0.00795187']"
207,['0.02900000']
208,['0.01000000']
209,"['0.00090000', '0.00014000']"
210,['0.00180000']
211,"['0.00598365', '0.00158889', '0.01090000']"
212,"['0.00002676', '0.00900000', '0.01000000', '0.00318000', '0.00005460', '0.00229870', '0.00900000', '0.00990000', '0.01000000', '0.00097600', '0.00400000', '0.01000000', '0.01000000', '0.00869081', '0.00290000', '0.01000000']"
213,"['0.02229613', '0.01000000']"
214,"['0.00019558', '0.00016217']"
215,"['0.00005460', '0.01000000', '0.00010034', '0.03622535', '0.02864125']"
216,"['0.01000000', '0.00000709']"
217,"['0.01000000', '0.01944692', '0.01950000', '0.01498349', '0.01570000', '0.00039116', '0.01000000', '0.01000000']"
218,"['0.00111013', '0.00390000', '0.02400000', '0.00193800']"
