id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,3.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,3.99331901,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.01247910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047438,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226880,22,22,1910
9,0.00650000,0.00005200,0.00018838,0.000188405797101,srd,3,0,2,0.00483560,23,21,3067
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,21,21,1066
11,0.00310000,0.00003793,0.00007917,0.0000791858037578,knapsack,6,0,2,0.00005524,28,23,80
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00316617,24,24,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00200527,24,24,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00037937,24,24,1309
15,0.00400000,0.00004813,0.00034131,0.000343785714286,srd,1,0,2,3.98927088,30,30,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,30,29,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00940753,31,31,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00267435,31,31,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.02381687,31,31,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,31,30,6513
21,0.00110000,0.00012191,0.00058609,0.000586105769231,srd,2,0,2,0.00324785,30,29,9109
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00115491,29,29,3237
23,0.00332600,0.00004324,0.00023312,0.000244293785311,bnb,2,0,1,,29,27,1984
24,0.00424600,0.00003531,0.00016975,0.000169759615385,srd,2,0,2,0.00322864,27,26,2157
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00644522,26,26,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00442250,26,26,1596
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,26,24,949
28,0.00300000,0.00004090,0.00009927,0.0000992718446602,knapsack,5,2,2,0.00001701,24,20,968
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,knapsack,2,0,2,0.00013828,20,19,204
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00165849,20,20,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,3.98592953,20,20,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,3.98299566,20,19,384
33,0.00336300,0.00002093,0.00007874,0.0000854285714286,bnb,3,0,1,,19,16,-278
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00090773,19,18,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00060198,18,18,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00030851,18,18,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00026696,19,18,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00109212,18,18,238
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,srd,2,0,2,2.99832670,18,17,-294
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00617510,17,17,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00284935,17,17,401
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00086075,18,18,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00677587,18,18,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00171720,20,20,254
45,0.00105000,0.00001075,0.00004637,0.0000607344632768,bnb,2,0,1,,21,19,-480
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00006171,19,19,365
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00021864,19,19,312
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00001140,20,20,224
49,0.00322600,0.00000653,0.00003136,0.0000313942307692,knapsack,2,0,2,0.00007598,20,19,-158
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00665292,19,19,188
51,0.00668000,0.00000689,0.00003311,0.000033125000,knapsack,2,0,2,0.00002774,19,18,-224
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00667003,18,18,346
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00333389,18,18,778
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,srd,2,0,2,0.03237275,18,17,-139
55,0.00332500,0.00000889,0.00002561,0.0000808181818182,bnb,1,0,1,,17,16,101
56,0.00300000,0.00000610,0.00002929,0.0000293269230769,srd,2,0,2,0.01010390,16,15,-288
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00676906,15,15,178
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00343916,15,15,246
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00043473,15,15,213
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00677087,15,15,325
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00343924,15,15,227
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,srd,2,0,2,4.99667541,15,14,-138
