id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5637
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,5129
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.99664529,22,22,4807
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5092
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00461872,22,22,3092
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.01247910,22,22,1731
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,2240
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00049838,22,22,2603
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,3.99897280,22,22,2454
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.99347343,23,23,2409
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,23,23,1610
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00017883,30,30,1329
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,2428
13,0.00113200,0.00004263,0.00020493,0.000204951923077,srd,2,0,2,0.01454614,31,30,3832
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,30,29,856
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.99259716,35,35,3924
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,35,34,1869
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,4.99697834,36,35,8886
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00786093,35,34,8422
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,4.99579521,34,34,6381
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,7057
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00211136,33,33,6347
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00115491,33,33,3781
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,4.99243634,33,33,2853
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,4.98816640,33,33,2226
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00054522,33,33,2284
26,0.00200000,0.00003351,0.00016108,0.000161105769231,srd,2,0,2,1.99896649,33,32,3100
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,32,30,1374
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.02198600,30,30,1528
29,0.00294600,0.00001727,0.00005283,0.0000551757188498,bnb,4,0,1,,30,26,961
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00645849,27,27,1704
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,2.99013208,27,27,1693
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,27,26,996
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00162589,26,26,1325
34,0.00333400,0.00001432,0.00002942,0.0000375853018373,bnb,5,0,1,,29,24,628
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00059425,24,24,948
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srd,1,0,2,0.98959167,24,24,860
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srd,1,0,2,0.00606692,25,25,831
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srd,1,0,2,0.98626129,25,25,782
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,0.00914885,25,25,773
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00006157,25,25,926
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,0.00274117,25,25,949
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00012276,26,26,868
43,0.00322000,0.00001139,0.00002925,0.0000464897959184,bnb,3,0,1,,26,23,608
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,srd,1,0,2,0.01692733,25,25,802
45,0.00105000,0.00001157,0.00004637,0.0000653672316384,bnb,2,0,1,,26,24,690
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00038900,24,24,913
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00186769,24,24,860
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,srd,1,0,2,3.99876556,25,25,772
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00006357,25,25,856
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,srd,1,0,2,0.01358025,25,25,831
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,srd,1,0,2,0.00689558,25,25,873
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srd,1,0,2,0.00356561,25,25,894
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,1.99563035,25,25,1326
