id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['1.00000000']
3,['0.00483000']
4,['0.00794500']
5,['0.01569000']
6,['0.00066424']
7,['0.00314770']
8,['4.00000000']
9,['3.00000000']
10,['0.00023909']
11,['0.00329000']
12,['0.00014860']
13,"['0.00002077', '0.01570000']"
14,['0.00011747']
15,['0.99664529']
16,['0.00103200']
17,"['0.00008392', '5.00000000']"
18,"['0.01000000', '0.00461872']"
19,['4.99697834']
20,['0.00100000']
21,['0.00329400']
22,['0.00329400']
23,['4.99579521']
24,['4.99243634']
25,['0.00390000']
26,"['2.00000000', '0.00100000']"
27,"['0.00329600', '0.00010000']"
28,['0.02500000']
29,"['0.00014860', '0.00109000', '0.00056976', '0.00115491']"
30,['0.00980000']
31,['2.99347343']
32,['0.00331400']
33,['0.00500000']
34,"['0.00049838', '0.00050000', '0.00162589', '0.00054522', '0.00017883']"
35,['0.00090000']
36,['0.99259716']
37,['0.00940000']
38,['0.98959167']
39,['0.01247910']
40,['0.00329400']
41,['0.00606692']
42,['0.00211136']
43,"['0.00012276', '0.00300000', '0.00010863']"
44,['0.02198600']
45,"['0.00100000', '0.00006157']"
46,['0.00059425']
47,['0.00274117']
48,['3.99897280']
49,['0.00329400']
50,['0.01692733']
51,['0.01358025']
52,['0.00689558']
53,['1.99896649']
54,"['0.01454614', '0.00076900']"
55,['0.00645849']
56,['0.01000000']
57,['0.03535793']
58,['0.01010000']
59,['0.01198336']
60,"['0.03202699', '0.00038900']"
61,"['0.00677010', '0.00186769']"
62,['0.00530396']
63,['0.98626129']
64,"['0.00914885', '0.00300000']"
65,['0.01300000']
66,"['0.00020000', '0.00312987']"
67,['0.00356561']
68,['0.00699587']
69,['0.00366675']
70,['3.99876556']
71,['0.00786093']
72,['1.99563035']
73,['0.00464314']
74,['0.02908010']
75,['0.98292834']
76,['0.01000000']
77,['0.00897893']
78,['1.99362007']
79,['4.98816640']
80,['4.98483226']
81,['3.99576173']
82,['0.00660166']
83,"['0.00143359', '3.98642947']"
84,['0.00910000']
85,"['0.00576575', '0.00006357']"
86,['0.97962392']
87,['0.02574933']
88,"['0.00022637', '4.98149782']"
89,['2.99013208']
90,['0.00966998']
91,"['0.02402368', '0.00197054']"
92,['1.99027236']
93,['4.97906260']
94,['0.00633905']
95,['2.98679458']
96,['1.98926913']
97,['0.01714000']
98,['0.95914119']
99,['2.98478995']
100,['0.01098887']
101,['2.98277855']
102,['0.03000000']
103,"['1.98725859', '0.00034660']"
104,['0.00300000']
105,['3.98452315']
106,['0.00281833']
107,['0.01612208']
108,['0.00480000']
109,['0.00564539']
110,['0.00171142']
111,"['0.00006080', '0.00033823', '0.00011000']"
112,"['0.00100000', '0.01000000']"
113,"['0.00444318', '0.00326393']"
114,"['0.00080000', '0.00100000', '0.00270000', '0.00087643']"
115,['0.00107722']
116,"['0.00071963', '0.00300000']"
117,['0.00685617']
118,"['0.00010000', '0.00341677', '0.00200000', '0.00006292']"
119,"['0.00200000', '0.00480000']"
120,"['0.00228044', '0.00300000', '0.00008000', '0.00390000']"
121,['0.01780000']
122,['0.03500000']
123,"['0.00459546', '0.01000000']"
124,"['0.00607728', '0.00500000']"
125,"['0.00290000', '0.00120000', '0.00592000']"
126,"['0.00100000', '0.01401198']"
127,['0.00898152']
128,['0.03161748']
129,['0.00790000']
130,['0.01279514']
131,"['0.00091371', '0.00480000', '0.00040000']"
132,"['0.00379630', '0.00110000', '0.00025639', '0.00120000']"
133,"['0.00199252', '0.00163049', '0.00305541', '0.00433134']"
134,['0.00467219']
135,"['0.00060584', '0.00500000', '0.00226500', '0.00213902']"
136,['0.94412895']
137,['0.01450000']
138,['0.00900000']
139,['4.96905910']
140,['0.03026798']
141,['0.01109159']
142,['0.00800000']
143,['0.00049540']
144,"['0.00100000', '0.00697681']"
145,"['0.00280000', '0.00454585', '0.00191644']"
146,"['0.00100000', '0.00600000']"
147,['0.93412261']
148,"['0.00100000', '0.00116387', '0.00360000']"
149,"['0.00090000', '0.00881058', '0.00010000']"
150,"['0.00004086', '0.00300000', '0.00668616']"
151,"['0.01680000', '0.00585937', '0.00069882', '0.00395773', '0.00370000', '0.02799580']"
152,['0.00300000']
153,"['0.00500000', '0.00980000', '3.98151670', '0.00100000']"
154,"['0.00908450', '0.00090000']"
155,['0.00599430']
156,"['1.98459805', '0.00006000']"
157,"['0.00070000', '0.00290000']"
158,['0.00090000']
159,"['0.00464370', '0.00169500', '0.06000000', '0.00128151', '0.01990000', '0.01249478']"
160,"['0.00800000', '0.00100000', '0.93245310']"
161,"['0.00729455', '0.00969612', '0.00900000', '0.01500000', '0.05900000', '0.00002548']"
162,['0.00963986']
163,['2.97819671']
164,['0.00880000']
165,['0.02000000']
166,['0.01499505']
167,"['0.00180000', '0.00021000', '0.00100000']"
168,"['0.00090000', '0.00263338', '0.00463306', '0.00100000', '0.00084400']"
169,['0.03000000']
170,['3.94729134']
171,"['0.00040000', '0.00097720']"
172,['0.07024500']
173,['2.97419056']
174,['0.00860000']
175,"['0.04000000', '0.00500000', '0.00300000']"
176,['1.86365083']
177,['0.02959206']
178,"['0.00090000', '0.00980000']"
179,['0.00038000']
180,['0.00040000']
181,['0.06000000']
182,['0.06896995']
183,['3.93725675']
184,"['0.01000000', '0.00490000']"
185,['0.00100000']
186,['0.00072132']
187,"['0.01908653', '0.00600000']"
188,['0.01429712']
189,"['0.00880000', '0.01000000']"
190,['0.01490000']
191,['0.84143824']
192,['1.85344456']
193,['0.05000000']
194,['0.01000000']
195,['2.96968672']
196,['0.05000000']
197,['0.01000000']
198,['0.02899705']
199,['0.03444710']
200,['0.01000000']
201,['0.02310000']
202,['0.09980000']
203,['0.05812491']
204,['0.00200000']
205,['0.04966782']
206,['1.84131543']
207,"['0.00671241', '0.09955391']"
208,['0.00900000']
209,['0.01000000']
210,['0.00500000']
211,"['0.00044827', '0.00400000', '0.01386135']"
212,"['0.00000200', '0.09990000', '0.00005460', '0.00005076']"
213,"['0.02768786', '0.00170000', '0.00180000']"
214,"['0.00006080', '0.00019558']"
215,"['0.00318000', '0.01000000', '0.00003347', '0.00180000', '0.06000000']"
216,"['0.00795187', '0.00090000', '0.00099000', '0.00017000']"
217,"['0.03778559', '0.00011683', '0.00039116', '0.00374658', '0.00797421', '0.05000000']"
218,"['0.02471042', '0.00250000', '0.00010000', '0.00278774']"
219,['0.00359382']
220,['0.05000000']
