Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19444578,49.0360000000,68,267,383,233,0,184,bnb: **48** ; knapsack: **1** ; Total: **49**,0.00002077,4.99697834,0.769850645924,1.45760854446,0.00441389,0.0000189437339056,0.000462400000,0.004876290000,1,6,1.64377682403,1.21313479010,knapsack: **27** ; srd: **158** ; bnb: **48**
bustabit-tiny-hot-wallet_peak-and-tail,23.92759817,74.8150000000,135,594,752,406,0,293,bnb: **112** ; knapsack: **1** ; Total: **113**,0.00001259,4.99697834,0.609772125700,1.27068164797,0.00772600,0.0000190295566502,0.000918000000,0.008644000000,1,8,1.85221674877,1.49330440194,knapsack: **32** ; srd: **262** ; bnb: **112**
bustabit-tiny-hot-wallet_peak-and-tail,27.28394659,121.980666667,310,961,1019,539,0,368,bnb: **170** ; knapsack: **1** ; Total: **171**,0.00001259,4.99697834,0.524407985245,1.16730703141,0.01065841,0.0000197744155844,0.00210800000,0.01276641000,1,8,1.89053803340,1.43931891161,knapsack: **34** ; srd: **335** ; bnb: **170**
bustabit-tiny-hot-wallet_peak-and-tail,19.66861189,177.173500000,342,1316,1402,684,0,428,bnb: **254** ; knapsack: **2** ; Total: **256**,0.00001259,4.99697834,0.458160842360,1.09531455214,0.01321226,0.0000193161695906,0.00232560000,0.01553786000,1,11,2.04970760234,1.53548078207,knapsack: **42** ; srd: **388** ; bnb: **254**
bustabit-tiny-hot-wallet_peak-and-tail,26.29851204,218.902400000,426,1682,1739,818,0,483,bnb: **332** ; knapsack: **3** ; Total: **335**,0.00001259,5.04688436,0.423059685983,1.06140776922,0.01584899,0.0000193752933985,0.00289680000,0.01874579000,1,11,2.12591687042,1.56069789584,knapsack: **53** ; srd: **433** ; bnb: **332**
bustabit-tiny-hot-wallet_peak-and-tail,18.38235172,248.145333333,367,2008,2209,992,0,568,bnb: **420** ; knapsack: **4** ; Total: **424**,0.00000622,5.04688436,0.373861802465,1.00752174084,0.02045575,0.0000206207157258,0.00249560000,0.02295135000,1,14,2.22681451613,1.68867741639,knapsack: **75** ; srd: **497** ; bnb: **420**
bustabit-tiny-hot-wallet_peak-and-tail,26.40612806,269.959428571,462,2415,2552,1085,0,599,bnb: **480** ; knapsack: **6** ; Total: **486**,0.00000622,6.96031800,0.370660291736,1.02077586954,0.02226248,0.0000205184147465,0.00314160000,0.02540408000,1,20,2.35207373272,1.93613622021,knapsack: **88** ; srd: **517** ; bnb: **480**
bustabit-tiny-hot-wallet_peak-and-tail,23.47408008,296.655250000,494,2818,2955,1182,0,631,bnb: **542** ; knapsack: **9** ; Total: **551**,0.00000622,6.96031800,0.354863957861,0.997393221976,0.02490579,0.0000210708883249,0.00335920000,0.02826499000,1,20,2.5,2.20604588393,knapsack: **108** ; srd: **532** ; bnb: **542**
bustabit-tiny-hot-wallet_peak-and-tail,15.35732962,317.957333333,437,3213,3459,1287,0,683,bnb: **592** ; knapsack: **12** ; Total: **604**,0.00000502,6.96031800,0.332083393016,0.962748263093,0.02883432,0.0000224042890443,0.00297160000,0.03180592000,1,24,2.68764568765,2.81332554035,knapsack: **128** ; srd: **567** ; bnb: **592**
bustabit-tiny-hot-wallet_peak-and-tail,15.78121596,325.872400000,381,3571,3938,1429,0,748,bnb: **666** ; knapsack: **15** ; Total: **681**,0.00000448,6.96031800,0.312711034813,0.925404346627,0.03182055,0.0000222677046886,0.00259080000,0.03441135000,1,24,2.75577326802,2.80777293329,knapsack: **154** ; srd: **609** ; bnb: **666**
