id,input_amounts
0,['0.00329000']
1,['2.00000000']
2,['0.01569000']
3,['0.00483000']
4,"['0.00011747', '0.00329000']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00331400']
9,['0.01570000']
10,['3.00000000']
11,"['0.00329600', '1.99983370']"
12,['0.01233529']
13,['0.00500000']
14,['0.00940000']
15,['0.01010000']
16,['0.00103200']
17,['4.00000000']
18,['3.99692843']
19,['0.01000000']
20,['0.00100000']
21,['0.01000000']
22,"['0.00228680', '0.00917343']"
23,['0.00605187']
24,['0.02500000']
25,['0.00390000']
26,['0.00329400']
27,"['0.00008310', '0.00331400']"
28,['0.00881687']
29,"['0.00014860', '0.00064468', '0.00090000', '0.00127128']"
30,['2.99984483']
31,['3.99020278']
32,['0.00980000']
33,"['0.00014860', '0.00054522', '0.00269300']"
34,"['0.00881736', '0.00056976']"
35,['2.99650332']
36,['0.02073006']
37,"['0.00023909', '0.00010000', '0.00300000']"
38,"['1.00000000', '0.00010863']"
39,['0.00927937']
40,['0.00329400']
41,['0.00580287']
42,['0.01220746']
43,['0.00383910']
44,"['0.00100000', '0.00050000', '0.00247712', '0.00109000']"
45,"['0.00006157', '0.00100000']"
46,['2.00001323']
47,"['0.00061497', '0.00020000', '0.00006396']"
48,['0.00300000']
49,['0.01021886']
50,['0.00594912']
51,['1.99980798']
52,['0.01772457']
53,['0.01439460']
54,['0.01000000']
55,['0.03535793']
56,['0.01105846']
57,['0.00929924']
58,['0.00596830']
59,['0.00805433']
60,['1.99312331']
61,['0.99677665']
62,['0.00794500']
63,['1.98979028']
64,['1.98645733']
65,['0.00667041']
66,['0.00334039']
67,['3.98686143']
68,['0.01300000']
69,['0.00461158']
70,['0.00698843']
71,['3.98352219']
72,['0.00279276']
73,"['0.00034660', '0.99344502']"
74,['0.99057754']
75,['2.99619757']
76,"['0.00649103', '0.00078248']"
77,['1.98312172']
78,['3.98030440']
79,['0.98724677']
80,"['0.00604700', '0.00128306']"
81,"['0.00967088', '3.97695669', '0.00001168']"
82,['0.98391263']
83,['0.00398460']
84,"['0.00011000', '0.98057490']"
85,['0.00387263']
86,['0.97734626']
87,['0.00910000']
88,['5.00000000']
89,['0.95686353']
90,"['0.00100000', '0.00399303']"
91,"['3.97730291', '0.00737435']"
92,['0.00263840']
93,['1.97978818']
94,['2.99289315']
95,['0.00260204']
96,"['0.00165928', '0.00480000']"
97,['0.00116387']
98,['0.03000000']
99,['0.03202931']
100,['2.99088544']
101,['4.99734214']
102,"['0.00370000', '0.00064949']"
103,"['0.00086518', '0.00014595', '0.00100000', '0.00100000']"
104,['0.00300000']
105,"['0.00100000', '0.01714000']"
106,['0.00444373']
107,['0.00500000']
108,['0.00500000']
109,"['0.00163517', '0.00059741', '0.00270000']"
110,['0.00790000']
111,['0.00076900']
112,"['0.00026401', '0.00679442']"
113,['0.95352603']
114,"['0.00300000', '3.96967191']"
115,"['0.00341677', '0.00100000']"
116,"['0.01490000', '0.00339568']"
117,['0.00120000']
118,"['0.00107722', '0.00006080', '0.00200000', '0.00010000', '0.00234329']"
119,"['0.00008000', '0.00100000', '0.00087643', '0.00105624']"
120,"['0.00592000', '0.00100000', '0.00006000', '0.00228044']"
121,"['0.00399630', '0.00091371', '0.00010000']"
122,['0.00504990']
123,['4.99276030']
124,['0.95041813']
125,"['0.00291460', '0.00166738', '0.00100000', '0.00444318']"
126,"['0.00480000', '0.00169500', '0.00163049', '0.00490000', '0.00199252']"
127,['0.00290691']
128,['0.01109159']
129,['2.98887809']
130,['0.01780000']
131,['0.01513049']
132,['0.00800000']
133,"['0.00464370', '0.00165454', '0.00300000', '0.00171142']"
134,['0.01000000']
135,['0.01169102']
136,"['0.00902291', '0.00100000']"
137,['0.94240330']
138,['0.94039808']
139,['4.98424798']
140,"['0.00880000', '0.00168674', '0.00025639', '0.00226500']"
141,['1.96978468']
142,['2.98565028']
143,['0.00049540']
144,"['0.00004086', '0.00600000']"
145,"['0.00360000', '0.00069882', '0.00500000']"
146,['0.00724425']
147,['4.98264097']
148,"['0.00213902', '0.00288990', '0.00070000', '0.00003636']"
149,['1.96777759']
150,['0.00974209']
151,"['0.01457700', '0.00290000', '0.00263338', '0.00390000', '0.03500000']"
152,['0.00290000']
153,"['0.01498776', '0.00001912', '0.00500000', '0.03001791']"
154,"['0.01000000', '0.00110000']"
155,['0.01500000']
156,"['0.00420432', '0.00392342', '0.01179344', '0.00480000', '0.01450000', '0.01680000', '0.00500000', '0.06000000']"
157,['0.00900000']
158,['0.00087720']
159,"['0.00500000', '0.00001356', '0.00500000', '0.05000000', '0.04000000']"
160,"['2.98364458', '0.00300000']"
161,"['3.96730070', '0.00963986']"
162,['0.00800000']
163,['0.02959206']
164,"['0.00100000', '0.01990000']"
165,"['0.00111557', '0.00090000', '0.00299320']"
166,['0.02558591']
167,"['0.00100000', '0.00021000', '0.00180000']"
168,['0.06000000']
169,"['0.00017000', '0.00084400']"
170,['0.03300000']
171,"['0.00038000', '0.00090000', '0.00010000']"
172,['0.05900000']
173,"['0.00280000', '0.00000966', '0.00080000', '0.00090000']"
174,['0.00980000']
175,"['0.01000000', '0.01000000']"
176,['0.05000000']
177,['0.05772495']
178,['0.09990000']
179,['0.00040000']
180,['0.00040000']
181,['0.02488798']
182,"['0.00200000', '0.01000000']"
183,['0.02296541']
184,"['0.00300000', '3.87693311']"
185,['0.00040000']
186,['0.00090000']
187,"['0.01000000', '0.00120000']"
188,"['0.00454585', '0.00880000', '0.00090000']"
189,"['0.00500000', '0.01000000']"
190,['2.88663338']
191,"['0.00090000', '0.00200000']"
192,"['0.03979373', '0.00002796']"
193,['4.98097146']
194,['0.00980000']
195,['4.96994489']
196,['0.02471042']
197,['0.07024500']
198,['0.03000000']
199,"['0.00099000', '0.05000000']"
200,['0.06000000']
201,['0.01455580']
202,['0.00900000']
203,['4.96883372']
204,['0.01260560']
205,['0.01588883']
206,['0.04721942']
207,"['0.00044827', '0.00200000', '0.01158166']"
208,['0.01000000']
209,['0.00300000']
210,['0.00180000']
211,"['0.01570000', '0.00199103', '0.00012132', '0.00050000']"
212,"['0.00390000', '0.00598365', '0.00090220', '0.08922106', '0.00000200']"
213,"['0.00229870', '0.00014000', '0.00006080', '0.02869081']"
214,['0.00990000']
215,"['0.00019558', '0.00400000', '0.06922729', '0.00158889']"
216,"['0.00900000', '0.00003347', '0.00097600']"
217,"['0.00010000', '0.02900000', '0.00915752', '0.00380368', '0.05795187']"
218,"['0.01950000', '0.00969612', '0.00090000']"
219,['0.00318000']
220,['0.05000000']
221,"['0.00700000', '0.00777421', '0.00005460', '0.09980000', '0.00969500']"
222,"['0.00096700', '0.00113356', '0.02310000', '0.00875391']"
223,"['0.00010000', '0.00015635']"
224,"['0.00250000', '0.00005460', '0.02830892', '0.00003586']"
225,"['0.00964498', '0.05000000', '0.00978914', '0.00028000', '0.07000000', '0.01030000']"
226,['1.95797172']
