Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19436195,45.9120000000,68,267,388,233,0,189,bnb: **44** ; Total: **44**,0.00000966,4.99734214,0.828111184603,1.48338092768,0.00449772,0.0000193035193133,0.000462400000,0.004960120000,1,8,1.66523605150,1.18882804508,knapsack: **23** ; srd: **166** ; bnb: **44**
bustabit-tiny-hot-wallet_peak-and-tail,23.92756174,74.7510000000,140,594,744,406,0,290,bnb: **116** ; Total: **116**,0.00000966,4.99734214,0.696689639138,1.36531703752,0.00776243,0.0000191192857143,0.000952000000,0.008714430000,1,8,1.83251231527,1.31713384814,knapsack: **26** ; srd: **264** ; bnb: **116**
bustabit-tiny-hot-wallet_peak-and-tail,27.28372585,117.760000000,277,961,1038,539,0,354,bnb: **185** ; Total: **185**,0.00000966,4.99734214,0.593761720282,1.26584861441,0.01087915,0.0000201839517625,0.00188360000,0.01276275000,1,8,1.92578849722,1.32535436791,knapsack: **27** ; srd: **327** ; bnb: **185**
bustabit-tiny-hot-wallet_peak-and-tail,19.66842034,167.717500000,309,1316,1422,684,0,415,bnb: **268** ; knapsack: **1** ; Total: **269**,0.00000890,4.99734214,0.513250763349,1.18527077461,0.01340381,0.0000195962134503,0.00210120000,0.01550501000,1,11,2.07894736842,1.46293235383,knapsack: **33** ; srd: **383** ; bnb: **268**
bustabit-tiny-hot-wallet_peak-and-tail,26.29705882,197.391200000,322,1682,1834,818,0,474,bnb: **342** ; knapsack: **2** ; Total: **344**,0.00000890,4.99734214,0.459001512911,1.12496799812,0.01730221,0.0000211518459658,0.00218960000,0.01949181000,1,54,2.24205378973,2.44450607998,knapsack: **42** ; srd: **434** ; bnb: **342**
bustabit-tiny-hot-wallet_peak-and-tail,18.38097275,212.949000000,252,2008,2319,992,0,563,bnb: **424** ; knapsack: **5** ; Total: **429**,0.00000890,8.21989292,0.428490071528,1.14526883186,0.02183472,0.0000220108064516,0.00171360000,0.02354832000,1,54,2.33770161290,2.49477151739,knapsack: **57** ; srd: **511** ; bnb: **424**
bustabit-tiny-hot-wallet_peak-and-tail,26.40465241,218.865428571,310,2415,2702,1085,0,597,bnb: **481** ; knapsack: **7** ; Total: **488**,0.00000890,8.21989292,0.427096837806,1.14528585430,0.02373813,0.0000218784608295,0.00210800000,0.02584613000,1,54,2.49032258065,2.66920880297,knapsack: **65** ; srd: **539** ; bnb: **481**
bustabit-tiny-hot-wallet_peak-and-tail,23.47277467,234.306500000,366,2818,3085,1182,0,633,bnb: **542** ; knapsack: **7** ; Total: **549**,0.00000890,8.21989292,0.408562488231,1.11622683171,0.02621120,0.0000221752961083,0.00248880000,0.02870000000,1,54,2.60998307953,2.78090778246,knapsack: **83** ; srd: **557** ; bnb: **542**
bustabit-tiny-hot-wallet_peak-and-tail,15.35585200,248.027333333,287,3213,3611,1287,0,685,bnb: **592** ; knapsack: **10** ; Total: **602**,0.00000890,8.21989292,0.382965670788,1.07715338564,0.03031194,0.0000235524009324,0.00195160000,0.03226354000,1,54,2.80574980575,3.29562571807,knapsack: **98** ; srd: **597** ; bnb: **592**
bustabit-tiny-hot-wallet_peak-and-tail,15.77994844,248.470600000,263,3571,4069,1429,0,761,bnb: **657** ; knapsack: **11** ; Total: **668**,0.00000448,8.21989292,0.365499231078,1.05403635865,0.03308807,0.0000231547025892,0.00178840000,0.03487647000,1,54,2.84744576627,3.24606454001,knapsack: **123** ; srd: **649** ; bnb: **657**
bustabit-tiny-hot-wallet_peak-and-tail,22.01669862,243.687454545,214,3938,4557,1562,0,833,bnb: **718** ; knapsack: **11** ; Total: **729**,0.00000439,8.21989292,0.358289171885,1.05013653455,0.03626909,0.0000232196478873,0.00145520000,0.03772429000,1,54,2.91741357234,3.32003665676,knapsack: **145** ; srd: **699** ; bnb: **718**
bustabit-tiny-hot-wallet_peak-and-tail,20.44388469,237.233000000,168,4278,5031,1722,0,921,bnb: **790** ; knapsack: **11** ; Total: **801**,0.00000439,8.21989292,0.343124861053,1.00753946929,0.03977895,0.0000231004355401,0.00114240000,0.04092135000,1,54,2.92160278746,3.22616557556,knapsack: **161** ; srd: **771** ; bnb: **790**
bustabit-tiny-hot-wallet_peak-and-tail,20.92215948,233.536615385,220,4650,5419,1850,0,989,bnb: **847** ; knapsack: **14** ; Total: **861**,0.00000439,8.21989292,0.334651306775,0.976142369038,0.04284510,0.0000231595135135,0.00149600000,0.04434110000,1,54,2.92918918919,3.20405062248,knapsack: **171** ; srd: **832** ; bnb: **847**
bustabit-tiny-hot-wallet_peak-and-tail,27.28303478,231.852000000,220,4990,5855,2010,0,1085,bnb: **910** ; knapsack: **15** ; Total: **925**,0.00000439,8.21989292,0.319587989687,0.938141260108,0.04664291,0.0000232054278607,0.00149600000,0.04813891000,1,54,2.91293532338,3.13919359500,knapsack: **174** ; srd: **926** ; bnb: **910**
bustabit-tiny-hot-wallet_peak-and-tail,16.99817392,230.788400000,181,5335,6325,2165,0,1171,bnb: **975** ; knapsack: **19** ; Total: **994**,0.00000439,8.21989292,0.304075817464,0.908958573227,0.04925886,0.0000227523602771,0.00123080000,0.05048966000,1,54,2.92147806005,3.10778725496,knapsack: **185** ; srd: **1005** ; bnb: **975**
bustabit-tiny-hot-wallet_peak-and-tail,12.91751771,222.490375000,79,5654,6873,2346,0,1298,bnb: **1029** ; knapsack: **19** ; Total: **1048**,0.00000439,8.21989292,0.354171729931,1.02539241249,0.05365005,0.0000228687340153,0.000537200000,0.054187250000,1,54,2.92966751918,3.16102296070,knapsack: **196** ; srd: **1121** ; bnb: **1029**
bustabit-tiny-hot-wallet_peak-and-tail,26.62418403,215.327411765,145,5963,7256,2537,0,1438,bnb: **1080** ; knapsack: **19** ; Total: **1099**,0.00000439,8.21989292,0.352670192128,1.02053014241,0.05782708,0.0000227934883721,0.000986000000,0.058813080000,1,54,2.86007094994,3.08075621038,knapsack: **207** ; srd: **1250** ; bnb: **1080**
bustabit-tiny-hot-wallet_peak-and-tail,15.61091923,212.598666667,169,6278,7667,2722,0,1558,bnb: **1144** ; knapsack: **20** ; Total: **1164**,0.00000439,8.21989292,0.344623193318,0.994828453700,0.06123667,0.0000224969397502,0.00114920000,0.06238587000,1,54,2.81667891256,3.01701184078,knapsack: **216** ; srd: **1362** ; bnb: **1144**
bustabit-tiny-hot-wallet_peak-and-tail,19.57984545,210.157473684,160,6573,8113,2927,0,1700,bnb: **1207** ; knapsack: **20** ; Total: **1227**,0.00000439,8.21989292,0.326169455394,0.956729180455,0.06508020,0.0000222344379911,0.00108800000,0.06616820000,1,54,2.77177997950,2.94953852678,knapsack: **239** ; srd: **1481** ; bnb: **1207**
bustabit-tiny-hot-wallet_peak-and-tail,13.43106922,207.754200000,165,6892,8543,3108,0,1816,bnb: **1271** ; knapsack: **21** ; Total: **1292**,0.00000439,8.21989292,0.313503473376,0.928642737364,0.06881300,0.0000221406048906,0.00112200000,0.06993500000,1,54,2.74871299871,2.89760590900,knapsack: **254** ; srd: **1583** ; bnb: **1271**
bustabit-tiny-hot-wallet_peak-and-tail,13.06941621,201.824571429,60,7193,9102,3307,0,1969,bnb: **1315** ; knapsack: **23** ; Total: **1338**,0.00000439,8.21989292,0.353008583829,1.01598972113,0.07445166,0.0000225133534926,0.000408000000,0.074859660000,1,54,2.75234351376,2.96899532738,knapsack: **294** ; srd: **1698** ; bnb: **1315**
bustabit-tiny-hot-wallet_peak-and-tail,12.20539807,196.246000000,122,7533,9492,3467,0,2081,bnb: **1363** ; knapsack: **23** ; Total: **1386**,0.00000439,8.21989292,0.359676871667,1.01394513588,0.07862679,0.0000226786241708,0.000829600000,0.079456390000,1,54,2.73781367176,2.92839495413,knapsack: **303** ; srd: **1801** ; bnb: **1363**
bustabit-tiny-hot-wallet_peak-and-tail,27.27143759,194.195565217,218,7877,9843,3623,0,2184,bnb: **1416** ; knapsack: **23** ; Total: **1439**,0.00000439,8.21989292,0.354643538539,1.00440401280,0.08132434,0.0000224466850676,0.00148240000,0.08280674000,1,54,2.71680927408,2.88876449888,knapsack: **305** ; srd: **1902** ; bnb: **1416**
bustabit-tiny-hot-wallet_peak-and-tail,15.42914492,195.510416667,139,8204,10358,3796,0,2293,bnb: **1479** ; knapsack: **24** ; Total: **1503**,0.00000437,8.21989292,0.348254416075,0.996539308039,0.08430867,0.0000222098709168,0.000945200000,0.085253870000,1,54,2.72866174921,2.92607745554,knapsack: **323** ; srd: **1994** ; bnb: **1479**
bustabit-tiny-hot-wallet_peak-and-tail,24.52459820,194.933200000,200,8541,10733,3959,0,2392,bnb: **1543** ; knapsack: **24** ; Total: **1567**,0.00000437,8.21989292,0.349319927124,1.00217646830,0.08832763,0.0000223105910583,0.00136000000,0.08968763000,1,54,2.71103814094,2.88754305766,knapsack: **330** ; srd: **2086** ; bnb: **1543**
