id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5637
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,5129
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.01234529,22,22,4807
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5092
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.01236372,22,22,3092
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002624,22,21,2410
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2240
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,21,21,2603
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,4.99897280,21,21,2454
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.99347343,22,22,2409
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00314083,22,22,1610
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002966,29,29,1329
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00318617,30,30,2428
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00213310,30,30,2574
14,0.00010200,0.00002424,0.00013210,0.000136949152542,bnb,2,0,1,,30,28,1597
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00535187,34,34,3924
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1869
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00702843,35,35,5570
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00307435,35,35,5295
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.99881687,35,35,6381
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,7057
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00211136,34,34,6347
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,34,33,2501
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.99545800,33,33,2853
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00807535,33,33,2226
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00164522,33,33,2284
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.99343528,33,33,2140
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,33,31,2037
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.00698600,31,31,1528
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srd,2,0,2,0.00738544,31,30,1292
30,0.00332500,0.00002436,0.00011709,0.000117115384615,srd,2,0,2,0.00637121,31,30,2365
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00460365,30,30,1693
32,0.00330000,0.00001344,0.00006361,0.0000759322033898,bnb,2,0,1,,30,28,804
33,0.00336300,0.00001638,0.00007874,0.00007875000,srd,2,0,2,0.99216726,28,27,1725
34,0.00333400,0.00001504,0.00002942,0.0000394750656168,bnb,5,0,1,,30,25,700
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00019425,25,25,948
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00018068,25,25,860
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srd,1,0,2,3.99666692,26,26,831
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,srd,2,0,2,0.00227167,26,25,809
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,0.00365575,25,25,773
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srd,1,0,2,0.00313878,25,25,926
41,0.00332000,0.00001303,0.00004075,0.0000736158192090,bnb,2,0,1,,25,23,859
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00028307,24,24,868
43,0.00322000,0.00000966,0.00002925,0.0000394285714286,bnb,3,0,1,,24,21,435
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,srd,2,0,2,0.02383958,23,22,843
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srd,1,0,2,0.00894346,23,23,1000
