id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.01570000']
3,['0.00483000']
4,['0.01569000']
5,"['0.00312770', '0.00011747']"
6,['0.00066424']
7,['0.00329000']
8,['5.00000000']
9,['3.00000000']
10,['0.00329600']
11,['0.00314083']
12,['0.00331400']
13,['0.00329400']
14,"['0.00010000', '0.00002624']"
15,['0.00940000']
16,['0.00103200']
17,['0.01010000']
18,['0.00980000']
19,['1.00000000']
20,['0.00100000']
21,['0.00329400']
22,['0.00213310']
23,['0.99881687']
24,['0.01234529']
25,['0.00500000']
26,['0.99545800']
27,"['0.00010863', '0.00329400']"
28,['0.01000000']
29,"['0.00331400', '0.00702843']"
30,"['0.00807535', '0.00164522']"
31,['0.00794500']
32,"['0.00307435', '0.00023909']"
33,"['0.00211136', '0.99343528']"
34,"['0.00109000', '0.00014860', '0.00056976', '0.00090000', '0.00064068']"
35,['0.00050000']
36,['0.00318617']
37,['4.00000000']
38,"['0.00460365', '0.00100000']"
39,['0.00698600']
40,['0.00637121']
41,"['0.00019425', '0.00313878']"
42,['0.00227167']
43,"['0.00002966', '0.00020000', '0.00300000']"
44,"['0.02500000', '0.00390000']"
45,['0.01000000']
46,['0.00028307']
47,['0.00100000']
48,['0.00365575']
49,"['0.00012652', '0.00300000', '0.00011000']"
50,['0.00344851']
51,['0.00738544']
52,['0.00535187']
53,"['0.03535793', '0.00202190', '0.00034660']"
54,['0.00894346']
55,['0.00561387']
56,['0.01000000']
57,"['0.00228525', '0.00018068', '0.00076900', '0.00010143']"
58,['0.00699587']
59,['0.00366597']
60,['0.01236372']
61,['0.00903069']
62,['0.00569906']
63,['0.02383958']
64,['0.03437963']
65,['2.99347343']
66,['0.03104402']
67,['2.99014341']
68,['2.00000000']
69,['0.99216726']
70,"['0.00014860', '3.99666692']"
71,['2.98680417']
72,['0.00236564']
73,['0.01300000']
74,['0.00979045']
75,['0.00645968']
76,['2.98358638']
77,['3.99380987']
78,['1.99667088']
79,['2.98018804']
80,['0.02771531']
81,['0.02050663']
82,['1.99332317']
83,['0.98883874']
84,['0.01117437']
85,['0.00315526']
86,['0.02438087']
87,['3.99047633']
88,['2.97685390']
89,['0.00389814']
90,"['0.01714000', '0.00100000', '0.00056064']"
91,['0.01536404']
92,"['0.00007782', '0.00784012']"
93,"['0.00066154', '0.98550363']"
94,['0.00910000']
95,['1.98998544']
96,['0.03000000']
97,['0.02798946']
98,"['4.99897280', '0.00070077']"
99,['0.00691317']
100,['1.98798081']
101,['0.02697154']
102,['0.00444318']
103,['4.98465552']
104,['1.98597346']
105,"['0.00100000', '0.00300000']"
106,['0.00480000']
107,['0.00300000']
108,"['0.00014781', '0.00006080', '0.00080000']"
109,['0.03500000']
110,['0.00116387']
111,['0.00390000']
112,['0.00490177']
113,"['0.01490000', '0.00100000']"
114,['1.98496598']
115,"['0.00107722', '0.03007424']"
116,['0.00709229']
117,['0.00035536']
118,"['0.00120000', '0.00100000', '0.00337672']"
119,"['0.00021160', '0.00243898', '0.00036041']"
120,"['0.00800000', '0.00120000', '0.00005829']"
121,"['0.00100000', '0.00228044', '0.00010000', '0.00163049']"
122,['0.97616001']
123,"['4.98165068', '0.00090000']"
124,"['0.00171142', '0.00290000', '0.00341677']"
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00326318', '0.01000000', '0.00076175', '0.00099049']"
127,['0.00490000']
128,['0.01278835']
129,"['2.97419604', '0.00088990']"
130,"['0.00480000', '0.00800000']"
131,"['0.00091371', '0.00040000', '0.00480000']"
132,"['0.00339501', '0.00289529', '0.00006000']"
133,['4.97403250']
134,['0.00360000']
135,['1.97959805']
136,"['0.00100000', '0.01143885']"
137,['0.00900000']
138,['0.00500000']
139,['0.00300000']
140,"['0.00226500', '0.00010000', '0.00600000', '0.00464370']"
141,"['0.00025639', '0.00008000', '0.00169500']"
142,['0.00500000']
143,['0.00049540']
144,['0.00880000']
145,['3.98875068']
146,"['0.00100000', '4.96302834']"
147,['0.00454585']
148,['0.00880000']
149,"['0.00001752', '0.00370000', '0.00280000', '0.00329455']"
150,"['0.00213902', '0.00668817', '0.00090000']"
151,"['0.01780000', '0.00139299', '0.00300000', '0.00668676', '0.03013037']"
152,['0.00290000']
