Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19445181,44.1260000000,64,267,390,233,0,187,bnb: **45** ; knapsack: **1** ; Total: **46**,0.00001752,4.99897280,0.752195340267,1.42060755706,0.00440786,0.0000189178540773,0.000435200000,0.004843060000,1,9,1.67381974249,1.24777439873,knapsack: **41** ; srd: **147** ; bnb: **45**
bustabit-tiny-hot-wallet_peak-and-tail,23.92764991,69.9980000000,135,594,751,406,0,292,bnb: **113** ; knapsack: **1** ; Total: **114**,0.00001752,4.99897280,0.593362153185,1.26762415015,0.00767426,0.0000189021182266,0.000918000000,0.008592260000,1,9,1.84975369458,1.40355366914,knapsack: **43** ; srd: **250** ; bnb: **113**
bustabit-tiny-hot-wallet_peak-and-tail,27.28387739,112.130000000,279,961,1039,539,0,357,bnb: **181** ; knapsack: **1** ; Total: **182**,0.00000412,4.99897280,0.511990021064,1.18051906924,0.01072761,0.0000199028014842,0.00189720000,0.01262481000,1,9,1.92764378479,1.37027532821,knapsack: **46** ; srd: **312** ; bnb: **181**
bustabit-tiny-hot-wallet_peak-and-tail,19.66857705,163.851500000,304,1316,1431,684,0,419,bnb: **263** ; knapsack: **2** ; Total: **265**,0.00000412,4.99897280,0.443449156539,1.10259417076,0.01324710,0.0000193671052632,0.00206720000,0.01531430000,1,13,2.09210526316,1.52442167630,knapsack: **51** ; srd: **370** ; bnb: **263**
bustabit-tiny-hot-wallet_peak-and-tail,26.29731707,194.725200000,341,1682,1823,818,0,482,bnb: **333** ; knapsack: **3** ; Total: **336**,0.00000412,9.43462384,0.457713882614,1.26218426742,0.01704396,0.0000208361369193,0.00231880000,0.01936276000,1,53,2.22860635697,2.41685498503,knapsack: **63** ; srd: **422** ; bnb: **333**
bustabit-tiny-hot-wallet_peak-and-tail,18.38070003,212.470333333,226,2008,2352,992,0,570,bnb: **418** ; knapsack: **4** ; Total: **422**,0.00000412,9.43462384,0.425835460123,1.22136087564,0.02210744,0.0000222857258065,0.00153680000,0.02364424000,1,53,2.37096774194,2.63476024046,knapsack: **73** ; srd: **501** ; bnb: **418**
bustabit-tiny-hot-wallet_peak-and-tail,26.40441904,216.753428571,303,2415,2719,1085,0,607,bnb: **473** ; knapsack: **5** ; Total: **478**,0.00000412,9.43462384,0.425176021433,1.21546609815,0.02397150,0.0000220935483871,0.00206040000,0.02603190000,1,53,2.50599078341,2.74487295627,knapsack: **83** ; srd: **529** ; bnb: **473**
bustabit-tiny-hot-wallet_peak-and-tail,23.47235164,233.508000000,371,2818,3098,1182,0,651,bnb: **525** ; knapsack: **6** ; Total: **531**,0.00000412,9.43462384,0.401165461997,1.17806521255,0.02663423,0.0000225331895093,0.00252280000,0.02915703000,1,53,2.62098138748,2.85497614535,knapsack: **99** ; srd: **558** ; bnb: **525**
bustabit-tiny-hot-wallet_peak-and-tail,15.35550748,248.853777778,309,3213,3608,1287,0,704,bnb: **576** ; knapsack: **7** ; Total: **583**,0.00000412,9.43462384,0.372709251861,1.13721267573,0.03065646,0.0000238200932401,0.00210120000,0.03275766000,1,53,2.80341880342,3.32637148334,knapsack: **118** ; srd: **593** ; bnb: **576**
bustabit-tiny-hot-wallet_peak-and-tail,15.77946610,251.915600000,287,3571,4059,1429,0,775,bnb: **644** ; knapsack: **10** ; Total: **654**,0.00000412,9.43462384,0.347412899794,1.08869905042,0.03357041,0.0000234922393282,0.00195160000,0.03552201000,1,53,2.84044786564,3.27386969326,knapsack: **153** ; srd: **632** ; bnb: **644**
bustabit-tiny-hot-wallet_peak-and-tail,22.01555873,243.288727273,169,3938,4623,1562,0,854,bnb: **698** ; knapsack: **10** ; Total: **708**,0.00000412,9.89999392,0.375687078700,1.18832430048,0.03740898,0.0000239494110115,0.00114920000,0.03855818000,1,53,2.95966709347,3.62039732114,knapsack: **171** ; srd: **693** ; bnb: **698**
bustabit-tiny-hot-wallet_peak-and-tail,20.44310955,235.531666667,167,4278,5057,1722,0,946,bnb: **764** ; knapsack: **12** ; Total: **776**,0.00000412,9.89999392,0.370058963372,1.16417261249,0.04055409,0.0000235505749129,0.00113560000,0.04168969000,1,53,2.93670150987,3.50363805813,knapsack: **188** ; srd: **770** ; bnb: **764**
bustabit-tiny-hot-wallet_peak-and-tail,20.92145001,231.492615385,213,4650,5454,1850,0,1017,bnb: **820** ; knapsack: **13** ; Total: **833**,0.00000412,9.89999392,0.359015243451,1.12713810625,0.04355457,0.0000235430108108,0.00144840000,0.04500297000,1,53,2.94810810811,3.46745811129,knapsack: **201** ; srd: **829** ; bnb: **820**
