id,input_amounts
0,['0.00329000']
1,['3.00000000']
2,['0.00483000']
3,['0.00940000']
4,['0.00794500']
5,['0.00329000']
6,['0.00500000']
7,['0.00329400']
8,['0.00457485']
9,"['0.00329400', '0.00329400']"
10,"['0.00011747', '0.00004881']"
11,['0.00329400']
12,['0.00014860']
13,['0.01570000']
14,['0.00014860']
15,['0.00980000']
16,['0.00103200']
17,['0.00575187']
18,['5.00000000']
19,['0.00331400']
20,['0.00100000']
21,['0.01000000']
22,['0.00213087']
23,['0.01569000']
24,['0.01010000']
25,['0.00881736']
26,['0.00390000']
27,"['0.00329600', '0.00010000']"
28,['2.99983370']
29,"['0.00090000', '0.00018283', '0.00187728']"
30,"['0.00331400', '0.01233113']"
31,['0.01453910']
32,['0.01000000']
33,['0.00546258']
34,"['0.00050000', '0.00208847', '0.00007910', '0.00010863', '0.00056976']"
35,['0.00064468']
36,['0.00354765']
37,"['0.00300000', '0.00033893']"
38,['2.00000000']
39,['2.99681970']
40,['0.01119775']
41,['0.00523424']
42,"['0.00100000', '0.00190849']"
43,"['0.00002797', '0.00020000', '0.00091771', '0.00109000', '0.00100000']"
44,['0.01229577']
45,['0.00147529']
46,['0.00041875']
47,['0.00268030']
48,['0.00021350']
49,['2.99348945']
50,['1.99666962']
51,['0.00669103']
52,['0.00583006']
53,['0.00723710']
54,"['1.00000000', '0.00034660']"
55,['0.01000000']
56,"['0.00002077', '2.99025902']"
57,['4.00000000']
58,['0.03535793']
59,['0.00796532']
60,['3.99666906']
61,['4.99327435']
62,['4.98994272']
63,['4.98660930']
64,['0.01300000']
65,['2.98727369']
66,['0.00496089']
67,"['0.00300000', '0.02500000']"
68,['3.99333603']
69,['1.99332254']
70,['0.00461872']
71,['0.03202803']
72,['0.00966439']
73,['1.98999402']
74,['0.99701482']
75,['3.99000691']
76,['2.98394367']
77,['0.00390096']
78,['0.00667138']
79,['0.99368405']
80,"['0.00100000', '3.98670249']"
81,['2.98054533']
82,['0.00765411']
83,['1.98678447']
84,['4.98327635']
85,"['4.97994210', '0.00011000']"
86,"['0.00332367', '0.02465874']"
87,['0.00180682']
88,"['0.00076900', '0.02881024']"
89,['0.01714000']
90,"['0.00161489', '0.00910000']"
91,['0.99034991']
92,['1.98344936']
93,['0.97534628']
94,['0.00431638']
95,['3.98436546']
96,['0.01380250']
97,['2.97121307']
98,['2.97019515']
99,['0.00738114']
100,"['2.95518291', '0.00008117']"
101,['1.98244613']
102,['4.97704111']
103,['4.97503691']
104,['2.95325323']
105,['3.98236083']
106,['0.00444318']
107,['2.95224575']
108,['0.00480000']
109,['0.01780000']
110,['4.97203207']
111,['0.00054216']
112,['0.00536974']
113,"['0.00200000', '0.00003717', '0.00107722']"
114,"['1.97786429', '0.00010000']"
115,"['0.00100000', '0.00006080']"
116,['0.00500000']
117,['0.00040000']
118,"['0.00171142', '0.00250009', '0.00056742', '0.00080000']"
119,"['0.00128443', '0.00341677']"
120,"['0.00390000', '0.00300000', '0.00008000', '0.00228044']"
121,"['0.00230867', '0.00270000']"
122,"['0.00169291', '0.00169500']"
123,['0.01000000']
124,"['0.00800000', '0.00100000']"
125,"['0.00290000', '0.00592000', '0.00120000']"
126,"['0.01109159', '0.00290636', '0.00003971', '0.00097813']"
127,"['0.00110000', '0.00091371']"
128,['0.00200000']
129,['0.00454585']
130,['0.00749696']
131,"['0.00379630', '0.00100000', '0.00131804']"
132,['1.97259308']
133,"['0.00464370', '0.00300000', '0.00122972', '0.00148768', '0.00065050']"
134,['0.00900000']
135,"['0.00000677', '0.01000000']"
136,"['0.00624425', '0.00213902', '0.00163049']"
137,"['0.00006000', '0.00120000', '0.00025624', '0.00049540']"
138,['0.01490000']
139,['0.00163218']
140,['0.96534278']
141,"['4.97092649', '0.00200000']"
142,['0.01450000']
143,['0.00069882']
144,"['0.00100000', '0.00087643', '0.00024428']"
145,"['0.00226500', '0.00300000', '0.00300000', '0.00100000']"
146,['0.95234256']
147,['0.00500000']
148,"['0.00116387', '0.00280000', '0.00180000']"
149,['0.02691765']
150,"['0.00100000', '0.00090000', '0.00090000', '0.00333049', '0.00360000']"
151,"['0.00100000', '0.03000000', '0.01319455', '0.01179196', '0.00002517', '0.00300000']"
152,['0.01680000']
153,"['0.00263338', '0.00070000', '0.00969612', '0.00200000', '0.03500000']"
154,['0.01711178']
155,['0.00880000']
156,"['0.01249430', '0.00559344', '0.06000000', '0.00025639', '0.00500000', '0.00790000', '0.01500000', '0.01477720']"
157,['0.00500000']
158,['0.00090000']
159,"['0.00005076', '0.00010000', '4.97091604', '0.00600000']"
160,"['0.00142790', '0.02959206', '0.05900000', '0.01000000']"
161,"['0.00713200', '2.95013565']"
162,['0.02471042']
163,['0.00500000']
164,"['0.00480000', '0.00021000']"
165,"['0.02000000', '0.00490000']"
166,['0.01989269']
167,['0.00900000']
168,"['0.00300000', '0.00017000', '0.00599480', '0.00084400']"
169,['0.04000000']
170,"['0.00040000', '0.00963986']"
171,"['0.00038000', '0.00010000', '0.00090000']"
172,['0.00880000']
173,"['0.00138798', '0.01000000']"
174,['0.03000000']
175,['0.05000000']
176,"['0.05000000', '0.00700000']"
177,['2.85726020']
178,"['0.00980000', '0.00090000']"
179,['0.00040000']
180,['0.00099385']
181,['0.03300000']
182,['0.01990000']
183,['3.97935438']
184,['3.96899457']
185,['0.00062732']
186,['0.00100000']
187,['0.94930263']
188,"['0.07024500', '0.00500000']"
189,"['0.01000000', '0.00500000']"
190,['0.01000000']
191,['0.01000000']
192,['0.03979263']
193,"['0.00905496', '0.00380368']"
