Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19444162,45.9480000000,65,267,387,233,0,185,bnb: **47** ; knapsack: **1** ; Total: **48**,0.00000677,4.99327435,0.901230512054,1.58514384918,0.00441805,0.0000189615879828,0.000442000000,0.004860050000,1,8,1.66094420601,1.25638814607,knapsack: **26** ; srd: **160** ; bnb: **47**
bustabit-tiny-hot-wallet_peak-and-tail,23.92762435,71.9080000000,149,594,739,406,0,294,bnb: **110** ; knapsack: **2** ; Total: **112**,0.00000677,4.99327435,0.725007091667,1.39313364091,0.00769982,0.0000189650738916,0.00101320000,0.00871302000,1,8,1.82019704433,1.37155798970,knapsack: **30** ; srd: **266** ; bnb: **110**
bustabit-tiny-hot-wallet_peak-and-tail,27.28383336,116.082000000,291,961,1032,539,0,362,bnb: **175** ; knapsack: **2** ; Total: **177**,0.00000677,4.99327435,0.660318377901,1.31501512232,0.01077164,0.0000199844897959,0.00197880000,0.01275044000,1,8,1.91465677180,1.37966795444,knapsack: **33** ; srd: **331** ; bnb: **175**
bustabit-tiny-hot-wallet_peak-and-tail,19.66850292,166.875,318,1316,1422,684,0,424,bnb: **258** ; knapsack: **2** ; Total: **260**,0.00000677,4.99327435,0.574209611887,1.23430004690,0.01332123,0.0000194754824561,0.00216240000,0.01548363000,1,13,2.07894736842,1.52947461391,knapsack: **45** ; srd: **381** ; bnb: **258**
bustabit-tiny-hot-wallet_peak-and-tail,26.29745597,198.484000000,334,1682,1828,818,0,480,bnb: **333** ; knapsack: **5** ; Total: **338**,0.00000677,8.15937975,0.536156741125,1.24104552358,0.01690506,0.0000206663325183,0.00227120000,0.01917626000,1,40,2.23471882641,2.12375213136,knapsack: **55** ; srd: **430** ; bnb: **333**
bustabit-tiny-hot-wallet_peak-and-tail,18.38144049,218.035666667,299,2008,2284,992,0,575,bnb: **411** ; knapsack: **6** ; Total: **417**,0.00000646,8.15937975,0.507004467026,1.24901930928,0.02136698,0.0000215392943548,0.00203320000,0.02340018000,1,40,2.30241935484,2.12649287349,knapsack: **73** ; srd: **508** ; bnb: **411**
bustabit-tiny-hot-wallet_peak-and-tail,26.40513599,233.968857143,385,2415,2633,1085,0,603,bnb: **474** ; knapsack: **8** ; Total: **482**,0.00000510,8.15937975,0.493073412438,1.22357130830,0.02325455,0.0000214327649770,0.00261800000,0.02587255000,1,40,2.42672811060,2.22353747380,knapsack: **83** ; srd: **528** ; bnb: **474**
bustabit-tiny-hot-wallet_peak-and-tail,23.47312412,257.181750000,432,2818,3023,1182,0,637,bnb: **537** ; knapsack: **8** ; Total: **545**,0.00000510,8.15937975,0.468757176829,1.19533118393,0.02586175,0.0000218796531303,0.00293760000,0.02879935000,1,40,2.55752961083,2.42020635548,knapsack: **99** ; srd: **546** ; bnb: **537**
bustabit-tiny-hot-wallet_peak-and-tail,15.35614387,274.021333333,323,3213,3573,1287,0,683,bnb: **593** ; knapsack: **11** ; Total: **604**,0.00000510,8.15937975,0.441293990190,1.15958306724,0.03002007,0.0000233256177156,0.00219640000,0.03221647000,1,40,2.77622377622,3.06735589698,knapsack: **117** ; srd: **577** ; bnb: **593**
bustabit-tiny-hot-wallet_peak-and-tail,15.78016190,274.942600000,286,3571,4037,1429,0,752,bnb: **666** ; knapsack: **11** ; Total: **677**,0.00000510,8.15937975,0.411327398059,1.11154118751,0.03287461,0.0000230053254024,0.00194480000,0.03481941000,1,40,2.82505248425,3.03461162784,knapsack: **136** ; srd: **627** ; bnb: **666**
bustabit-tiny-hot-wallet_peak-and-tail,22.01663954,267.340000000,216,3938,4548,1562,0,826,bnb: **724** ; knapsack: **12** ; Total: **736**,0.00000439,8.15937975,0.395697257893,1.07990016728,0.03632817,0.0000232574711908,0.00146880000,0.03779697000,1,40,2.91165172855,3.16752094580,knapsack: **151** ; srd: **687** ; bnb: **724**
bustabit-tiny-hot-wallet_peak-and-tail,20.44411548,261.023500000,177,4278,5013,1722,0,912,bnb: **796** ; knapsack: **14** ; Total: **810**,0.00000439,8.15937975,0.379917554792,1.04065239295,0.03954816,0.0000229664111498,0.00120360000,0.04075176000,1,40,2.91114982578,3.09499097889,knapsack: **167** ; srd: **759** ; bnb: **796**
bustabit-tiny-hot-wallet_peak-and-tail,20.92240766,255.631846154,222,4650,5413,1850,0,985,bnb: **851** ; knapsack: **14** ; Total: **865**,0.00000439,8.15937975,0.365560211137,1.00613768379,0.04259692,0.0000230253621622,0.00150960000,0.04410652000,1,40,2.92594594595,3.08565783243,knapsack: **179** ; srd: **820** ; bnb: **851**
bustabit-tiny-hot-wallet_peak-and-tail,27.28324859,251.713285714,203,4990,5861,2010,0,1074,bnb: **921** ; knapsack: **15** ; Total: **936**,0.00000439,8.15937975,0.345287336555,0.967227187824,0.04642910,0.0000230990547264,0.00138040000,0.04780950000,1,40,2.91592039801,3.02559107737,knapsack: **189** ; srd: **900** ; bnb: **921**
bustabit-tiny-hot-wallet_peak-and-tail,16.99835184,248.325333333,154,5335,6337,2165,0,1156,bnb: **993** ; knapsack: **16** ; Total: **1009**,0.00000439,8.15937975,0.329794593772,0.945949941487,0.04908094,0.0000226701801386,0.00104720000,0.05012814000,1,40,2.92702078522,3.01218024005,knapsack: **196** ; srd: **976** ; bnb: **993**
bustabit-tiny-hot-wallet_peak-and-tail,12.91822424,237.857500000,89,5654,6853,2346,0,1288,bnb: **1042** ; knapsack: **16** ; Total: **1058**,0.00000439,8.15937975,0.362586367624,0.992135684558,0.05294352,0.0000225675703325,0.000605200000,0.053548720000,1,40,2.92114236999,3.07048757707,knapsack: **207** ; srd: **1097** ; bnb: **1042**
bustabit-tiny-hot-wallet_peak-and-tail,26.62482196,230.310117647,145,5963,7235,2537,0,1417,bnb: **1103** ; knapsack: **17** ; Total: **1120**,0.00000439,8.15937975,0.346433705018,0.962218629261,0.05718915,0.0000225420378400,0.000986000000,0.058175150000,1,40,2.85179345684,2.99198945898,knapsack: **215** ; srd: **1219** ; bnb: **1103**
bustabit-tiny-hot-wallet_peak-and-tail,15.61167679,227.479111111,195,6278,7628,2722,0,1545,bnb: **1158** ; knapsack: **19** ; Total: **1177**,0.00000439,8.15937975,0.332572404065,0.930471295772,0.06047911,0.0000222186296841,0.00132600000,0.06180511000,1,40,2.80235121234,2.93464678707,knapsack: **222** ; srd: **1342** ; bnb: **1158**
bustabit-tiny-hot-wallet_peak-and-tail,19.58081794,225.846631579,210,6573,8048,2927,0,1685,bnb: **1220** ; knapsack: **22** ; Total: **1242**,0.00000439,8.15937975,0.314774763056,0.896312038343,0.06410771,0.0000219021899556,0.00142800000,0.06553571000,1,40,2.74957294158,2.86691816109,knapsack: **236** ; srd: **1471** ; bnb: **1220**
bustabit-tiny-hot-wallet_peak-and-tail,13.43204634,225.444100000,218,6892,8475,3108,0,1801,bnb: **1283** ; knapsack: **24** ; Total: **1307**,0.00000439,8.15937975,0.302954578851,0.870259185800,0.06783588,0.0000218262162162,0.00148240000,0.06931828000,1,40,2.72683397683,2.81925662764,knapsack: **253** ; srd: **1572** ; bnb: **1283**
bustabit-tiny-hot-wallet_peak-and-tail,13.07152139,219.576761905,76,7193,9070,3307,0,1953,bnb: **1329** ; knapsack: **25** ; Total: **1354**,0.00000433,8.86535402,0.342548637578,0.978138764418,0.07234648,0.0000218767704868,0.000516800000,0.072863280000,1,46,2.74266706985,3.04711985423,knapsack: **296** ; srd: **1682** ; bnb: **1329**
bustabit-tiny-hot-wallet_peak-and-tail,12.20752363,213.965545455,125,7533,9466,3467,0,2058,bnb: **1378** ; knapsack: **31** ; Total: **1409**,0.00000433,8.86535402,0.347113061054,0.974349781595,0.07650123,0.0000220655408134,0.000850000000,0.077351230000,1,46,2.73031439285,3.00522933143,knapsack: **312** ; srd: **1777** ; bnb: **1378**
bustabit-tiny-hot-wallet_peak-and-tail,27.27352305,211.360608696,219,7877,9817,3623,0,2159,bnb: **1433** ; knapsack: **31** ; Total: **1464**,0.00000433,8.86535402,0.350471435188,0.982323923429,0.07923888,0.0000218710681755,0.00148920000,0.08072808000,1,46,2.70963290091,2.96177254017,knapsack: **322** ; srd: **1868** ; bnb: **1433**
bustabit-tiny-hot-wallet_peak-and-tail,15.43116494,212.148750000,154,8204,10322,3796,0,2272,bnb: **1491** ; knapsack: **33** ; Total: **1524**,0.00000433,8.86535402,0.339571744811,0.965923751260,0.08228865,0.0000216777265543,0.00104720000,0.08333585000,1,46,2.71917808219,2.98872028945,knapsack: **344** ; srd: **1961** ; bnb: **1491**
bustabit-tiny-hot-wallet_peak-and-tail,24.52665684,211.746720000,237,8541,10679,3959,0,2375,bnb: **1547** ; knapsack: **37** ; Total: **1584**,0.00000433,8.86535402,0.339092957916,0.963784116515,0.08626899,0.0000217906011619,0.00161160000,0.08788059000,1,46,2.69739833291,2.94815755119,knapsack: **354** ; srd: **2058** ; bnb: **1547**
bustabit-tiny-hot-wallet_peak-and-tail,20.82528064,212.997846154,230,8875,11111,4125,0,2466,bnb: **1621** ; knapsack: **38** ; Total: **1659**,0.00000433,8.86535402,0.334844677490,0.948571356152,0.08880435,0.0000215283272727,0.00156400000,0.09036835000,1,46,2.69357575758,2.90809264829,knapsack: **369** ; srd: **2135** ; bnb: **1621**
bustabit-tiny-hot-wallet_peak-and-tail,14.89710038,213.399037037,226,9156,11555,4344,0,2625,bnb: **1676** ; knapsack: **43** ; Total: **1719**,0.00000433,8.86535402,0.322271595284,0.922853253274,0.09223975,0.0000212338282689,0.00153680000,0.09377655000,1,46,2.65999079190,2.85890501363,knapsack: **406** ; srd: **2262** ; bnb: **1676**
bustabit-tiny-hot-wallet_peak-and-tail,21.57865823,215.285714286,274,9452,11949,4548,0,2771,bnb: **1732** ; knapsack: **45** ; Total: **1777**,0.00000433,8.86535402,0.311524504637,0.901943007605,0.09654734,0.0000212285268250,0.00186320000,0.09841054000,1,46,2.62730870712,2.81311798219,knapsack: **439** ; srd: **2377** ; bnb: **1732**
bustabit-tiny-hot-wallet_peak-and-tail,17.76892819,218.423103448,298,9756,12362,4744,0,2904,bnb: **1793** ; knapsack: **47** ; Total: **1840**,0.00000433,8.86535402,0.300610811952,0.882938104358,0.09956111,0.0000209867432546,0.00202640000,0.10158751000,1,46,2.60581787521,2.78261823606,knapsack: **465** ; srd: **2486** ; bnb: **1793**
bustabit-tiny-hot-wallet_peak-and-tail,18.09015665,220.492066667,253,10038,12832,4962,0,3047,bnb: **1864** ; knapsack: **51** ; Total: **1915**,0.00000433,8.86535402,0.293695114785,0.865828158220,0.10455496,0.0000210711326078,0.00172040000,0.10627536000,1,46,2.58605401048,2.73987314402,knapsack: **498** ; srd: **2600** ; bnb: **1864**
bustabit-tiny-hot-wallet_peak-and-tail,15.02973604,220.659770572,233,10076,12921,5005,0,3078,bnb: **1875** ; knapsack: **52** ; Total: **1927**,0.00000433,8.86535402,0.291801278304,0.862023520987,0.10528083,0.0000210351308691,0.00158440000,0.10686523000,1,46,2.58161838162,2.73269238885,knapsack: **503** ; srd: **2627** ; bnb: **1875**
