id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5637
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,5129
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00459029,22,22,4807
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00042453,22,22,5092
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00150372,22,22,3092
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00004624,22,21,2410
6,0.00040100,0.00002353,0.00017125,0.000213909090909,bnb,1,0,1,,21,20,1497
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,20,20,2603
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00047652,20,20,2454
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,21,20,3554
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,1.99984483,20,20,1610
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,27,27,1329
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00316817,28,28,2428
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.01453910,28,28,2574
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.02487937,28,28,1853
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00605187,34,34,3924
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1869
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,0.00207725,35,34,8886
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00896435,34,34,5295
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00198504,34,34,6381
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,7057
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00213136,33,33,6347
22,0.00209300,0.00003836,0.00032686,0.000348727272727,bnb,1,0,1,,33,32,2327
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.99664113,32,32,2853
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00178193,32,32,2226
25,0.00333000,0.00003655,0.00017571,0.000175721153846,srd,2,0,2,0.00564404,32,31,3343
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00797728,31,31,2140
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,1.99645460,31,31,1614
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,1.99344060,31,31,1528
29,0.00294600,0.00001556,0.00005283,0.0000635102040816,bnb,3,0,1,,31,28,926
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,1.99009909,29,29,1704
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,4.99665865,29,29,1693
32,0.00330000,0.00001585,0.00006361,0.0000646938775510,bnb,3,0,1,,29,26,909
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00460317,26,26,1325
34,0.00333400,0.00000881,0.00002942,0.0000497740112994,bnb,2,0,1,,29,27,485
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srd,1,0,2,1.98979334,27,27,948
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srd,1,0,2,0.00679451,27,27,860
37,0.00332900,0.00000408,0.00002890,0.0000289361702128,srd,1,0,2,0.00346143,28,28,831
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,srd,1,0,2,0.00231366,28,28,782
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,srd,1,0,2,4.99332840,28,28,773
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,srd,1,0,2,4.99009597,28,28,926
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,4.98677022,28,28,945
42,0.00198400,0.00001391,0.00003259,0.0000365091863517,bnb,5,0,1,,29,24,574
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,srd,1,0,2,0.00677587,24,24,830
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,srd,2,0,2,0.00471545,26,25,839
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,srd,1,0,2,0.02382283,26,26,1000
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00036451,26,26,909
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00012652,26,26,856
48,0.00020400,0.00000600,0.00002292,0.0000338983050847,bnb,2,0,1,,27,25,231
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srd,1,0,2,4.98353979,25,25,714
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,srd,1,0,2,2.99665292,25,25,689
51,0.00668000,0.00000914,0.00003311,0.0000331159420290,srd,3,0,2,0.00485730,25,23,911
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srd,1,0,2,0.00152733,23,23,752
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,srd,1,0,2,0.00056386,23,23,1184
