id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.00794500']
3,['0.00459029']
4,['0.00483000']
5,"['0.00011747', '0.00314770']"
6,['0.00042453']
7,['0.00329000']
8,['0.00150372']
9,"['0.00329400', '0.00329400']"
10,['2.00000000']
11,['0.00329400']
12,['0.00329600']
13,['0.01570000']
14,['0.02500000']
15,['0.01010000']
16,['0.00103200']
17,"['0.00018283', '0.00500000']"
18,['0.01569000']
19,['0.00316817']
20,['0.00100000']
21,['0.00331400']
22,['0.00213136']
23,['1.00000000']
24,['0.00605187']
25,"['0.00004624', '0.00896435']"
26,['0.01000000']
27,['1.99984483']
28,['1.99645460']
29,"['0.00047652', '0.00198504', '0.00050000']"
30,['1.99344060']
31,['5.00000000']
32,"['0.00014860', '0.00207725', '0.00109000']"
33,['0.00797728']
34,"['0.00329400', '0.00004881']"
35,['1.99009909']
36,['0.00980000']
37,['0.00679451']
38,['0.00564404']
39,['4.99665865']
40,['4.99332840']
41,['4.99009597']
42,"['0.00020000', '0.00064068', '0.00014860', '0.00090000', '0.00010863']"
43,['0.01000000']
44,"['0.00300000', '0.00677587']"
45,['0.02487937']
46,['0.00056976']
47,['0.00100000']
48,"['0.00010000', '0.00011000']"
49,['4.98677022']
50,['3.00000000']
51,"['0.00940000', '0.00036451', '0.00178193']"
52,['0.00485730']
53,['0.00390000']
54,['0.01000000']
55,['0.00460317']
56,"['0.00127455', '2.99665292']"
57,"['0.00231366', '0.00152733']"
58,['0.01300000']
59,['0.00667041']
60,['0.03535793']
61,['2.99492137']
62,"['0.00471545', '0.00056386']"
63,['0.00967010']
64,['0.02382283']
65,['2.99158974']
66,"['0.03202490', '0.00300000', '0.00050818']"
67,['4.98353979']
68,"['0.00100000', '4.98020055']"
69,['0.00346143']
70,['0.03220082']
71,"['0.00013291', '0.01453910']"
72,['0.02919699']
73,['0.00366598']
74,['1.98979334']
75,['0.02048722']
76,['0.01718280']
77,['0.02718671']
78,['1.98646257']
79,"['0.00100000', '0.01378446']"
80,['0.01145148']
81,['1.98311486']
82,['0.01144693']
83,['0.02385317']
84,['4.97786947']
85,"['0.02051806', '0.00045643']"
86,['4.97453522']
87,['0.00194332']
88,['0.00633715']
89,['0.00367929']
90,['0.00810920']
91,"['4.95405249', '0.00477827']"
92,['4.00000000']
93,['4.94382541']
94,['2.98825972']
95,['0.01714000']
96,['0.01513537']
97,['0.01780000']
98,['2.98625201']
99,"['0.00480000', '0.00012652']"
100,['0.01490000']
101,['0.00811704']
102,['0.01796350']
103,"['0.00107722', '0.00116387', '0.00076900']"
104,['3.99899677']
105,['0.00500000']
106,['0.99664113']
107,['0.00300000']
108,['0.00480000']
109,['0.00910000']
110,"['0.00021767', '0.00088990']"
111,['4.93382191']
112,"['0.00034660', '0.00379630']"
113,['0.01678208']
114,"['0.00080000', '0.00417424', '0.00040000']"
115,['0.00790000']
116,"['0.00390000', '0.00228044']"
117,['0.00444318']
118,"['0.00500000', '0.01595930']"
119,"['0.00010000', '0.00290970']"
120,"['0.00246176', '0.00592000', '0.00087643']"
121,"['0.00090000', '0.00120000', '0.00171142', '0.00120000']"
122,"['3.99798929', '0.00006080']"
123,"['0.00163049', '0.00688570']"
124,['2.97123977']
125,"['0.00429942', '0.00008000', '0.00110000', '0.00454585']"
126,"['0.01367418', '0.00090000', '0.00010000', '0.00034179']"
127,['3.99466399']
128,['0.00169500']
129,['0.01450000']
130,['0.00800000']
131,['0.01312483']
132,"['0.00025639', '0.00034550', '0.00370000', '0.00006000', '0.00199355']"
133,['0.99510431']
134,"['0.00189102', '0.00091371']"
135,"['0.00270000', '0.00300000', '0.00200000', '0.00004721', '0.00226500']"
136,"['0.01109159', '0.00341677']"
137,['0.00213902']
138,['0.03500000']
139,['0.00300000']
140,"['3.99265928', '0.00100000']"
141,"['0.00100000', '0.98410015']"
142,['0.00300000']
143,['0.00049540']
144,"['0.01538414', '0.00200000']"
145,"['0.00360000', '0.00500000', '0.00069882']"
146,['0.00600000']
147,['0.00300000']
148,"['0.00280000', '0.00296007']"
149,"['0.00180000', '0.00099430', '0.00701725']"
150,"['0.00290000', '0.00449901', '0.00100000', '0.00133049']"
151,"['0.00464370', '0.00500000', '0.01127219', '0.03329455', '0.00480000']"
152,['4.93331692']
153,['4.93129412']
154,['4.88128372']
155,['0.01526670']
156,"['2.96322494', '0.00100000']"
157,['0.01990000']
158,['0.03000000']
159,['2.84321772']
160,"['0.00139299', '0.00900000', '0.06000000', '0.02959206', '0.00003636']"
161,['1.97378260']
162,"['0.00084400', '0.00700000']"
163,['0.00600000']
164,"['0.00263338', '0.00200000', '0.00038000']"
165,['0.00963986']
166,['0.00070000']
167,['0.05000000']
168,"['0.00004086', '0.00290000', '0.00490000', '0.00200000', '0.00017000']"
169,['0.03000000']
170,['0.02471042']
171,['0.01500000']
172,['0.05000000']
173,"['0.00021000', '0.00040000', '0.00300000', '0.00090000']"
174,['0.02899705']
175,"['0.04699480', '0.00969612']"
176,['0.01467583']
177,"['0.00013380', '0.00040000', '0.01000000']"
178,['0.01632790']
179,['0.00090000']
180,['0.00053586']
181,['0.02399087']
182,"['0.01000000', '0.00090000']"
183,['0.04872495']
184,"['0.00500000', '0.02915076']"
185,['0.00100000']
186,['0.00072132']
187,['0.01289265']
188,['0.03836514']
189,"['0.01000000', '0.05000000']"
190,['0.01680000']
191,"['0.00016933', '0.00564896']"
192,"['0.01206014', '0.00010000']"
193,['0.01365869']
194,['0.00263212']
195,['0.02310000']
196,['0.98308970']
197,['0.00446956']
198,['0.96753680']
199,"['0.00880000', '0.04000000']"
200,"['0.00180000', '0.04880368']"
201,['0.07024500']
202,['0.00028000']
203,['0.03300000']
204,['0.00318000']
205,"['0.00980000', '0.05900000']"
206,"['0.00800000', '0.00001717', '0.01090000']"
207,"['0.00100000', '0.01362451']"
208,['0.01000000']
209,"['0.00099000', '0.00002298']"
210,['0.02299734']
211,['2.74321311']
212,"['0.09980000', '0.00003356', '0.00003391', '0.00014000']"
213,"['0.00044827', '0.02900000', '0.00174000']"
214,"['0.00019558', '0.00006080']"
215,"['0.00860000', '0.06253576', '0.00097600', '0.00290000']"
216,"['0.00005460', '0.00990000', '0.00005460']"
217,"['0.00250000', '0.00180000', '0.00229870', '0.06000000', '0.02974123', '0.00367504']"
218,"['0.00060015', '0.01570000', '0.00100000', '0.00400000', '0.00880000']"
219,['0.00039116']
220,['0.96622761']
