----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.19448377 | 50.1300000000 | 71 | 267 | 384 | 233 | 0 | 188 | bnb: **45** ; Total: **45** | 0.00001717 | 4.99665865 | 0.816863664255 | 1.57819980557 | 0.00437590 | 0.0000187806866953 | 0.000482800000 | 0.004858700000 | 1 | 8 | 1.64806866953 | 1.18747346776 | knapsack: **29** ; srd: **159** ; bnb: **45** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.92774459 | 77.7080000000 | 148 | 594 | 742 | 406 | 0 | 296 | bnb: **110** ; Total: **110** | 0.00001259 | 4.99665865 | 0.687581329223 | 1.40607172472 | 0.00757958 | 0.0000186689162562 | 0.00100640000 | 0.00858598000 | 1 | 8 | 1.82758620690 | 1.35713117399 | knapsack: **33** ; srd: **263** ; bnb: **110** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28392816 | 123.610666667 | 300 | 961 | 1025 | 539 | 0 | 364 | bnb: **175** ; Total: **175** | 0.00000677 | 4.99665865 | 0.608145044588 | 1.31447779690 | 0.01067684 | 0.0000198086085343 | 0.00204000000 | 0.01271684000 | 1 | 8 | 1.90166975881 | 1.34536827452 | knapsack: **37** ; srd: **327** ; bnb: **175** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.66875342 | 178.803500000 | 347 | 1316 | 1397 | 684 | 0 | 428 | bnb: **255** ; knapsack: **1** ; Total: **256** | 0.00000677 | 9.94999202 | 0.551341080607 | 1.31082468279 | 0.01307073 | 0.0000191092543860 | 0.00235960000 | 0.01543033000 | 1 | 12 | 2.04239766082 | 1.48283021888 | knapsack: **43** ; srd: **386** ; bnb: **255** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.29871550 | 221.436000000 | 432 | 1682 | 1736 | 818 | 0 | 486 | bnb: **329** ; knapsack: **3** ; Total: **332** | 0.00000677 | 9.94999202 | 0.529573092510 | 1.33754149924 | 0.01564553 | 0.0000191265647922 | 0.00293760000 | 0.01858313000 | 1 | 16 | 2.12224938875 | 1.59780106743 | knapsack: **54** ; srd: **435** ; bnb: **329** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.38270038 | 251.202666667 | 384 | 2008 | 2196 | 992 | 0 | 572 | bnb: **416** ; knapsack: **4** ; Total: **420** | 0.00000646 | 9.94999202 | 0.462725690629 | 1.24669879989 | 0.02010709 | 0.0000202692439516 | 0.00261120000 | 0.02271829000 | 1 | 16 | 2.21370967742 | 1.69247564612 | knapsack: **71** ; srd: **505** ; bnb: **416** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.40644501 | 275.070000000 | 462 | 2415 | 2561 | 1085 | 0 | 608 | bnb: **471** ; knapsack: **6** ; Total: **477** | 0.00000646 | 9.94999202 | 0.440446015773 | 1.21336196800 | 0.02194553 | 0.0000202262949309 | 0.00314160000 | 0.02508713000 | 1 | 26 | 2.36036866359 | 2.06179798576 | knapsack: **81** ; srd: **533** ; bnb: **471** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.47447511 | 303.380250000 | 514 | 2818 | 2946 | 1182 | 0 | 642 | bnb: **532** ; knapsack: **8** ; Total: **540** | 0.00000646 | 9.94999202 | 0.419132604829 | 1.18478170733 | 0.02451076 | 0.0000207366835871 | 0.00349520000 | 0.02800596000 | 1 | 26 | 2.49238578680 | 2.24936372075 | knapsack: **103** ; srd: **547** ; bnb: **532** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.35759031 | 325.776888889 | 414 | 3213 | 3489 | 1287 | 0 | 690 | bnb: **587** ; knapsack: **10** ; Total: **597** | 0.00000646 | 9.94999202 | 0.392846589826 | 1.14729593482 | 0.02857363 | 0.0000222017327117 | 0.00281520000 | 0.03138883000 | 1 | 30 | 2.71095571096 | 3.00575853807 | knapsack: **123** ; srd: **577** ; bnb: **587** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.78145125 | 330.562000000 | 356 | 3571 | 3966 | 1429 | 0 | 751 | bnb: **664** ; knapsack: **14** ; Total: **678** | 0.00000536 | 9.94999202 | 0.367811155073 | 1.10486477065 | 0.03158526 | 0.0000221030510847 | 0.00242080000 | 0.03400606000 | 1 | 30 | 2.77536738978 | 2.96677362648 | knapsack: **151** ; srd: **614** ; bnb: **664** |
