id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5569
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00777870,22,22,5061
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4739
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5024
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00445242,22,22,3024
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1663
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,3.99957485,22,22,2172
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2535
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00342522,22,22,2386
9,0.00650000,0.00005200,0.00018838,0.000188405797101,srd,3,0,2,0.00068068,23,21,4495
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00315883,21,21,1542
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00004766,28,28,1261
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00927217,29,29,2360
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,1.99883910,29,29,2506
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,29,28,788
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00522404,34,34,3856
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1801
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.01262843,35,35,5502
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00666743,35,34,8286
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00381687,34,34,6313
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,34,33,6989
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00891736,33,33,6279
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.02286091,33,33,3713
23,0.00332600,0.00004710,0.00023312,0.000266101694915,bnb,2,0,1,,33,31,3322
24,0.00424600,0.00005000,0.00016975,0.000204081632653,bnb,3,0,1,,31,28,3675
25,0.00333000,0.00003166,0.00017571,0.000178870056497,bnb,2,0,1,,28,26,2020
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00777728,26,26,2072
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,3.99618462,26,26,1546
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.00476328,26,26,1460
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srd,1,0,2,0.00704655,26,26,1000
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00557585,27,27,1636
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00928708,27,27,1625
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,srd,1,0,2,1.99553013,27,27,1107
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,1.99215602,27,27,1257
34,0.00333400,0.00001092,0.00002942,0.0000348881789137,bnb,4,0,1,,30,26,152
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,srd,1,0,2,0.00898133,26,26,880
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00081138,26,26,792
37,0.00332900,0.00001778,0.00002890,0.0000289105691057,knapsack,8,1,2,0.00003119,27,20,714
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00056962,20,20,714
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00023783,20,19,658
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00153085,19,19,858
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00189829,19,19,877
42,0.00198400,0.00001587,0.00003259,0.0000507028753994,bnb,4,0,1,,20,16,634
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00235172,16,16,762
44,0.00505500,0.00000542,0.00002602,0.0000260576923077,srd,2,0,2,2.99683787,18,17,703
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00129518,18,18,794
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00108993,18,18,703
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00021645,18,18,650
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00000921,19,19,562
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,srd,1,0,2,0.01245957,19,19,646
50,0.00334300,0.00001281,0.00002891,0.0000522857142857,bnb,3,0,1,,19,16,547
