id,input_amounts
0,['0.00329000']
1,['0.00794500']
2,['5.00000000']
3,['0.00483000']
4,['0.00777870']
5,['0.00329000']
6,['4.00000000']
7,['0.00329400']
8,['0.00445242']
9,"['0.00329400', '0.00329400', '0.00064468']"
10,['0.00331400']
11,['0.00315883']
12,['0.00940000']
13,['2.00000000']
14,['0.00011747']
15,['0.00927217']
16,['0.00103200']
17,['0.01570000']
18,"['0.01000000', '0.00342522']"
19,['0.00500000']
20,['0.00100000']
21,['0.01010000']
22,['0.02500000']
23,"['0.00329400', '0.00007910']"
24,"['0.00010000', '0.00090000', '0.00329600']"
25,"['0.00331400', '0.00004766']"
26,['0.00980000']
27,['3.99957485']
28,['0.00777728']
29,['0.01000000']
30,['0.00891736']
31,['0.01262843']
32,['1.99883910']
33,['1.99553013']
34,"['0.00100000', '0.00066424', '0.00068068', '0.00100000']"
35,['0.00928708']
36,['0.00381687']
37,"['0.00081138', '0.00109000', '0.00000100', '0.00010863', '0.00056976', '0.00014860', '0.00014860', '0.00050000']"
38,['0.00390000']
39,"['0.00300000', '0.00056962']"
40,['0.00476328']
41,['0.00522404']
42,"['0.00003119', '0.00020000', '0.00153085', '0.00023783']"
43,['0.00557585']
44,"['0.00189829', '3.00000000']"
45,['0.00235172']
46,['0.00129518']
47,['0.00108993']
48,['0.00021645']
49,['0.01569000']
50,"['0.00300000', '0.00000921', '0.00034660']"
51,['0.03535793']
52,['0.00666743']
53,['0.00333746']
54,['0.00704655']
55,['0.00371696']
56,['0.00898133']
57,['0.00597720']
58,['1.99215602']
59,['3.99618462']
60,['0.01245957']
61,['3.99318019']
62,['0.01300000']
63,"['0.00264626', '0.00076900']"
64,['0.00912654']
65,['0.00579093']
66,['0.00966658']
67,['0.00633787']
68,"['0.00038834', '0.00299863']"
69,['0.01000000']
70,['0.00667148']
71,['0.00366765']
72,['0.00246091']
73,['0.02286091']
74,['0.01965136']
75,['0.01632059']
76,['0.01301617']
77,['0.00961783']
78,['0.00628429']
79,['2.99683787']
80,['2.99350373']
81,['0.02867326']
82,['2.99016929']
83,"['0.00011000', '1.00000000']"
84,['3.98984856']
85,['0.00910000']
86,['0.99677009']
87,"['0.00044986', '0.00100000', '0.00045063']"
88,['0.00293658']
89,['0.00609255']
90,"['0.00027872', '0.00017136', '0.00275505', '0.00008044', '0.00005589']"
91,['0.01714000']
92,['0.00213637']
93,['0.01934100']
94,['4.99664529']
95,['0.00933750']
96,['1.98882612']
97,['0.00113314']
98,"['0.00100000', '3.98651431']"
99,['0.00300000']
100,['0.00480000']
101,['3.97249626']
102,"['0.00000200', '0.00116387', '0.00080000', '0.00006080']"
103,['0.00733287']
104,['0.00432803']
105,['4.99463758']
106,['0.00390000']
107,['0.97628736']
108,"['0.00098860', '0.00001642']"
109,"['0.00200000', '0.00300000']"
110,['0.01490000']
111,['0.00100000']
112,"['0.00171142', '0.00007151', '0.00236318']"
113,['0.00480000']
114,"['0.00270000', '0.00120000', '0.00040000', '0.00107722']"
115,['0.03500000']
116,"['0.00200000', '0.00370000']"
117,['0.00200000']
118,"['0.00169210', '0.00120000', '0.00049501', '0.00011522', '0.00010000', '0.00198132']"
119,['2.98683156']
120,"['0.00006000', '0.00228044', '0.00592000', '0.00100000']"
121,"['0.00300000', '0.00091371', '0.00100000', '0.00010000']"
122,['0.97417726']
123,['4.99163113']
124,['0.01000000']
125,['0.01450000']
126,"['0.00087643', '0.00100000', '0.00444318', '0.00100000', '0.00290000', '0.00480000']"
127,"['0.00500000', '0.00110000']"
128,['0.00163049']
129,"['0.00025639', '0.01000000']"
130,"['0.00279265', '0.00332055']"
131,['0.00800000']
132,"['0.00100000', '0.00341677', '0.00185624', '0.00008000']"
133,"['0.00100000', '0.00702440', '0.00198517', '0.00100000']"
134,"['0.00090000', '0.00189242']"
135,"['0.00049540', '0.00090000', '0.00409306', '0.00448896', '0.00003490']"
