Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19435305,33.6860000000,28,267,427,233,1,188,bnb: **44** ; knapsack: **1** ; Total: **45**,0.00000921,4.99664529,0.598294259202,1.35537615744,0.00450662,0.0000193417167382,0.000190400000,0.004697020000,1,12,1.83261802575,1.82944322485,knapsack: **74** ; srd: **115** ; bnb: **44**
bustabit-tiny-hot-wallet_peak-and-tail,23.92748767,46.7970000000,91,594,815,406,1,312,bnb: **91** ; knapsack: **3** ; Total: **94**,0.00000801,4.99664529,0.546641236987,1.26214904386,0.00783650,0.0000193017241379,0.000618800000,0.008455300000,1,14,2.00738916256,2.05539208510,knapsack: **119** ; srd: **196** ; bnb: **91**
bustabit-tiny-hot-wallet_peak-and-tail,27.28369994,75.0526666667,189,961,1167,539,1,395,bnb: **141** ; knapsack: **3** ; Total: **144**,0.00000421,4.99664529,0.461323030633,1.15242457468,0.01090506,0.0000202320222635,0.00128520000,0.01219026000,1,16,2.16512059369,2.25770233367,knapsack: **140** ; srd: **258** ; bnb: **141**
bustabit-tiny-hot-wallet_peak-and-tail,19.66829248,106.628500000,164,1316,1620,684,4,468,bnb: **211** ; knapsack: **5** ; Total: **216**,0.00000421,4.99664529,0.397708157842,1.07017680985,0.01353167,0.0000197831432749,0.00111520000,0.01464687000,1,24,2.36842105263,2.50246083710,knapsack: **175** ; srd: **298** ; bnb: **211**
bustabit-tiny-hot-wallet_peak-and-tail,26.29836539,126.721600000,236,1682,1989,818,4,543,bnb: **269** ; knapsack: **6** ; Total: **275**,0.00000367,9.99092052,0.388845114843,1.16517123421,0.01599564,0.0000195545721271,0.00160480000,0.01760044000,1,24,2.43154034230,2.49176520364,knapsack: **200** ; srd: **349** ; bnb: **269**
bustabit-tiny-hot-wallet_peak-and-tail,18.38229383,138.941000000,169,2008,2485,992,4,646,bnb: **338** ; knapsack: **8** ; Total: **346**,0.00000367,9.99092052,0.343182409598,1.10328069030,0.02051364,0.0000206790725806,0.00114920000,0.02166284000,1,24,2.50504032258,2.49802642552,knapsack: **238** ; srd: **416** ; bnb: **338**
bustabit-tiny-hot-wallet_peak-and-tail,26.40605377,145.980857143,250,2415,2861,1085,4,696,bnb: **381** ; knapsack: **8** ; Total: **389**,0.00000367,9.99092052,0.342137251480,1.08960113469,0.02233677,0.0000205868847926,0.00170000000,0.02403677000,1,24,2.63686635945,2.66813320895,knapsack: **254** ; srd: **450** ; bnb: **381**
bustabit-tiny-hot-wallet_peak-and-tail,23.47388460,157.352250000,218,2818,3336,1182,4,736,bnb: **438** ; knapsack: **8** ; Total: **446**,0.00000367,9.99092052,0.328589744144,1.06228573240,0.02510127,0.0000212362690355,0.00148240000,0.02658367000,1,73,2.82233502538,3.45365963974,knapsack: **269** ; srd: **475** ; bnb: **438**
bustabit-tiny-hot-wallet_peak-and-tail,15.35699631,160.660888889,62,3213,3947,1287,4,796,bnb: **482** ; knapsack: **9** ; Total: **491**,0.00000367,9.99092052,0.309578622023,1.02470697953,0.02916763,0.0000226632711733,0.000421600000,0.029589230000,1,75,3.06682206682,4.47372259519,knapsack: **289** ; srd: **516** ; bnb: **482**
bustabit-tiny-hot-wallet_peak-and-tail,15.78131362,153.702400000,114,3571,4351,1429,4,894,bnb: **524** ; knapsack: **11** ; Total: **535**,0.00000367,9.99092052,0.314579943523,1.01501157850,0.03172289,0.0000221993631910,0.000775200000,0.032498090000,1,75,3.04478656403,4.32900562229,knapsack: **319** ; srd: **586** ; bnb: **524**
