id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000518071428571,knapsack,1,0,2,0.00011747,22,22,5569
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01553370,22,22,5061
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00147529,22,22,4739
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,2.99583424,22,22,5024
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,4570
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1663
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00105014,21,21,2172
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2535
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.99897280,21,21,2386
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00900713,22,22,2341
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00778983,22,22,1542
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,1261
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.99884497,30,30,2360
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00883910,30,30,2506
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00319337,30,30,1785
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00605187,36,36,3856
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1801
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,37,37,5502
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,3.99653821,37,36,8286
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00574530,36,36,6313
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,36,35,6989
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00486923,35,35,6279
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,4.99786091,35,35,3713
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00443096,35,35,2785
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,1.99573006,35,35,2158
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.01233522,35,35,2216
26,0.00200000,0.00003351,0.00016108,0.000161105769231,srd,2,0,2,0.00802376,35,34,2964
27,0.00337500,0.00002210,0.00010801,0.000124858757062,bnb,2,0,1,,34,32,1348
28,0.00300000,0.00002065,0.00009927,0.0000992788461538,srd,2,0,2,0.00688798,32,31,1932
29,0.00294600,0.00002403,0.00005283,0.0000536383928571,bnb,6,0,1,,31,25,957
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00549759,26,26,1636
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,3.99319686,26,26,1625
32,0.00330000,0.00000897,0.00006361,0.0000636170212766,srd,1,0,2,0.99553600,26,26,1107
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00052589,26,26,1257
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,1,2,0.00001420,29,26,760
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00022014,26,26,880
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,srd,1,0,2,0.00273981,26,26,792
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00004947,27,26,756
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00001149,26,25,673
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00023797,25,24,658
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00119853,24,24,858
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,srd,1,0,2,2.99250849,24,24,877
