id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,['0.00483000']
3,['3.00000000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00147529']
7,['0.00329400']
8,['1.00000000']
9,['0.01553370']
10,['0.00794500']
11,['0.00329400']
12,['0.99897280']
13,['0.01000000']
14,['0.00331400']
15,['0.01010000']
16,['0.00103200']
17,['0.01000000']
18,"['4.00000000', '0.00329600']"
19,['0.00692843']
20,['0.00100000']
21,['0.00605187']
22,['5.00000000']
23,['0.00778983']
24,['2.00000000']
25,['0.01569000']
26,"['0.00900713', '0.00105014']"
27,"['0.00331400', '0.00008310']"
28,"['0.00010863', '0.00980000']"
29,"['0.00014860', '0.00014860', '0.00109000', '0.00090000', '0.00018283', '0.00050000']"
30,['0.00883910']
31,['3.99653821']
32,['0.99884497']
33,['0.00390000']
34,"['0.00319337', '0.00000100', '0.00006396', '0.00010000']"
35,['0.00052589']
36,['0.00574530']
37,"['0.00064468', '0.00273981']"
38,"['0.00004947', '0.00329400']"
39,"['0.00300000', '0.00056976']"
40,['0.00443096']
41,['2.99583424']
42,"['0.99553600', '0.00023797']"
43,"['0.00100000', '0.00100000', '0.00020000', '0.00119853']"
44,"['0.00001420', '0.00001149', '0.00016846', '0.00486923']"
45,['0.00300000']
46,['0.00022014']
47,['0.00194346']
48,['0.00106998']
49,['0.00500000']
50,['0.00549759']
51,['0.00688798']
52,"['0.00011000', '0.00086274', '0.00215051', '0.00020331', '0.00001489']"
53,['0.00802376']
54,['0.00468762']
55,"['0.00135803', '0.00176957', '0.00034660']"
56,['0.00940000']
57,['0.00639587']
58,['0.01233522']
59,['0.00306493']
60,['0.00900532']
61,['0.00567229']
62,['0.01000000']
63,['0.00666658']
64,['2.99250849']
65,['0.00333363']
66,['0.01300000']
67,['0.00967129']
68,"['2.98917288', '0.00006050']"
69,['0.00633205']
70,['0.00300353']
71,['0.99378319']
72,['0.00234066']
73,['0.02500000']
74,['0.02179045']
75,['0.01845968']
76,['0.01515526']
77,['0.01175692']
78,['0.00842338']
79,['0.00507567']
80,"['1.99573006', '0.00076900']"
81,['0.03535793']
82,['0.02602567']
83,['0.02268794']
84,['0.00910000']
85,['2.98590230']
86,"['3.99319686', '0.00100000']"
87,['0.00174153']
88,['0.00576575']
89,['0.01935283']
90,['1.99316203']
91,['0.01601533']
92,['0.00101170']
93,"['0.00014213', '2.98289485']"
94,['0.00310789']
95,['1.98983110']
96,['3.97371141']
97,['0.00110018']
98,['0.99056540']
99,['0.01714000']
100,['0.01490000']
101,"['1.98782647', '0.00006080']"
102,"['0.00100000', '0.00100000', '0.00000847']"
103,['2.97303182']
104,['0.00390000']
105,['0.03000000']
106,"['0.00480000', '0.00200000']"
107,['0.01450000']
108,"['0.00100000', '0.00001588']"
109,['0.00800000']
110,['0.01780000']
111,['0.00300000']
112,"['0.00100000', '3.97170087']"
113,"['0.00307424', '0.00200000']"
114,"['0.00270000', '0.00087643', '0.00080000', '0.00100000']"
115,['4.99786091']
116,"['0.00171142', '0.00200000', '0.00001042']"
117,['0.03500000']
118,"['0.00300000', '0.00008226', '0.00249501']"
119,"['0.00033038', '0.00228044', '0.00040000']"
120,"['0.00100000', '0.00525899', '0.00300000']"
121,"['0.00120000', '0.00008000', '0.00025639', '0.00006000', '0.00341677']"
122,['0.00800000']
123,"['0.00290000', '0.00107722', '0.00454585']"
124,"['0.01289265', '0.00289252']"
125,['0.97555316']
126,"['0.00010000', '0.00461748', '0.00360000', '0.00370000', '0.00300000']"
127,['0.00464370']
128,['0.00163049']
129,['0.02699355']
130,['0.01512860']
131,['4.99684661']
132,"['0.00028099', '2.97002698']"
133,"['0.00090000', '0.00090000', '0.00116387', '0.00120000', '0.00169500', '0.00100000', '0.00110000', '0.00196259', '0.00010000', '0.00100000']"
134,"['0.00091371', '0.00226500']"
135,"['0.00100000', '0.00901962']"
136,"['0.00500000', '0.00500000', '0.00001330']"
137,['0.00213902']
138,['0.01000000']
139,['0.00600000']
140,"['0.01109159', '0.00042119', '0.00049540', '0.00100000']"
141,['0.00263899']
142,['0.00500000']
143,['0.00063190']
144,['0.00500000']
145,"['0.00288817', '0.00013380', '0.00444318', '0.00180000']"
146,['1.98330124']
147,['0.00776330']
148,"['0.00300000', '0.01669442']"
149,"['0.00900000', '0.00070000', '0.00900000']"
150,"['0.00017736', '0.00888946', '0.00069882']"
151,"['0.00000200', '0.00480000', '0.00439299', '0.00263338', '0.02376574', '0.00003887', '0.00490000', '0.01238990', '0.00609379']"
152,['0.01000000']
153,"['0.00860000', '0.01393345', '0.00100000', '0.00969612', '0.01680000']"
154,['0.03485624']
155,['0.06000000']
156,"['4.99073903', '0.00290000']"
157,['2.96395992']
158,['0.00090000']
159,"['0.01000000', '0.00797720', '0.00880000', '0.00480000', '0.05000000', '0.00963986', '0.00880000']"
160,"['0.00084400', '0.96554212', '0.00500000']"
161,"['0.02487646', '0.05679344', '0.00829455', '0.00005076', '0.01000000']"
162,['0.06000000']
163,['0.01000000']
164,['0.02000000']
165,"['0.00200000', '0.00021000', '0.00280000']"
166,"['0.00040000', '0.00038000']"
167,['0.05499320']
168,"['0.00980000', '0.00008020', '0.00017000']"
169,"['0.00100000', '0.00004270']"
170,"['0.00500000', '0.00500000', '0.00003836']"
171,['0.00790000']
172,['0.01500000']
173,"['0.00299430', '0.00090000', '0.00090000']"
174,['0.01000000']
175,['0.02471042']
176,['0.05000000']
177,['0.03300000']
178,"['0.05198800', '0.00010000']"
179,['0.00040000']
180,['0.00250000']
181,['0.01499242']
182,['0.05000000']
183,['0.02959206']
184,"['0.00652451', '0.00466024']"
185,['0.00028680']
186,['0.00213347']
187,['0.87137126']
188,['0.01923225']
189,"['0.00980000', '0.00138982']"
190,['0.00300000']
191,['0.00318000']
192,['0.86021861']
193,"['0.09990000', '0.01000000']"
194,['0.02249447']
195,['1.98026131']
196,['0.01990000']
197,['0.05900000']
198,"['0.00028000', '0.00105068']"
199,['0.02046868']
200,['0.05798229']
201,['0.03979373']
202,['0.00044827']
203,['4.87263181']
204,['0.01372495']
205,"['0.00390000', '0.01000000']"
206,"['0.03000000', '0.00100000']"
207,"['0.01000000', '0.00800000']"
208,"['0.00397564', '0.01000000']"
209,['2.96038782']
210,['0.03915496']
211,"['0.00020218', '0.00599385', '0.01208547', '0.00003133']"
212,"['0.00090000', '0.00093524', '0.00005460', '0.00010000', '0.00006080', '0.00076049', '0.00180000', '0.02000000', '0.00099000', '0.00144108', '0.07024500', '0.00090000', '0.00180000', '0.00003586']"
213,"['0.00500000', '0.00390000', '0.00229870', '0.00050000', '0.00499382', '0.01450305']"
214,['0.00990000']
215,"['0.04000000', '0.00964498', '0.00592000', '0.01944692']"
216,"['0.00014000', '0.00200000', '0.00097600', '0.00290000', '0.00400000']"
217,"['0.00005460', '0.00434710', '0.02400000', '0.03894385', '0.00019558', '0.00039116', '0.03208449']"
218,['0.04138581']
219,['0.00170000']
220,['0.00149592']
221,"['0.01090000', '0.01570000', '0.01950000', '0.05593416', '0.01129338', '0.00600000', '0.00500000']"
222,['4.84492794']
223,['0.00096700']
224,"['0.00900000', '0.01270101', '0.00900000', '0.00010000', '0.00010000']"
225,"['0.02310000', '0.00128478', '0.00700000', '0.00969500', '0.03000000', '0.02700000', '0.05000000', '0.00193800']"
226,"['0.09886081', '0.01030000', '0.00013629', '0.00995153', '0.00505196', '0.00071305']"
227,"['0.00100000', '0.01000000']"
228,['0.01000000']
229,['0.00399046']
230,['0.00099435']
231,['0.01940000']
232,['0.00050000']
