Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19441560,35.2280000000,39,267,421,233,1,193,bnb: **39** ; knapsack: **1** ; Total: **40**,0.00000847,4.99786091,0.538995166632,1.23694295347,0.00444407,0.0000190732618026,0.000265200000,0.004709270000,1,14,1.80686695279,1.70484731452,knapsack: **80** ; srd: **114** ; bnb: **39**
bustabit-tiny-hot-wallet_peak-and-tail,23.92749749,49.7690000000,92,594,822,406,1,320,bnb: **85** ; knapsack: **1** ; Total: **86**,0.00000409,4.99786091,0.485009424375,1.14205658954,0.00782668,0.0000192775369458,0.000625600000,0.008452280000,1,16,2.02463054187,2.05225181629,knapsack: **124** ; srd: **197** ; bnb: **85**
bustabit-tiny-hot-wallet_peak-and-tail,27.28364469,76.7393333333,187,961,1172,539,2,398,bnb: **139** ; knapsack: **2** ; Total: **141**,0.00000409,4.99786091,0.443755699899,1.07504456541,0.01096031,0.0000203345269017,0.00127160000,0.01223191000,1,16,2.17439703154,2.18290361140,knapsack: **144** ; srd: **256** ; bnb: **139**
bustabit-tiny-hot-wallet_peak-and-tail,19.66840821,108.836500000,183,1316,1611,684,3,478,bnb: **204** ; knapsack: **2** ; Total: **206**,0.00000409,4.99786091,0.379522919874,0.992481093292,0.01341594,0.0000196139473684,0.00124440000,0.01466034000,1,20,2.35526315789,2.40870525071,knapsack: **178** ; srd: **302** ; bnb: **204**
bustabit-tiny-hot-wallet_peak-and-tail,26.29786620,126.086000000,211,1682,2024,818,4,553,bnb: **262** ; knapsack: **3** ; Total: **265**,0.00000409,7.26484978,0.346888088897,0.976712791863,0.01649483,0.0000201648288509,0.00143480000,0.01792963000,1,20,2.47432762836,2.55465612309,knapsack: **207** ; srd: **349** ; bnb: **262**
bustabit-tiny-hot-wallet_peak-and-tail,18.38178055,134.213000000,136,2008,2528,992,4,656,bnb: **333** ; knapsack: **3** ; Total: **336**,0.00000409,7.26484978,0.304204314116,0.905225800921,0.02102692,0.0000211964919355,0.000924800000,0.021951720000,1,21,2.54838709677,2.59543910673,knapsack: **234** ; srd: **425** ; bnb: **333**
bustabit-tiny-hot-wallet_peak-and-tail,26.40554394,136.141714286,200,2415,2918,1085,4,703,bnb: **379** ; knapsack: **3** ; Total: **382**,0.00000409,7.26484978,0.304285754979,0.900815075053,0.02284660,0.0000210567741935,0.00136000000,0.02420660000,1,21,2.68940092166,2.74909044177,knapsack: **249** ; srd: **457** ; bnb: **379**
bustabit-tiny-hot-wallet_peak-and-tail,23.47352680,146.074750000,225,2818,3342,1182,4,749,bnb: **430** ; knapsack: **3** ; Total: **433**,0.00000409,7.26484978,0.293149917971,0.876177990259,0.02545907,0.0000215389763113,0.00153000000,0.02698907000,1,24,2.82741116751,2.94154047296,knapsack: **271** ; srd: **481** ; bnb: **430**
bustabit-tiny-hot-wallet_peak-and-tail,15.35660635,149.664444444,43,3213,3982,1287,4,812,bnb: **472** ; knapsack: **3** ; Total: **475**,0.00000409,7.26484978,0.276998983522,0.845086027314,0.02955759,0.0000229662703963,0.000292400000,0.029849990000,1,86,3.09401709402,4.32339866270,knapsack: **294** ; srd: **521** ; bnb: **472**
bustabit-tiny-hot-wallet_peak-and-tail,15.78103393,141.211400000,83,3571,4399,1429,4,911,bnb: **515** ; knapsack: **3** ; Total: **518**,0.00000409,7.26484978,0.282159206422,0.835820116954,0.03200258,0.0000223950874738,0.000564400000,0.032566980000,1,86,3.07837648705,4.21309332267,knapsack: **322** ; srd: **592** ; bnb: **515**
bustabit-tiny-hot-wallet_peak-and-tail,22.01831856,134.486363636,97,3938,4844,1562,4,1003,bnb: **556** ; knapsack: **3** ; Total: **559**,0.00000409,7.26484978,0.306131278235,0.886475516074,0.03464915,0.0000221825544174,0.000659600000,0.035308750000,1,86,3.10115236876,4.17950966520,knapsack: **350** ; srd: **656** ; bnb: **556**
