id,input_amounts
0,['0.00329000']
1,['0.01570000']
2,['4.00000000']
3,['0.00483000']
4,['3.00000000']
5,['0.00329000']
6,['0.00329600']
7,['0.00287085']
8,['0.01553370']
9,['0.01450650']
10,['0.00940000']
11,['0.00329400']
12,['0.00014860']
13,['0.00980000']
14,['0.00011747']
15,['0.00500000']
16,['0.00103200']
17,['0.01010000']
18,"['0.00014860', '0.00331400', '0.00331400']"
19,['5.00000000']
20,['0.00100000']
21,['0.00924483']
22,['1.00000000']
23,['0.00797993']
24,['0.01569000']
25,"['0.00329400', '0.00007910']"
26,['0.00462106']
27,"['0.00010863', '0.00329400']"
28,['0.00702843']
29,"['0.00002077', '0.00095187', '0.00109000', '0.00090000']"
30,['0.00863910']
31,['0.00529759']
32,"['0.00022153', '0.00050000', '0.00259834']"
33,['2.00000000']
34,"['0.00056976', '0.00000200', '0.00195624', '0.00066424', '0.00018283', '0.00000100']"
35,['0.00100000']
36,['0.00329400']
37,"['0.00300000', '0.00010000', '0.00028851']"
38,['0.00390000']
39,['0.00401443']
40,['0.00794500']
41,['0.00471257']
42,"['0.00068418', '0.00005153', '0.00069425', '0.00056962']"
43,['0.00806219']
44,"['0.00483806', '0.00020000', '0.00002797']"
45,['0.00138682']
46,['0.00033028']
47,['0.00100000']
48,"['0.00012503', '0.00011000']"
49,['1.99662589']
50,"['0.00002626', '0.00034660', '0.00300000']"
51,['0.01000000']
52,"['0.00331533', '0.00002188']"
53,['0.01000000']
54,['0.00666386']
55,"['0.01300000', '0.00076900']"
56,['0.00333427']
57,['0.01000000']
58,['0.00666906']
59,['0.00333916']
60,['0.01043867']
61,['0.00710564']
62,['0.00377401']
63,['0.01142006']
64,['0.00808711']
65,['0.00475150']
66,['0.02500000']
67,['0.02167129']
68,['0.01833205']
69,['0.01500293']
70,['0.01167441']
71,['0.00867058']
72,['3.99664529']
73,['0.00545279']
74,"['4.99881687', '0.00012652']"
75,['0.99786091']
76,"['0.00224324', '0.00142148']"
77,['0.03535793']
78,['0.03202439']
79,['0.02867668']
80,['0.02534254']
81,['0.02200810']
82,['0.01267584']
83,['0.00933811']
84,['0.00600300']
85,['0.00910000']
86,['0.99455649']
87,"['0.00044059', '0.00100000', '0.00033014']"
88,['0.00266875']
89,['0.00609255']
90,"['4.99560988', '0.00275505']"
91,['0.01714000']
92,['0.00213637']
93,['0.03000000']
94,['1.99339546']
95,['0.97407376']
96,['1.99138775']
97,['0.00113314']
98,"['0.00480000', '0.97206913']"
99,['0.01999650']
100,['0.01780000']
101,['1.98937721']
102,"['0.00100000', '0.00100000', '0.00001089']"
103,"['0.00011522', '0.00116387', '0.00107722', '0.00033473', '0.00006080', '0.00026384']"
104,['0.00370000']
105,['0.01490000']
106,"['0.00100000', '0.00080000']"
107,['0.01450000']
108,"['0.00100000', '0.00004160']"
109,['0.01189355']
110,['0.00120000']
111,['0.00100000']
112,['1.98479537']
113,['0.00480000']
114,"['0.00087643', '0.00100000', '0.00171142', '0.00169210', '0.00010000']"
115,['0.00500000']
116,['0.00790000']
117,['0.00025899']
118,"['0.00049501', '0.00011523', '0.00003614', '0.00040000', '0.00009442', '0.00444318']"
119,['0.00480000']
120,"['0.00008000', '0.00390000', '0.00228044', '0.00300000']"
121,"['0.00100000', '0.00120000', '0.00100000', '0.00090000', '0.00091371']"
122,"['0.00270000', '0.00418443']"
123,"['0.00454585', '0.00398570']"
124,['4.99503118']
125,['0.01238990']
126,"['0.00163049', '0.00090000', '0.00179438', '0.00269252', '0.00800000']"
127,['0.01798510']
128,['1.98065535']
129,['0.96185108']
130,['0.01109159']
131,"['0.00500000', '0.00001337', '0.00110000']"
132,['0.01598039']
133,"['0.00800000', '0.00169500', '0.00006000', '0.00100000', '0.00025639']"
134,['0.00290000']
135,"['0.00010000', '0.00300000', '0.00049540', '0.00341677', '0.00300000']"
136,"['0.00360000', '1.97930585']"
137,['0.00213902']
138,['0.00200000']
139,['0.00200000']
140,"['0.00349833', '0.00500000', '0.00237886', '0.00200000', '0.00013380']"
141,['0.01000000']
142,['0.00600000']
143,['0.00300000']
144,['0.95862327']
145,"['0.00696779', '0.00200000', '0.00029455']"
146,['0.95651144']
147,['0.00963493']
148,"['0.00069882', '0.00226500', '0.00280000']"
149,"['0.00592000', '0.00399430', '0.00500000']"
150,"['0.00498261', '0.00100000', '0.00500000']"
151,"['0.00500000', '0.00070000', '0.00125584', '0.00039299', '0.00263338', '0.00510376', '0.00100000', '0.00300000', '0.01680000', '0.00254546', '0.00180000', '0.01579265', '0.00300000']"
152,['0.00900000']
153,"['0.00799291', '0.00860000', '0.00014425', '2.99667372']"
154,['0.95347151']
155,['0.00900000']
156,['4.98701635']
157,['0.00980000']
158,['0.00090000']
159,"['0.00464370', '0.01500000', '0.00880000', '0.03500000', '0.00697720', '0.00969612', '0.01990000']"
160,['1.97289650']
161,"['0.00500000', '0.01000000', '0.01000000', '0.02000000', '0.03300000', '0.00622790', '0.00579344', '0.01000000']"
162,['0.06000000']
163,['0.05000000']
164,['4.86601145']
165,['0.05000000']
166,"['0.00038000', '0.00040000']"
167,['0.00490000']
168,"['0.00090000', '0.00290000', '0.00600000', '0.00021000']"
169,"['0.00017000', '0.00084400']"
170,"['0.00796542', '0.00008020', '0.00010000', '0.00189480']"
171,['4.86100387']
172,['0.01000000']
173,['0.00700000']
174,"['0.00000966', '0.00500000']"
175,['3.99463501']
176,['0.94349173']
177,"['0.00963986', '0.00090000']"
178,['0.04499505']
179,['0.00040000']
180,['0.00100000']
181,['0.05900000']
182,['0.03000000']
183,"['0.00980000', '0.00063347']"
184,['0.07024500']
185,['0.00249616']
186,['0.00221748']
187,['0.05000000']
188,"['0.01000000', '0.09980000']"
189,['0.02959206']
190,['0.01000000']
191,['0.09558156']
192,['0.06000000']
193,['0.05910879']
194,['0.04866782']
195,['0.01000000']
196,"['0.00010000', '0.03431611']"
197,"['0.00100000', '0.00003171']"
198,['0.00900000']
199,"['0.01000000', '0.01000000']"
200,['0.05000000']
201,['0.00769081']
202,['0.00028000']
203,"['0.01000000', '0.00872495', '0.02471042']"
204,"['0.00099000', '0.00004525']"
205,"['4.85962838', '0.01000000']"
206,"['0.00318000', '0.00390000', '0.01090000', '0.00094123']"
207,['0.04787087']
208,['0.09990000']
209,['0.04795187']
210,['0.09588365']
211,['0.04000000']
212,"['0.00180000', '0.00014000', '0.00090000', '0.00229870', '0.00170000', '0.00290000', '0.00250000', '0.00005460', '0.00044827', '0.00180000', '0.06000000', '0.00003391', '0.00005076', '0.00050000', '0.00090000', '0.02400000']"
213,"['0.00800000', '0.01915496', '0.00003586', '0.00400000']"
214,"['0.00006080', '0.00019558']"
215,"['0.00500000', '0.00147383', '0.01000000', '0.00200000', '0.04664203', '0.00990000']"
216,['0.01944692']
217,"['0.00944167', '0.00097600', '0.03884735', '0.01884948', '0.02310000', '0.00880000']"
218,['3.98442764']
219,['0.00039116']
220,['0.00888883']
221,"['0.00867769', '0.01000000', '0.00390000', '0.04599385', '0.00193800', '0.01570000', '0.01842676', '0.00969500', '0.01000000']"
222,['2.96338552']
223,"['0.00018708', '0.00010000']"
224,"['0.00010000', '0.01030000', '0.00100000', '0.01950000']"
225,"['0.01000000', '0.01000000', '0.01000000', '0.02700000', '0.00013629', '0.02000000', '0.03385436', '0.00003126', '0.02900000', '0.01000000']"
226,"['0.00005460', '0.00096700', '0.05499320', '0.01000000', '0.00900000', '0.05000000']"
227,"['0.00500000', '0.00793524']"
228,['0.01000000']
229,['0.00292959']
230,['0.00042517']
231,['4.85648887']
