Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19437745,32.2600000000,32,267,425,233,1,190,bnb: **42** ; knapsack: **1** ; Total: **43**,0.00000966,4.99881687,0.517067026211,1.26255578773,0.00448222,0.0000192369957082,0.000217600000,0.004699820000,1,16,1.82403433476,1.91160860196,knapsack: **86** ; srd: **105** ; bnb: **42**
bustabit-tiny-hot-wallet_peak-and-tail,23.92761465,46.8500000000,95,594,814,406,1,315,bnb: **89** ; knapsack: **2** ; Total: **91**,0.00000428,4.99881687,0.510497443651,1.21601167170,0.00770952,0.0000189889655172,0.000646000000,0.008355520000,1,16,2.00492610837,2.02087265577,knapsack: **124** ; srd: **193** ; bnb: **89**
bustabit-tiny-hot-wallet_peak-and-tail,27.28368675,77.8333333333,195,961,1159,539,2,393,bnb: **141** ; knapsack: **5** ; Total: **146**,0.00000340,4.99881687,0.459490857303,1.14139131653,0.01091825,0.0000202564935065,0.00132600000,0.01224425000,1,16,2.15027829314,2.20207213089,knapsack: **144** ; srd: **254** ; bnb: **141**
bustabit-tiny-hot-wallet_peak-and-tail,19.66830551,110.296000000,187,1316,1594,684,2,465,bnb: **213** ; knapsack: **6** ; Total: **219**,0.00000340,4.99881687,0.392579788925,1.06106116348,0.01351864,0.0000197640935673,0.00127160000,0.01479024000,1,16,2.33040935673,2.33106448182,knapsack: **178** ; srd: **293** ; bnb: **213**
bustabit-tiny-hot-wallet_peak-and-tail,26.29800332,130.583600000,232,1682,1984,818,3,534,bnb: **277** ; knapsack: **7** ; Total: **284**,0.00000340,9.63998487,0.368023188764,1.07822532390,0.01635771,0.0000199972004890,0.00157760000,0.01793531000,1,16,2.42542787286,2.39592450279,knapsack: **206** ; srd: **335** ; bnb: **277**
bustabit-tiny-hot-wallet_peak-and-tail,18.38188342,139.671333333,144,2008,2498,992,3,634,bnb: **350** ; knapsack: **8** ; Total: **358**,0.00000340,9.63998487,0.330882046009,1.03425202654,0.02092405,0.0000210927923387,0.000979200000,0.021903250000,1,16,2.51814516129,2.41038649486,knapsack: **237** ; srd: **405** ; bnb: **350**
bustabit-tiny-hot-wallet_peak-and-tail,26.40562256,139.729142857,195,2415,2905,1085,3,685,bnb: **392** ; knapsack: **8** ; Total: **400**,0.00000340,9.63998487,0.326285009182,1.00035421036,0.02276798,0.0000209843133641,0.00132600000,0.02409398000,1,42,2.67741935484,2.84616281696,knapsack: **253** ; srd: **440** ; bnb: **392**
bustabit-tiny-hot-wallet_peak-and-tail,23.47361127,149.253000000,220,2818,3332,1182,3,734,bnb: **440** ; knapsack: **8** ; Total: **448**,0.00000340,9.63998487,0.311094219823,0.969975049835,0.02537460,0.0000214675126904,0.00149600000,0.02687060000,1,42,2.81895093063,3.04680611761,knapsack: **276** ; srd: **466** ; bnb: **440**
bustabit-tiny-hot-wallet_peak-and-tail,15.35671596,152.856666667,60,3213,3948,1287,3,795,bnb: **481** ; knapsack: **11** ; Total: **492**,0.00000340,9.63998487,0.297922322327,0.936103864018,0.02944798,0.0000228811033411,0.000408000000,0.029855980000,1,105,3.06759906760,4.57196804675,knapsack: **301** ; srd: **505** ; bnb: **481**
bustabit-tiny-hot-wallet_peak-and-tail,15.78109720,145.350600000,92,3571,4370,1429,3,891,bnb: **527** ; knapsack: **11** ; Total: **538**,0.00000340,9.63998487,0.289622429529,0.889693935695,0.03193931,0.0000223508117565,0.000625600000,0.032564910000,1,105,3.05808257523,4.43583093014,knapsack: **326** ; srd: **576** ; bnb: **527**
bustabit-tiny-hot-wallet_peak-and-tail,22.01773124,138.840363636,103,3938,4812,1562,3,977,bnb: **574** ; knapsack: **11** ; Total: **585**,0.00000340,9.87999466,0.321421192139,1.00894763868,0.03523647,0.0000225585595391,0.000700400000,0.035936870000,1,105,3.08066581306,4.35969514679,knapsack: **355** ; srd: **633** ; bnb: **574**
bustabit-tiny-hot-wallet_peak-and-tail,20.44538484,133.581833333,72,4278,5292,1722,3,1086,bnb: **624** ; knapsack: **12** ; Total: **636**,0.00000340,9.87999466,0.323191226289,1.00779575574,0.03827880,0.0000222292682927,0.000489600000,0.038768400000,1,105,3.07317073171,4.28616007740,knapsack: **380** ; srd: **718** ; bnb: **624**
bustabit-tiny-hot-wallet_peak-and-tail,20.92410761,129.788153846,100,4650,5724,1850,3,1174,bnb: **663** ; knapsack: **13** ; Total: **676**,0.00000340,9.87999466,0.318517055128,0.974892537489,0.04089697,0.0000221064702703,0.000680000000,0.041576970000,1,105,3.09405405405,4.25712488353,knapsack: **408** ; srd: **779** ; bnb: **663**
bustabit-tiny-hot-wallet_peak-and-tail,27.28514432,126.726000000,96,4990,6178,2010,3,1284,bnb: **713** ; knapsack: **13** ; Total: **726**,0.00000340,9.87999466,0.307535857298,0.937567542483,0.04453337,0.0000221559054726,0.000652800000,0.045186170000,1,105,3.07363184080,4.17696535367,knapsack: **434** ; srd: **863** ; bnb: **713**
bustabit-tiny-hot-wallet_peak-and-tail,17.00038140,123.283733333,52,5335,6675,2165,3,1392,bnb: **760** ; knapsack: **13** ; Total: **773**,0.00000340,9.87999466,0.305048547787,0.920485085262,0.04705138,0.0000217327390300,0.000353600000,0.047404980000,1,105,3.08314087760,4.15798424887,knapsack: **458** ; srd: **947** ; bnb: **760**
bustabit-tiny-hot-wallet_peak-and-tail,12.92060515,117.807250000,53,5654,7140,2346,3,1539,bnb: **793** ; knapsack: **14** ; Total: **807**,0.00000340,9.87999466,0.364978533561,1.06468853798,0.05056261,0.0000215526896846,0.000360400000,0.050923010000,1,105,3.04347826087,4.07915106857,knapsack: **494** ; srd: **1059** ; bnb: **793**
bustabit-tiny-hot-wallet_peak-and-tail,26.62722956,113.962941176,70,5963,7587,2537,3,1694,bnb: **829** ; knapsack: **14** ; Total: **843**,0.00000322,9.87999466,0.367231007515,1.06022486797,0.05478155,0.0000215930429641,0.000476000000,0.055257550000,1,105,2.99054000788,3.99248964491,knapsack: **539** ; srd: **1169** ; bnb: **829**
bustabit-tiny-hot-wallet_peak-and-tail,15.61404948,111.844888889,74,6278,8043,2722,3,1839,bnb: **868** ; knapsack: **15** ; Total: **883**,0.00000322,9.87999466,0.354752164279,1.02197926059,0.05810642,0.0000213469581190,0.000503200000,0.058609620000,1,105,2.95481263777,3.93606763518,knapsack: **589** ; srd: **1265** ; bnb: **868**
bustabit-tiny-hot-wallet_peak-and-tail,19.58321978,109.775263158,69,6573,8499,2927,3,1995,bnb: **917** ; knapsack: **15** ; Total: **932**,0.00000322,9.87999466,0.343739360185,0.989383069097,0.06170587,0.0000210816091561,0.000469200000,0.062175070000,1,105,2.90365562009,3.85107378147,knapsack: **630** ; srd: **1380** ; bnb: **917**
bustabit-tiny-hot-wallet_peak-and-tail,13.43468453,108.488100000,79,6892,8942,3108,3,2129,bnb: **963** ; knapsack: **16** ; Total: **979**,0.00000322,9.87999466,0.334301132597,0.960808259760,0.06519769,0.0000209773777349,0.000537200000,0.065734890000,1,105,2.87709137709,3.77595295219,knapsack: **675** ; srd: **1470** ; bnb: **963**
bustabit-tiny-hot-wallet_peak-and-tail,13.07514126,105.242380952,45,7193,9445,3307,3,2297,bnb: **994** ; knapsack: **16** ; Total: **1010**,0.00000322,9.87999466,0.384406401602,1.10887905033,0.06872661,0.0000207821620804,0.000306000000,0.069032610000,1,105,2.85606289689,3.76484703298,knapsack: **751** ; srd: **1562** ; bnb: **994**
bustabit-tiny-hot-wallet_peak-and-tail,12.21149699,103.171636364,91,7533,9857,3467,3,2415,bnb: **1036** ; knapsack: **16** ; Total: **1052**,0.00000322,9.87999466,0.382685859275,1.09408459746,0.07252787,0.0000209194894722,0.000618800000,0.073146670000,1,105,2.84309201038,3.72018410551,knapsack: **773** ; srd: **1658** ; bnb: **1036**
bustabit-tiny-hot-wallet_peak-and-tail,27.27742955,102.467217391,131,7877,10275,3623,3,2529,bnb: **1078** ; knapsack: **16** ; Total: **1094**,0.00000322,9.87999466,0.380158809533,1.09183127554,0.07533238,0.0000207928181065,0.000890800000,0.076223180000,1,105,2.83604747447,3.68584874960,knapsack: **797** ; srd: **1748** ; bnb: **1078**
