id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5569
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312970,22,22,5061
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4739
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,5024
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,1.99667372,22,22,3024
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002824,22,21,2274
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2172
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,21,21,2535
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00397280,21,21,2386
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.99347343,22,22,2341
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.99984483,22,22,1542
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018283,29,29,1261
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,30,30,2360
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.01453910,30,30,2506
14,0.00010200,0.00002624,0.00013210,0.000148248587571,bnb,2,0,1,,30,28,1661
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00595187,34,34,3856
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1801
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00288030,35,35,5502
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,1.98994807,35,35,5227
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.99866170,35,35,6313
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6989
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00676236,34,34,6279
22,0.00209300,0.00006799,0.00032686,0.000326875000,srd,2,0,2,0.00774764,34,33,5732
23,0.00332600,0.00005430,0.00023312,0.000306779661017,bnb,2,0,1,,33,31,4042
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00347770,31,31,2158
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00674522,31,31,2216
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00145498,31,31,2072
27,0.00337500,0.00002247,0.00010801,0.000108028846154,srd,2,0,2,0.00053721,31,30,2077
28,0.00300000,0.00002474,0.00009927,0.000100979591837,bnb,3,0,1,,30,27,1445
29,0.00294600,0.00002390,0.00005283,0.0000533482142857,bnb,6,0,1,,27,21,944
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.01234849,22,22,1636
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.02165865,22,22,1625
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,22,21,928
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00052589,21,21,1257
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,1,2,0.00010147,24,21,760
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00022014,21,21,880
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00028851,21,21,792
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00005300,22,20,749
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00003502,20,19,673
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00064255,19,19,705
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00351279,19,19,858
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00018704,19,19,881
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,srd,1,0,2,0.00801140,20,20,800
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00353823,20,20,766
44,0.00505500,0.00001073,0.00002602,0.0000260436893204,knapsack,5,0,2,0.00007968,22,18,626
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,19,19,936
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00043730,19,19,845
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00106998,19,19,792
48,0.00020400,0.00000633,0.00002292,0.0000229347826087,knapsack,3,0,2,0.00001437,20,18,608
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00478097,18,18,788
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00143389,18,18,763
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00271533,18,18,805
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,srd,1,0,2,4.99331532,18,18,826
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,knapsack,2,0,2,0.00014290,18,17,1591
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,srd,1,0,2,1.98661848,17,17,799
55,0.00332500,0.00001056,0.00002561,0.0000256310679612,knapsack,5,0,2,0.00009511,17,13,473
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00699587,13,13,625
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00366493,13,13,611
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00033503,13,13,679
59,0.00300000,0.00000443,0.00003138,0.0000314184397163,knapsack,1,0,2,0.00934406,13,13,788
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00601103,13,13,900
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00267940,13,13,802
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00966658,13,13,856
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00633363,13,13,754
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00299802,13,13,871
65,0.00332500,0.00000805,0.00003559,0.0000454802259887,bnb,2,0,1,,13,11,247
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.01121039,11,11,257
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00787115,11,11,295
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00454203,11,11,287
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00121351,11,11,245
70,0.00300000,0.00000565,0.00002712,0.0000271634615385,knapsack,2,0,2,0.00088726,11,10,248
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01844086,10,10,404
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01643058,11,11,719
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.01322103,11,11,668
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00989026,11,11,403
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00658584,11,11,307
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.00318750,11,11,387
77,0.00332700,0.00000654,0.00004632,0.0000463829787234,srd,1,0,2,1.98328494,11,11,470
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,srd,1,0,2,2.99012572,11,11,483
