id,input_amounts
0,['0.00329000']
1,['0.00329600']
2,['5.00000000']
3,['0.00483000']
4,['2.00000000']
5,"['0.00011747', '0.00312970']"
6,['0.00066424']
7,['0.00329000']
8,['0.00500000']
9,['3.00000000']
10,['1.00000000']
11,['0.00329400']
12,['0.00014860']
13,['0.01570000']
14,"['0.00002824', '0.00010000']"
15,['0.01000000']
16,['0.00103200']
17,['0.00595187']
18,['1.99667372']
19,['0.99984483']
20,['0.00100000']
21,['0.00794500']
22,"['0.00010863', '0.00980000']"
23,"['0.00050000', '0.00288030']"
24,['0.00774764']
25,['0.01010000']
26,['0.00347770']
27,"['0.00329400', '0.00064068']"
28,"['0.00100000', '0.00056976', '0.00145498']"
29,"['0.00109000', '0.00002077', '0.00090000', '0.00053721', '0.00023909', '0.00018283']"
30,['0.01569000']
31,['0.02500000']
32,['0.00331400']
33,['0.00390000']
34,"['0.00000200', '0.00329400', '0.00014860', '0.00000100']"
35,['0.00052589']
36,['0.00329400']
37,"['0.00028851', '0.00010147', '0.00300000']"
38,"['0.00331400', '0.00005300']"
39,['0.00397280']
40,['0.00674522']
41,['0.00351279']
42,['0.01000000']
43,['0.00676236']
44,"['0.00020000', '0.00100000', '0.00022014', '0.00353823', '0.00018704']"
45,['0.00300000']
46,['0.00064255']
47,['0.00194346']
48,"['0.00003502', '0.00007968', '0.00011000']"
49,['0.00801140']
50,['0.00478097']
51,['0.00940000']
52,['4.99664529']
53,"['0.00271533', '0.00076900']"
54,['1.98994807']
55,"['0.00014290', '0.00143389', '0.00106998', '0.00043730', '0.00034660']"
56,['0.01000000']
57,['0.00699587']
58,['0.00366493']
59,['0.01234849']
60,['0.00934406']
61,['0.00601103']
62,['0.01300000']
63,['0.00966658']
64,['0.00633363']
65,"['0.00033503', '0.00299802']"
66,['0.01453910']
67,['0.01121039']
68,['0.00787115']
69,['0.00454203']
70,"['0.00121351', '0.00267940']"
71,['0.02165865']
72,['0.01844086']
73,['0.01643058']
74,['0.01322103']
75,['0.00989026']
76,['0.00658584']
77,['1.98661848']
78,['2.99347343']
79,"['0.00318750', '0.00088726']"
80,['0.03535793']
81,['0.03202349']
82,['0.02269123']
83,['0.01935350']
84,['0.00910000']
85,['0.00576575']
86,['4.99331532']
87,"['0.00100000', '0.00073723']"
88,['0.00275830']
89,['0.01601839']
90,['0.01268089']
91,['0.01714000']
92,['0.00213637']
93,"['0.00934996', '0.00113314']"
94,['0.03000000']
95,['0.02799229']
96,['0.00300000']
97,['2.99012572']
98,['4.00000000']
99,['0.99866170']
100,['2.98910780']
101,['4.97283259']
102,"['0.00000985', '0.00100000', '0.00100000']"
103,"['0.00107722', '0.03500000']"
