Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19444770,33.0300000000,38,267,423,233,1,194,bnb: **38** ; knapsack: **1** ; Total: **39**,0.00000435,4.99664529,0.517985244381,1.22850380023,0.00441197,0.0000189354935622,0.000258400000,0.004670370000,1,13,1.81545064378,1.86282180474,knapsack: **87** ; srd: **108** ; bnb: **38**
bustabit-tiny-hot-wallet_peak-and-tail,23.92757052,47.9350000000,98,594,812,406,1,316,bnb: **86** ; knapsack: **4** ; Total: **90**,0.00000405,8.81941736,0.526451796962,1.31369192377,0.00775365,0.0000190976600985,0.000666400000,0.008420050000,1,13,2,2.02819630384,knapsack: **135** ; srd: **185** ; bnb: **86**
bustabit-tiny-hot-wallet_peak-and-tail,27.28380998,79.2026666667,203,961,1153,539,2,395,bnb: **139** ; knapsack: **5** ; Total: **144**,0.00000340,8.81941736,0.519502065924,1.37338857247,0.01079502,0.0000200278664193,0.00138040000,0.01217542000,1,15,2.13914656772,2.17990314211,knapsack: **153** ; srd: **247** ; bnb: **139**
bustabit-tiny-hot-wallet_peak-and-tail,19.66851091,112.737500000,191,1316,1593,684,3,468,bnb: **210** ; knapsack: **6** ; Total: **216**,0.00000340,9.94901151,0.468356054060,1.34773322424,0.01331324,0.0000194638011696,0.00129880000,0.01461204000,1,15,2.32894736842,2.34098590251,knapsack: **189** ; srd: **285** ; bnb: **210**
bustabit-tiny-hot-wallet_peak-and-tail,26.29699781,124.656800000,162,1682,2058,818,3,538,bnb: **273** ; knapsack: **7** ; Total: **280**,0.00000340,9.94901151,0.440157755093,1.34357352522,0.01736322,0.0000212264303178,0.00110160000,0.01846482000,1,53,2.51589242054,3.04118876908,knapsack: **220** ; srd: **325** ; bnb: **273**
bustabit-tiny-hot-wallet_peak-and-tail,18.38098041,123.468000000,102,2008,2559,992,3,653,bnb: **332** ; knapsack: **7** ; Total: **339**,0.00000340,9.94901151,0.437039232527,1.36591816721,0.02182706,0.0000220030846774,0.000693600000,0.022520660000,1,53,2.57963709677,3.00348077071,knapsack: **250** ; srd: **410** ; bnb: **332**
bustabit-tiny-hot-wallet_peak-and-tail,26.40465106,124.111142857,169,2415,2950,1085,3,704,bnb: **374** ; knapsack: **7** ; Total: **381**,0.00000340,9.94901151,0.424703631634,1.34029405241,0.02373948,0.0000218797050691,0.00114920000,0.02488868000,1,53,2.71889400922,3.16158659093,knapsack: **270** ; srd: **441** ; bnb: **374**
bustabit-tiny-hot-wallet_peak-and-tail,23.47261940,130.910000000,185,2818,3382,1182,3,749,bnb: **426** ; knapsack: **7** ; Total: **433**,0.00000340,9.94901151,0.404686884499,1.30275914907,0.02636647,0.0000223066582064,0.00125800000,0.02762447000,1,53,2.86125211506,3.29873674880,knapsack: **289** ; srd: **467** ; bnb: **426**
bustabit-tiny-hot-wallet_peak-and-tail,15.35582709,134.155333333,62,3213,3959,1287,3,808,bnb: **471** ; knapsack: **8** ; Total: **479**,0.00000340,9.94901151,0.382283283787,1.25799731035,0.03033685,0.0000235717560218,0.000421600000,0.030758450000,1,67,3.07614607615,4.10993350426,knapsack: **305** ; srd: **511** ; bnb: **471**
bustabit-tiny-hot-wallet_peak-and-tail,15.78014305,128.189800000,89,3571,4390,1429,3,908,bnb: **513** ; knapsack: **8** ; Total: **521**,0.00000340,9.94901151,0.366773874714,1.19239050829,0.03289346,0.0000230185164451,0.000605200000,0.033498660000,1,67,3.07207837649,4.00626050056,knapsack: **335** ; srd: **581** ; bnb: **513**
bustabit-tiny-hot-wallet_peak-and-tail,22.01689711,122.136363636,94,3938,4843,1562,3,999,bnb: **555** ; knapsack: **8** ; Total: **563**,0.00000340,9.94901151,0.389241757738,1.22755708590,0.03607060,0.0000230925736236,0.000639200000,0.036709800000,1,67,3.10051216389,3.99416772038,knapsack: **358** ; srd: **649** ; bnb: **555**
bustabit-tiny-hot-wallet_peak-and-tail,20.44455530,117.375833333,66,4278,5321,1722,3,1109,bnb: **605** ; knapsack: **8** ; Total: **613**,0.00000340,9.94901151,0.392553871181,1.20734099476,0.03910834,0.0000227109988386,0.000448800000,0.039557140000,1,67,3.09001161440,3.93032343464,knapsack: **389** ; srd: **728** ; bnb: **605**
bustabit-tiny-hot-wallet_peak-and-tail,20.92306238,113.800461538,81,4650,5764,1850,3,1195,bnb: **647** ; knapsack: **8** ; Total: **655**,0.00000340,9.94901151,0.384673372586,1.16720123337,0.04194220,0.0000226714594595,0.000550800000,0.042493000000,1,67,3.11567567568,3.92239795734,knapsack: **414** ; srd: **789** ; bnb: **647**
bustabit-tiny-hot-wallet_peak-and-tail,27.28411892,111.114857143,94,4990,6203,2010,3,1307,bnb: **694** ; knapsack: **9** ; Total: **703**,0.00000340,9.94901151,0.374332332226,1.12287844965,0.04555877,0.0000226660547264,0.000639200000,0.046197970000,1,67,3.08606965174,3.86108392995,knapsack: **440** ; srd: **876** ; bnb: **694**
bustabit-tiny-hot-wallet_peak-and-tail,16.99926666,108.164933333,44,5335,6706,2165,3,1415,bnb: **740** ; knapsack: **10** ; Total: **750**,0.00000340,9.94901151,0.362258883208,1.08929601084,0.04816612,0.0000222476304850,0.000299200000,0.048465320000,1,67,3.09745958430,3.86129880722,knapsack: **472** ; srd: **953** ; bnb: **740**
bustabit-tiny-hot-wallet_peak-and-tail,12.91955097,103.473125000,48,5654,7170,2346,3,1564,bnb: **771** ; knapsack: **11** ; Total: **782**,0.00000340,9.94901151,0.421747862455,1.19837720064,0.05161679,0.0000220020417732,0.000326400000,0.051943190000,1,67,3.05626598465,3.79824742943,knapsack: **507** ; srd: **1068** ; bnb: **771**
bustabit-tiny-hot-wallet_peak-and-tail,26.62613385,100.610000000,71,5963,7607,2537,3,1715,bnb: **810** ; knapsack: **12** ; Total: **822**,0.00000340,9.94901151,0.417541891359,1.17948626286,0.05587726,0.0000220249349626,0.000482800000,0.056360060000,1,67,2.99842333465,3.72168562420,knapsack: **544** ; srd: **1183** ; bnb: **810**
