id,input_amounts
0,['0.00329000']
1,['0.01569000']
2,['5.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00500000']
9,"['0.00329400', '0.00329400']"
10,['2.00000000']
11,['0.00329600']
12,['0.00064468']
13,['0.01570000']
14,['0.01453910']
15,['0.01010000']
16,['0.00103200']
17,['0.00980000']
18,['0.00672843']
19,['0.00331400']
20,['0.00100000']
21,['4.99664529']
22,['0.00213087']
23,"['0.00006396', '0.00331400']"
24,['4.99546265']
25,['3.00000000']
26,['0.00397280']
27,['0.01000000']
28,"['0.00090000', '0.00010000', '0.00008310', '0.00195008']"
29,"['0.00050000', '0.00056976', '0.00109000', '0.00051685', '0.00018483', '0.00010863']"
30,['0.00390000']
31,['0.00605187']
32,"['0.00055849', '0.00271052', '0.00004881']"
33,['0.00660977']
34,"['0.00014860', '0.00000100', '0.00000200', '0.00323566']"
35,['0.00100000']
36,['0.00794500']
37,"['0.00300000', '0.00014860', '0.00023909']"
38,['0.00493951']
39,"['0.00069425', '0.00160913', '0.00100000', '0.00004313']"
40,['0.00940000']
41,['0.00616757']
42,['0.00284182']
43,['0.01000000']
44,['0.00677587']
45,"['0.00020000', '0.00001159', '0.00085322']"
46,['0.00171720']
47,['0.00151195']
48,['0.00063847']
49,['4.00000000']
50,"['0.00300000', '0.00034660', '0.00005071']"
51,['0.01000000']
52,['2.99664522']
53,['3.99676957']
54,['0.02500000']
55,"['0.00331533', '0.00004633']"
56,['0.01300000']
57,['0.00999587']
58,['0.00666493']
59,['0.00333503']
60,['0.01441847']
61,['0.01108544']
62,['0.00775381']
63,['0.00442039']
64,['0.01552370']
65,['0.01218809']
66,['0.00885807']
67,['0.00552936']
68,"['0.00011000', '0.00108744', '0.00219012']"
69,"['0.02167041', '0.00043123']"
70,['0.01877145']
71,['0.01576762']
72,['0.01254983']
73,['0.01053955']
74,['0.00733000']
75,['0.00399923']
76,['0.03535793']
77,['0.03195959']
78,['0.02862605']
79,['0.02527834']
80,['0.02194420']
81,['0.01860976']
82,['0.00927750']
83,['0.00593977']
84,['0.00910000']
85,"['0.00033060', '3.99343343']"
86,['1.00000000']
87,"['0.00100000', '0.00069481', '0.00005449']"
88,['3.99075304']
89,['0.00576575']
90,['2.99331525']
91,['0.01714000']
92,['0.00213637']
93,['0.03000000']
94,['4.99119271']
95,['0.00260466']
96,"['0.00116387', '0.00113314']"
97,['2.98998432']
98,"['0.00028146', '0.01490000']"
99,"['0.01999650', '0.00076900', '0.00003133']"
100,['0.00242825']
101,"['3.98809518', '0.00016341']"
102,"['0.00100000', '0.00002017', '0.00100000']"
103,['0.00444318']
104,"['0.00100000', '0.00001195']"
105,['0.00370000']
106,['0.01780000']
107,"['0.00143834', '0.00069355']"
108,"['0.00001699', '0.00100000']"
109,['0.97951727']
110,['0.01450000']
111,['0.00120000']
112,['0.00500000']
113,"['0.00200000', '0.00069501', '0.00042090']"
114,"['0.00270000', '0.00100000', '0.00080000', '0.00087643']"
115,['0.00480000']
116,['0.00480000']
117,['0.00107722']
118,"['0.00010000', '0.00108443', '0.00378570', '0.00060003', '0.00001153']"
119,"['0.00100000', '0.00093346', '0.00100000', '0.00008000']"
120,"['0.00592000', '0.00100000', '0.00228044', '0.00006000']"
121,"['0.00171142', '0.00090000', '0.00200000', '0.00040000']"
122,['0.00454585']
123,['3.98367256']
124,['0.01109159']
125,"['3.97516024', '0.00800000']"
126,"['0.00085998', '0.00464370', '0.00091371', '0.00360000', '0.00500000']"
127,['2.98896640']
128,['0.00300000']
129,['4.98918500']
130,"['0.00300000', '0.01877452']"
131,['0.01626318']
132,['0.01015560']
133,"['0.00200000', '0.00100000', '0.00025639', '0.00120000', '0.00006080', '0.00169500', '0.00010000', '0.00307676', '0.00163049']"
134,"['0.00165050', '0.00116333']"
135,"['0.00049540', '0.00500000', '0.00110000', '0.00341677']"
136,['0.97459151']
137,['0.00213902']
138,['0.00390000']
139,['4.98595719']
140,['4.98435018']
141,['0.00480000']
142,['0.00490000']
143,['0.00069882']
144,['0.00500000']
145,"['0.00226500', '0.00300000', '0.00300000', '0.00100000']"
146,"['0.00024428', '0.00180000', '0.00100000']"
147,['0.01566128']
148,"['0.00200000', '2.98696169']"
149,"['0.00381014', '0.00300000', '0.00300000']"
150,"['0.00013380', '0.00070000', '0.00289430', '0.00600000']"
151,"['0.01680000', '0.00090000', '0.00219455', '0.00500000', '0.00263338', '0.00600000', '0.00900000', '0.00290000', '0.00790000', '0.00279291', '0.00290000']"
152,['0.00288817']
153,['3.97314396']
154,['0.96458517']
155,['0.01399177']
156,['4.97134996']
157,['0.01000000']
158,['0.00086537']
159,"['0.06000000', '0.00280000', '0.00642790', '0.02000000', '0.01078521']"
160,"['0.00963986', '0.00090000', '0.00969612', '0.04000000', '0.00040000', '0.00980000', '0.02959206']"
161,"['3.92313356', '0.00500000']"
162,['0.00860000']
163,['0.03300000']
164,['0.01000000']
165,"['0.00499242', '0.00001613']"
166,['0.00084400']
167,['0.00359320']
168,"['0.00090000', '0.00058800', '0.00017000', '0.00800000', '0.00021000', '0.00014607']"
169,"['0.00005631', '0.00100000']"
170,['0.05000000']
171,['0.00500000']
172,['0.00362451']
173,['0.00700000']
174,['4.85034506']
175,['0.02899385']
176,"['1.99984483', '0.00010000']"
177,"['0.95460539', '0.00880000']"
178,['0.03000000']
179,['0.00038000']
180,['0.00040000']
181,['0.05000000']
182,['0.01932106']
183,['4.84533888']
184,['3.82812611']
185,['0.00090000']
186,['0.00234946']
187,['0.05900000']
188,['0.01990000']
189,['0.01500000']
190,['0.06000000']
191,['0.00318000']
192,['0.03996541']
193,"['0.00105068', '0.01000000']"
194,['0.00980000']
195,['0.01000000']
196,['1.98973559']
197,['1.97418269']
198,"['0.00100000', '0.01000000']"
199,['3.81698990']
200,['0.00777421']
201,['0.02000000']
202,['0.07024500']
203,['0.05000000']
204,['0.06000000']
205,['0.09990000']
206,"['0.00090000', '0.01229076', '0.00572608']"
207,"['0.00014000', '0.00888883', '0.00500000']"
208,['0.00990000']
209,['0.00249616']
210,['0.00500000']
211,['0.08677128']
