----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.19449948 | 35.5500000000 | 44 | 267 | 415 | 233 | 1 | 192 | bnb: **40** ; knapsack: **1** ; Total: **41** | 0.00001149 | 4.99664529 | 0.674517299792 | 1.49090167103 | 0.00436019 | 0.0000187132618026 | 0.000299200000 | 0.004659390000 | 1 | 14 | 1.78111587983 | 1.76146112678 | knapsack: **89** ; srd: **104** ; bnb: **40** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.92767490 | 53.0210000000 | 95 | 594 | 812 | 406 | 1 | 313 | bnb: **91** ; knapsack: **2** ; Total: **93** | 0.00000310 | 4.99664529 | 0.607112174696 | 1.36071794300 | 0.00764927 | 0.0000188405665025 | 0.000646000000 | 0.008295270000 | 1 | 16 | 2 | 2.04154383606 | knapsack: **127** ; srd: **188** ; bnb: **91** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28380021 | 78.8033333333 | 182 | 961 | 1166 | 539 | 2 | 387 | bnb: **148** ; knapsack: **4** ; Total: **152** | 0.00000310 | 4.99664529 | 0.533269117287 | 1.26676377717 | 0.01080479 | 0.0000200459925788 | 0.00123760000 | 0.01204239000 | 1 | 16 | 2.16326530612 | 2.20578516695 | knapsack: **148** ; srd: **243** ; bnb: **148** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.66853302 | 107.852000000 | 181 | 1316 | 1599 | 684 | 3 | 464 | bnb: **216** ; knapsack: **4** ; Total: **220** | 0.00000310 | 9.94999202 | 0.474150132716 | 1.25179291646 | 0.01329113 | 0.0000194314766082 | 0.00123080000 | 0.01452193000 | 1 | 16 | 2.33771929825 | 2.32025483344 | knapsack: **180** ; srd: **288** ; bnb: **216** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.29854915 | 128.104800000 | 241 | 1682 | 1980 | 818 | 4 | 539 | bnb: **274** ; knapsack: **5** ; Total: **279** | 0.00000310 | 9.94999202 | 0.421381078646 | 1.17738719848 | 0.01581188 | 0.0000193299266504 | 0.00163880000 | 0.01745068000 | 1 | 16 | 2.42053789731 | 2.37060098648 | knapsack: **208** ; srd: **336** ; bnb: **274** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.38263464 | 141.565333333 | 198 | 2008 | 2456 | 992 | 4 | 646 | bnb: **341** ; knapsack: **5** ; Total: **346** | 0.00000310 | 9.94999202 | 0.376812111269 | 1.14956505374 | 0.02017283 | 0.0000203355141129 | 0.00134640000 | 0.02151923000 | 1 | 16 | 2.47580645161 | 2.36084340631 | knapsack: **242** ; srd: **409** ; bnb: **341** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.40633226 | 151.609428571 | 259 | 2415 | 2847 | 1085 | 4 | 691 | bnb: **388** ; knapsack: **6** ; Total: **394** | 0.00000310 | 9.94999202 | 0.356714772764 | 1.11501108870 | 0.02205828 | 0.0000203302119816 | 0.00176120000 | 0.02381948000 | 1 | 20 | 2.62396313364 | 2.60225862699 | knapsack: **261** ; srd: **436** ; bnb: **388** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.47428848 | 163.559000000 | 233 | 2818 | 3320 | 1182 | 4 | 735 | bnb: **441** ; knapsack: **6** ; Total: **447** | 0.00000310 | 9.94999202 | 0.343961763184 | 1.08442066370 | 0.02469739 | 0.0000208945769882 | 0.00158440000 | 0.02628179000 | 1 | 84 | 2.80879864636 | 3.60693523508 | knapsack: **279** ; srd: **462** ; bnb: **441** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.35741660 | 166.542888889 | 62 | 3213 | 3946 | 1287 | 4 | 795 | bnb: **484** ; knapsack: **8** ; Total: **492** | 0.00000310 | 9.94999202 | 0.324894248591 | 1.04622825930 | 0.02874734 | 0.0000223367055167 | 0.000421600000 | 0.029168940000 | 1 | 84 | 3.06604506605 | 4.69185672968 | knapsack: **301** ; srd: **502** ; bnb: **484** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.78175954 | 156.776400000 | 82 | 3571 | 4380 | 1429 | 4 | 891 | bnb: **530** ; knapsack: **8** ; Total: **538** | 0.00000310 | 9.94999202 | 0.329451570819 | 1.04890533934 | 0.03127697 | 0.0000218873128062 | 0.000557600000 | 0.031834570000 | 1 | 84 | 3.06508047586 | 4.55029068513 | knapsack: **331** ; srd: **568** ; bnb: **530** |
| bustabit-tiny-hot-wallet_peak-and-tail | 22.01847371 | 147.884181818 | 92 | 3938 | 4826 | 1562 | 4 | 980 | bnb: **574** ; knapsack: **8** ; Total: **582** | 0.00000310 | 9.98999456 | 0.348451909684 | 1.10402819563 | 0.03449400 | 0.0000220832266325 | 0.000625600000 | 0.035119600000 | 1 | 84 | 3.08962868118 | 4.48054031362 | knapsack: **361** ; srd: **627** ; bnb: **574** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.44605710 | 140.615000000 | 65 | 4278 | 5303 | 1722 | 4 | 1090 | bnb: **624** ; knapsack: **8** ; Total: **632** | 0.00000310 | 9.98999456 | 0.367715596688 | 1.11649447981 | 0.03760654 | 0.0000218388734030 | 0.000442000000 | 0.038048540000 | 1 | 84 | 3.07955865273 | 4.38343114493 | knapsack: **386** ; srd: **712** ; bnb: **624** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.92482149 | 135.620615385 | 92 | 4650 | 5733 | 1850 | 4 | 1175 | bnb: **665** ; knapsack: **10** ; Total: **675** | 0.00000310 | 9.98999456 | 0.361523314451 | 1.07922206121 | 0.04018309 | 0.0000217205891892 | 0.000625600000 | 0.040808690000 | 1 | 84 | 3.09891891892 | 4.34347996340 | knapsack: **408** ; srd: **777** ; bnb: **665** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28577631 | 131.686000000 | 93 | 4990 | 6186 | 2010 | 4 | 1289 | bnb: **711** ; knapsack: **10** ; Total: **721** | 0.00000310 | 9.98999456 | 0.350986307432 | 1.03738359429 | 0.04390138 | 0.0000218414825871 | 0.000632400000 | 0.044533780000 | 1 | 84 | 3.07761194030 | 4.25282926570 | knapsack: **440** ; srd: **859** ; bnb: **711** |
| bustabit-tiny-hot-wallet_peak-and-tail | 17.00098452 | 127.582666667 | 49 | 5335 | 6684 | 2165 | 4 | 1398 | bnb: **757** ; knapsack: **10** ; Total: **767** | 0.00000310 | 9.98999456 | 0.337205442217 | 1.00130540742 | 0.04644826 | 0.0000214541616628 | 0.000333200000 | 0.046781460000 | 1 | 84 | 3.08729792148 | 4.22531434113 | knapsack: **470** ; srd: **938** ; bnb: **757** |
| bustabit-tiny-hot-wallet_peak-and-tail | 12.92117930 | 121.741125000 | 35 | 5654 | 7163 | 2346 | 4 | 1544 | bnb: **789** ; knapsack: **13** ; Total: **802** | 0.00000310 | 9.98999456 | 0.396503490123 | 1.11921200702 | 0.04998846 | 0.0000213079539642 | 0.000238000000 | 0.050226460000 | 1 | 84 | 3.05328218244 | 4.15295716190 | knapsack: **508** ; srd: **1049** ; bnb: **789** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.62777947 | 117.305647059 | 63 | 5963 | 7602 | 2537 | 4 | 1702 | bnb: **821** ; knapsack: **14** ; Total: **835** | 0.00000310 | 9.98999456 | 0.418249956058 | 1.12997735390 | 0.05423164 | 0.0000213762869531 | 0.000428400000 | 0.054660040000 | 1 | 84 | 2.99645250296 | 4.06846804157 | knapsack: **549** ; srd: **1167** ; bnb: **821** |
