id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['0.00500000']
3,['2.00000000']
4,['0.00940000']
5,['1.00000000']
6,['0.00164529']
7,['0.00314770']
8,['0.00122014']
9,['0.01569000']
10,['0.00019294']
11,['0.00329000']
12,['0.00329400']
13,['0.00607372']
14,['0.00011747']
15,['0.00794500']
16,['0.00103200']
17,"['0.00329600', '0.00050000']"
18,['0.02500000']
19,['0.00316617']
20,['0.00100000']
21,['0.01010000']
22,['0.00329400']
23,['5.00000000']
24,['0.00483000']
25,['3.00000000']
26,['4.99664113']
27,['0.00491282']
28,['0.99678910']
29,"['0.00109000', '0.00014860', '0.00115491', '0.00056976']"
30,['0.01000000']
31,['0.01000000']
32,"['0.00014860', '0.00069042', '0.00198304', '0.00049838']"
33,['0.99377510']
34,"['0.00000200', '0.00331400', '0.00003777']"
35,['1.99583424']
36,"['0.00100000', '0.00010863', '0.00001165', '0.00090000', '0.00100000']"
37,"['0.00329400', '0.00010000', '0.00000100']"
38,"['0.00329400', '0.00005802']"
39,"['0.00056006', '0.00300000']"
40,['0.00389687']
41,['0.00390000']
42,"['0.00057425', '0.00152259']"
43,['0.00665849']
44,['0.00665865']
45,['0.00980000']
46,"['0.00020000', '0.00002004']"
47,"['0.00022827', '0.00066444']"
48,"['0.00010606', '0.00011000']"
49,"['0.00034660', '0.00300000']"
50,['0.00343436']
51,"['0.00017883', '0.00916343']"
52,"['0.00265537', '0.00159998']"
53,['0.00874346']
54,['0.00540732']
55,"['0.00207773', '0.00076900', '0.00092302']"
56,['0.00891736']
57,['0.00591323']
58,['0.01000000']
59,"['0.00043768', '0.00258229']"
60,['0.00667010']
61,['0.00333707']
62,"['0.00008728', '0.03535793']"
63,['0.01300000']
64,['0.00966705']
65,['0.00633144']
66,"['0.01827435', '0.00001710']"
67,['0.01496098']
68,['0.01162174']
69,['0.00829262']
70,"['0.00001230', '0.00300142']"
71,['0.00496410']
72,['0.01570000']
73,['0.01368972']
74,['0.01048017']
75,"['0.00174631', '2.99664522']"
76,['0.00714940']
77,['0.00375106']
78,['0.03210922']
79,['0.02876151']
80,['0.02542737']
81,['0.02209293']
82,['0.01276067']
83,['0.00942294']
84,['0.00608783']
85,"['0.00275358', '0.00041752']"
86,['0.99040099']
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.00011407', '0.01380907', '0.00016011', '0.00100000']"
92,['0.00137899']
93,['0.03000000']
94,['0.01999650']
95,['0.01798879']
96,['0.00300000']
97,['1.99552849']
98,['1.99451057']
99,['0.96991826']
100,['0.01598416']
101,['0.01490000']
102,"['0.00100000', '0.00000807', '0.00100000']"
103,"['0.00116387', '0.00006080', '0.00080000', '0.00098946']"
104,['0.00370000']
105,['0.00480000']
106,['0.00179355']
107,['0.00269252']
108,"['0.00100000', '0.00001344']"
109,"['0.00058242', '0.00120000', '0.00107722', '0.00100000', '0.00007440', '0.00000798', '0.00100000']"
110,['0.00120000']
111,"['0.00037576', '0.00010000', '0.00009442']"
112,['0.00800000']
113,['0.00500000']
114,"['0.00200000', '0.00480000']"
115,['0.00385998']
116,"['0.00189210', '0.00142879', '0.00040000']"
117,['0.00025673']
118,"['0.00200000', '0.00171142', '0.00100000', '0.00087643']"
119,"['0.00011297', '0.00100000', '0.00090000', '0.00100000']"
120,"['0.00008000', '0.00284568', '0.00341677', '0.00006000', '0.00270000', '0.00010000', '0.00000802', '0.00006042']"
121,"['0.00390000', '0.00090000', '0.00025639']"
122,['0.00800000']
123,['0.03500000']
124,['0.01109159']
125,"['0.00592000', '0.00110000', '0.00300000']"
126,"['0.00200000', '0.00169500', '0.00300000', '0.00228044', '0.00100000', '0.00500000', '0.00004689']"
127,"['0.00163049', '0.00091371']"
128,['0.00290000']
129,['0.00444318']
130,['4.99461841']
131,['0.01780000']
132,"['0.00480000', '0.00155050']"
133,"['0.00500000', '0.00490000', '0.00121537']"
134,"['0.00226500', '0.00053726']"
135,"['0.00213902', '0.00790000']"
136,['1.97949833']
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00300000']
140,"['0.00307676', '0.00010724', '0.00069882', '0.00028675', '0.00004474', '0.00880000']"
141,['0.00500000']
142,['1.96949199']
143,['0.00049540']
144,['0.00880000']
145,"['0.00461748', '0.00464370']"
146,"['0.00003270', '0.00299291', '0.00004086']"
147,"['0.00070000', '0.00100000']"
148,"['0.00280000', '0.00300000']"
149,"['0.00002183', '0.00180000', '0.00200000', '0.00600000']"
150,"['0.00360000', '0.00500000', '0.00139299']"
151,"['0.00290000', '0.00600000', '0.00003903', '0.00980000', '0.01031816', '0.00900000', '0.00900000', '0.00000895', '0.00026622', '0.00668817', '0.00500000']"
152,['0.96790686']
153,"['0.01169242', '0.02648768', '0.00263338', '0.01000000']"
154,['0.01000000']
155,['0.00454585']
156,"['0.00500000', '0.00002788', '0.00133929', '0.01000000', '0.01000000', '0.01000000', '0.00078812', '0.00090000', '0.00040000', '0.00860000', '0.01397681', '0.06000000']"
157,['0.00969612']
158,['0.00090000']
159,"['0.01450000', '0.05000000', '0.01990000', '0.00963986', '0.00612402']"
160,"['4.00000000', '0.02000000', '0.05900000']"
161,"['0.01500000', '0.02959206', '0.01680000', '0.04000000']"
162,['0.00700000']
163,['0.03000000']
164,['0.01000000']
165,"['0.00002022', '0.00499242']"
166,"['0.00015043', '0.00021000', '0.00038000']"
167,"['0.00084400', '0.00000533', '0.00017000', '0.00199320']"
168,"['0.00003874', '0.01000000']"
169,"['0.00100000', '0.00003309']"
170,['0.02471042']
171,['0.00137974']
172,['0.00800000']
173,['0.00672495']
174,['0.06000000']
175,['0.01467583']
176,['0.96588406']
177,"['0.00090000', '0.00002875', '0.00446846', '0.00222111', '0.00040000', '0.00250000']"
178,['0.09990000']
179,['0.00500000']
180,['0.00463586']
181,['0.03300000']
182,['0.02599385']
183,['3.97898514']
184,"['0.08922106', '0.00980000']"
185,['0.00426933']
186,['0.00399065']
187,['0.05000000']
188,['0.07024500']
189,['0.02266782']
190,['0.00324700']
191,['0.01000000']
192,['0.01514881']
193,['1.96748629']
194,['0.01000000']
195,['0.00900000']
196,['1.95645972']
197,['1.94090682']
198,['0.05000000']
199,['2.99508502']
200,['0.02310000']
201,['0.01000000']
202,['1.93988911']
203,"['0.00100000', '4.98850943']"
204,['0.08786764']
205,['0.95567779']
206,['0.04869081']
207,['0.02900000']
208,['0.00900000']
209,['0.00797421']
210,['0.01000000']
