----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.19447088 | 28.2520000000 | 27 | 267 | 442 | 233 | 1 | 202 | bnb: **28** ; knapsack: **3** ; Total: **31** | 0.00000425 | 4.99664113 | 0.334370730842 | 0.960225646010 | 0.00438879 | 0.0000188360085837 | 0.000183600000 | 0.004572390000 | 1 | 15 | 1.89699570815 | 1.98868338983 | knapsack: **119** ; srd: **86** ; bnb: **28** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.92764916 | 38.2540000000 | 70 | 594 | 859 | 406 | 1 | 335 | bnb: **67** ; knapsack: **4** ; Total: **71** | 0.00000333 | 8.80995821 | 0.400731798507 | 1.25985188091 | 0.00767501 | 0.0000189039655172 | 0.000476000000 | 0.008151010000 | 1 | 16 | 2.11576354680 | 2.18612861114 | knapsack: **202** ; srd: **137** ; bnb: **67** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28365111 | 52.4093333333 | 115 | 961 | 1268 | 539 | 2 | 422 | bnb: **112** ; knapsack: **5** ; Total: **117** | 0.00000333 | 8.80995821 | 0.347163780900 | 1.13717974669 | 0.01095389 | 0.0000203226159555 | 0.000782000000 | 0.011735890000 | 1 | 16 | 2.35250463822 | 2.49051140549 | knapsack: **237** ; srd: **190** ; bnb: **112** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.66809867 | 62.6850000000 | 34 | 1316 | 1802 | 684 | 4 | 520 | bnb: **158** ; knapsack: **6** ; Total: **164** | 0.00000333 | 9.98999115 | 0.310624560538 | 1.11682765533 | 0.01372548 | 0.0000200664912281 | 0.000231200000 | 0.013956680000 | 1 | 55 | 2.63450292398 | 3.51291816620 | knapsack: **297** ; srd: **229** ; bnb: **158** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.29775457 | 59.2244000000 | 68 | 1682 | 2236 | 818 | 4 | 622 | bnb: **190** ; knapsack: **6** ; Total: **196** | 0.00000333 | 9.98999115 | 0.356922402588 | 1.35258760033 | 0.01660646 | 0.0000203012958435 | 0.000462400000 | 0.017068860000 | 1 | 55 | 2.73349633252 | 3.59822855241 | knapsack: **358** ; srd: **270** ; bnb: **190** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.38180293 | 58.0936666667 | 58 | 2008 | 2711 | 992 | 4 | 761 | bnb: **224** ; knapsack: **7** ; Total: **231** | 0.00000317 | 9.98999115 | 0.376647444507 | 1.39116540159 | 0.02100454 | 0.0000211739314516 | 0.000394400000 | 0.021398940000 | 1 | 55 | 2.73286290323 | 3.51301582562 | knapsack: **429** ; srd: **339** ; bnb: **224** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.40540390 | 59.8431428571 | 83 | 2415 | 3160 | 1085 | 4 | 828 | bnb: **250** ; knapsack: **7** ; Total: **257** | 0.00000317 | 9.98999115 | 0.360603926679 | 1.33784683358 | 0.02298664 | 0.0000211858433180 | 0.000564400000 | 0.023551040000 | 1 | 55 | 2.91244239631 | 3.87163519280 | knapsack: **463** ; srd: **372** ; bnb: **250** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.47329342 | 62.9370000000 | 67 | 2818 | 3640 | 1182 | 4 | 889 | bnb: **286** ; knapsack: **7** ; Total: **293** | 0.00000317 | 9.98999115 | 0.347595544409 | 1.29422988650 | 0.02569245 | 0.0000217364213198 | 0.000455600000 | 0.026148050000 | 1 | 55 | 3.07952622673 | 4.17793532164 | knapsack: **496** ; srd: **400** ; bnb: **286** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.35685589 | 63.8506666667 | 28 | 3213 | 4147 | 1287 | 4 | 962 | bnb: **316** ; knapsack: **9** ; Total: **325** | 0.00000317 | 9.98999115 | 0.338892876642 | 1.24749442996 | 0.02930805 | 0.0000227723776224 | 0.000190400000 | 0.029498450000 | 1 | 55 | 3.22222222222 | 4.45091114132 | knapsack: **529** ; srd: **442** ; bnb: **316** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.78110474 | 62.2568000000 | 48 | 3571 | 4597 | 1429 | 4 | 1074 | bnb: **346** ; knapsack: **9** ; Total: **355** | 0.00000317 | 9.98999115 | 0.325452642067 | 1.20265650022 | 0.03193177 | 0.0000223455353394 | 0.000326400000 | 0.032258170000 | 1 | 55 | 3.21693491952 | 4.36056543751 | knapsack: **603** ; srd: **480** ; bnb: **346** |
| bustabit-tiny-hot-wallet_peak-and-tail | 22.01796157 | 59.7689090909 | 54 | 3938 | 5069 | 1562 | 4 | 1185 | bnb: **368** ; knapsack: **9** ; Total: **377** | 0.00000317 | 9.99028111 | 0.363385467409 | 1.28605300527 | 0.03500614 | 0.0000224111011524 | 0.000367200000 | 0.035373340000 | 1 | 55 | 3.24519846351 | 4.38527974067 | knapsack: **666** ; srd: **528** ; bnb: **368** |
| bustabit-tiny-hot-wallet_peak-and-tail | 20.44563084 | 58.0766666667 | 39 | 4278 | 5552 | 1722 | 4 | 1313 | bnb: **400** ; knapsack: **9** ; Total: **409** | 0.00000317 | 9.99028111 | 0.371883503473 | 1.27164858574 | 0.03803280 | 0.0000220864111498 | 0.000265200000 | 0.038298000000 | 1 | 55 | 3.22415795587 | 4.30001250144 | knapsack: **730** ; srd: **592** ; bnb: **400** |
