id,input_amounts
0,['0.00329000']
1,['0.00483000']
2,['0.00500000']
3,['0.00466370']
4,['0.01570000']
5,['0.00329000']
6,['0.00329400']
7,['0.00286885']
8,['0.00164529']
9,"['0.00329400', '0.00329400']"
10,['0.00331400']
11,['0.00315883']
12,['0.01000000']
13,['0.00331400']
14,['0.00011747']
15,['5.00000000']
16,['0.00103200']
17,['0.00390000']
18,['0.00980000']
19,['0.00329400']
20,['0.00100000']
21,['0.01000000']
22,['4.00000000']
23,['2.00000000']
24,"['0.00100000', '0.00307435', '0.00021953']"
25,['0.01237372']
26,['0.00329600']
27,['0.00881736']
28,['0.01569000']
29,"['0.00127328', '0.00010000', '0.00109000', '0.00050000']"
30,['0.00542713']
31,"['0.00211087', '0.00215310']"
32,"['0.00208562', '0.00004766', '0.00056976', '0.00061809']"
33,['3.99786091']
34,"['0.00091486', '0.00010863', '0.00049794', '0.00082843', '0.00100000']"
35,['1.99664113']
36,['0.00794500']
37,"['0.00000100', '0.00014860', '0.00004881', '0.00014860', '0.00300000']"
38,['0.00493951']
39,['0.00901894']
40,['0.00568869']
41,['1.00000000']
42,['0.00245626']
43,"['0.00090000', '0.00020000', '0.00007910', '0.00046766', '0.00160913']"
44,['0.00940000']
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,['0.00434133']
50,"['3.00000000', '0.00065749', '0.00000200']"
51,['0.00987217']
52,"['0.00034660', '0.00318750']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,['0.01010000']
57,['0.00709587']
58,['0.00376493']
59,['0.01267600']
60,['0.00967157']
61,"['2.99730851', '0.00020177', '0.00011000']"
62,"['0.00002383', '0.99667425']"
63,['0.00633854']
64,"['0.00300559', '0.00043503']"
65,"['1.99633538', '0.00111090']"
66,['0.01300000']
67,['0.00967129']
68,['0.00633205']
69,"['0.00076900', '0.00300293']"
70,['0.02500000']
71,['0.02199617']
72,['0.01877838']
73,['0.01676810']
74,['0.01355855']
75,['0.01022778']
76,['0.00692336']
77,['0.00352502']
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,"['0.00010235', '0.02534164', '0.00044174', '0.00019148']"
82,['0.01673882']
83,['0.01340109']
84,['0.00910000']
85,['0.00576575']
86,['0.99336209']
87,['0.00275830']
88,['0.01006598']
89,['0.00740812']
90,['0.00407062']
91,['0.01714000']
92,['0.00103265']
93,['0.03000000']
94,['0.00213637']
95,"['0.00073969', '0.00116387', '0.00012866']"
96,['0.00300000']
97,"['0.00002316', '0.00100000']"
98,['0.01780000']
99,['0.01999650']
100,['0.97287936']
101,"['0.00278776', '0.00098946', '0.00100000']"
102,"['0.00018693', '0.00002942', '0.00100000', '0.00080000']"
103,"['0.00006080', '0.00300000']"
104,['0.00480000']
105,['0.00480000']
106,['0.00179355']
107,['0.97087201']
108,"['0.00000610', '0.00100000']"
109,['2.99428422']
110,"['0.00005366', '0.00107722']"
111,['0.00100000']
112,"['0.00025673', '0.00010000', '0.00379252']"
113,['0.01798510']
114,['0.01487720']
115,['0.00200000']
116,"['0.00100000', '0.00002265', '0.00270000']"
117,['0.00040000']
118,"['0.00120000', '0.00390000', '0.00049501']"
119,"['0.00171142', '0.00098570', '0.00025624', '0.00006000']"
120,"['0.00163049', '0.00087643', '0.00010000', '0.00091371', '0.00341677', '0.00100000', '0.00025639', '0.00100000', '0.00008000']"
121,"['0.00120000', '0.00100000', '0.00090000', '0.00090000', '0.00001752', '0.00100000']"
122,['0.00360000']
123,"['0.00800000', '0.00464370']"
124,"['0.00021748', '0.03500000']"
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00444318', '0.00370000', '0.00228044', '0.00169500', '0.00290000']"
127,['0.00300000']
128,['0.00200000']
129,['0.00412552']
130,['3.99448680']
131,['0.00790000']
132,"['0.00099529', '0.00454585', '0.00089771']"
133,"['0.00008817', '0.00200000', '0.00900000']"
134,"['0.00065050', '0.00226500']"
135,"['0.00008004', '0.00800000', '0.00015798', '0.00179242']"
136,"['0.00500000', '0.01450000']"
137,['0.00213902']
138,['0.00300000']
139,['4.99595187']
140,"['0.00100000', '0.00002000', '0.00069882', '0.00049540', '0.00600000', '0.00480000']"
141,['0.00500000']
142,['0.00490000']
143,['0.00070000']
144,['3.98837782']
145,"['0.00024546', '0.00180000', '0.00100000', '0.00013380', '0.00280000', '0.00200000', '0.00129455']"
146,['0.00500000']
147,['0.00196007']
148,"['0.00289430', '0.00290000']"
149,"['0.00949065', '0.00003333', '0.00029056']"
150,"['0.00500000', '0.00500000']"
151,"['0.00027514', '0.01000000', '0.00880000', '0.00600000', '0.00980000', '0.00263338', '0.00900000', '0.00300000', '0.00950927']"
152,['0.00860000']
153,['0.06000000']
154,['0.00998960']
155,['0.01500000']
156,"['0.00090000', '0.00500000', '0.00040000', '0.01109159', '0.00969612', '0.00657720', '0.00299291', '0.01000000', '0.01000000', '0.01680000', '0.01000000', '0.01490000', '0.00090000', '0.01000000', '0.01179344']"
157,['0.00500000']
158,['0.00142790']
159,"['0.00057866', '0.00963986', '0.01990000', '0.02000000', '0.05000000']"
160,['4.99434486']
161,"['0.02719561', '0.03300000', '0.04000000']"
162,['0.00700000']
163,['0.00880000']
164,"['0.00000982', '0.00021000', '0.00479385']"
165,['0.01000000']
166,['0.00084400']
167,['0.00499505']
168,"['0.00001347', '0.00000400', '0.00800000', '0.00199320']"
169,"['0.00010507', '0.00100000']"
170,"['0.01000000', '0.00010000']"
171,"['0.00006323', '0.00040000', '0.00018572', '0.00014607', '0.00010073', '0.00017000', '0.00038000']"
172,['0.00198985']
173,['0.02471042']
174,['0.02959206']
175,['0.02020658']
176,['4.89433727']
177,"['0.00071480', '0.00980000']"
178,['0.09980000']
179,['0.00090000']
180,['0.00053586']
181,['0.03000000']
182,['0.09990000']
183,['4.88413100']
184,"['0.01000000', '1.99411387']"
185,['0.00250000']
186,['0.00222132']
187,['0.05000000']
188,['0.05000000']
189,"['0.01000000', '0.01966782']"
190,['0.96876191']
191,['1.99296045']
192,['0.05900000']
193,['3.98626599']
194,['0.01090000']
195,['0.00500000']
196,"['0.05000000', '0.00999921']"
197,['0.01000000']
198,['0.01000000']
199,"['0.00898229', '0.02458588']"
200,['2.98935846']
201,['0.08905496']
202,['0.00500000']
203,['0.96669715']
204,['1.99083113']
205,['4.87377119']
206,"['0.01000000', '0.00006080', '0.00016933', '0.00869081']"
207,['0.05000000']
208,['1.98980719']
209,['0.04443258']
210,['0.00990000']
211,"['0.00200000', '0.01450940', '0.00180000']"
212,"['0.00005460', '0.00097600', '0.00000665', '0.00090000', '0.00180000', '0.00028000', '0.00010000', '0.00147767', '0.00099000', '0.01000000', '0.00014000', '0.08134572', '0.00005447', '0.00090000', '0.00100000']"
213,"['0.00475391', '0.00390000', '0.00290000', '0.00229870', '0.00390000', '0.00044827', '0.00900000', '0.00400000']"
214,['0.00039116']
215,"['0.00388883', '0.00005460', '0.02000000', '0.00050000', '0.00170000', '0.01000000', '0.01000000', '0.00019558', '0.01000000', '0.00900000', '0.00968889']"
216,"['0.00013614', '0.01000000']"
217,"['0.01847150', '0.01000000', '0.00012840', '0.01000000', '0.01000000', '0.00887421', '0.01944692', '0.02310000']"
218,"['0.01570000', '0.01000000', '0.00193800', '0.00318000']"
219,['0.00071921']
220,['0.00051513']
221,"['0.01030000', '0.00969500', '0.01950000', '0.03884735', '0.03598349', '0.01000000']"
222,['0.04342361']
223,['0.00030399']
224,"['0.00096700', '0.00100000', '0.01950000', '0.00947658']"
225,"['0.00004433', '0.04687087', '0.03581971', '0.01000000', '0.00005004', '0.00010000', '0.03000000', '0.02700000', '0.00013629']"
226,"['0.06000000', '0.00010000', '0.00500000', '0.06000000']"
227,['0.01940000']
228,['0.00939617']
229,['0.00338663']
230,['0.00088221']
231,['0.02400000']
232,['0.00050000']
233,"['0.07024500', '0.00020000', '0.00070000', '0.00008995', '0.01930000', '0.00019456', '0.01930000']"
234,"['0.00001000', '0.00114700', '0.00050000', '0.00006184', '0.02209308', '0.00161670']"
235,"['0.00050000', '0.00010000', '0.00067567', '0.00072800']"
236,['0.00170883']
237,['0.00070533']
238,['0.00100000']
239,['0.00042229']
240,['4.86064247']
241,['0.00637176']
242,"['0.07000000', '0.03000000']"
243,"['0.00020000', '0.00110000', '0.00100000', '0.00020000', '0.00021175', '0.00010000', '0.00020000', '0.00001265', '0.00050000']"
244,"['0.00049266', '0.00127802', '0.02900000', '0.06924795']"
245,"['0.00980000', '0.00100000']"
246,"['0.01000000', '0.00010000', '0.00100000', '0.08912106']"
247,['0.00196900']
248,['3.97523942']
249,"['0.01942388', '0.01000000', '0.01000000', '0.02000000', '0.01500000', '0.00980000', '0.01940000']"
250,"['0.00040000', '2.98731033']"
251,"['0.00222825', '0.00029086', '0.20000000', '0.00146499']"
252,['1.00000000']
253,"['0.10000000', '0.00000790']"
254,"['0.00989938', '0.05500000', '0.00100000', '0.00395946', '0.00008465', '0.00011752', '0.03000000']"
255,['0.93899328']
256,['0.00226441']
257,['0.09743739']
258,['0.01200000']
259,['0.00205709']
260,['0.00174919']
261,['0.00154520']
262,['0.00114148']
263,"['0.00070000', '0.00090000']"
264,['0.00093427']
265,['4.84369820']
266,"['0.00005460', '0.00010000', '0.00006000', '0.00006448', '0.00043100', '0.00000838']"
267,['1.98579084']
268,"['0.00009435', '0.00010000', '0.00004018']"
269,['0.00080000']
270,['0.00059518']
271,"['0.00001500', '0.01900000']"
272,"['0.00040856', '0.00060000']"
273,"['0.00090000', '0.00002381', '0.00001000', '0.00008035']"
274,['0.00290000']
275,['0.00189450']
276,['0.00060110']
277,"['0.00088755', '0.00039229']"
278,['0.00300000']
279,['0.00199425']
280,"['0.00013227', '0.00080000', '0.00098843', '0.00499872', '0.00010000']"
281,"['0.00100000', '0.00500000', '0.00000963']"
282,"['0.00392156', '0.00390625']"
283,"['0.00020370', '0.00063000']"
284,['0.00392695']
285,['0.00237000']
286,['0.00216326']
287,['1.98488498']
288,"['0.00002149', '0.00500000', '0.00510000', '0.00005460', '0.00049400', '0.05000000']"
289,"['0.00040900', '0.00095634']"
290,"['0.00040000', '0.00083132', '0.00090000']"
291,"['0.00006504', '0.00500000', '0.01495000']"
292,"['0.00110000', '0.00012355']"
293,['0.00052000']
294,['0.00060081']
295,['0.00090000']
296,['1.00000000']
297,['0.04000000']
298,['0.00190000']
299,"['0.00017722', '0.01158205', '0.00029639', '0.00002757']"
300,['0.00089022']
301,"['0.00890000', '0.00009622', '0.01000000', '0.00393405', '0.00700000', '0.00008538']"
302,"['0.00100000', '0.00001610', '0.00799501', '0.00100000']"
303,"['0.00700000', '0.00224987', '0.00000285', '0.01000000', '0.00198637', '0.00150000']"
304,['0.00198467']
305,['0.73898810']
306,"['0.00010000', '0.00100000']"
307,['0.04651234']
308,['0.03941060']
309,"['0.00001000', '0.00200000', '0.00100000']"
310,"['0.00700000', '0.00010000', '0.00011000', '0.01187000', '0.00070000', '0.00014800', '0.00009228']"
311,['0.00880000']
312,['0.00025000']
313,['0.00063540']
314,['0.00083837']
315,['0.03000000']
316,['0.10000000']
317,['2.97513297']
318,['1.00000000']
319,['1.93299064']
320,"['0.00090000', '0.93896379']"
321,['0.00360000']
322,['0.01000000']
323,['0.10000000']
324,['0.02000000']
325,['0.01000000']
326,"['0.00927000', '2.92410079']"
327,"['0.00200000', '0.00008830', '0.99947720']"
328,['0.01001500']
329,['0.10000000']
330,['0.01000000']
331,['0.80153588']
332,['0.05000000']
333,['0.01470000']
334,['0.09963315']
335,"['0.00130000', '0.10000000', '0.00108100']"
336,['0.10000000']
337,['0.73388143']
338,['0.03640571']
339,['0.20000000']
340,"['0.00200000', '0.02747658']"
341,"['0.00824903', '0.04935990']"
342,"['0.00005480', '0.00011522', '0.00022810', '0.00000441', '0.00011808']"
343,"['0.00990000', '0.00038646', '0.00400000', '0.02073312']"
344,"['0.73329879', '0.00465821', '0.00970000', '1.92291899', '4.82946865']"
345,"['0.00027423', '0.00060426', '0.00001437', '0.00002000', '0.00030000', '0.00005666', '0.00011821', '0.00062652']"
346,['0.00202400']
347,"['0.00100000', '0.00200000', '0.00090000', '0.00087269', '0.00124100']"
348,"['0.00100000', '0.00261981', '0.00017188', '0.00002075', '0.00030000']"
349,"['0.00020000', '0.00110000', '0.00294160']"
350,"['0.00190000', '0.00020000', '0.00522141', '0.00190000', '0.00210500', '0.00579463', '0.00100000', '0.00100000', '0.00100000']"
351,"['0.00500000', '0.00450000', '0.00342500', '0.01149000', '0.00003192', '0.00204735', '0.04108462', '0.00743524']"
352,['2.89833517']
353,"['0.00207729', '0.00260000', '0.00212552', '0.00050000', '0.00841560', '0.00410000', '0.20000000', '0.00400000', '0.00679273', '0.20000000']"
354,"['0.00220000', '0.00793929']"
355,"['0.00013246', '0.00150000']"
356,['0.00340000']
357,"['0.02893347', '0.10000000', '0.00138864', '0.00100000', '0.01449659', '0.00005319', '0.00414937']"
358,['8.82000000']
359,"['0.01050420', '0.06000000', '0.00990000', '0.00640000', '0.01041666', '0.00290001']"
360,"['0.00500000', '0.01444003', '0.02000000', '0.04997950', '0.01070000']"
361,['0.00110000']
362,['0.00059456']
363,['0.00279498']
364,['0.00178487']
365,"['0.00040000', '0.00029600', '0.00127562', '0.00009030']"
366,['0.00590000']
367,['0.00620000']
368,"['0.00040000', '0.00040000', '0.00057637', '0.00090000']"
369,"['0.00026849', '0.00350000', '0.00935000']"
370,['0.00378707']
371,"['0.00004861', '0.00010000', '0.00011164', '0.00043403']"
372,['0.05000000']
373,"['0.01230000', '0.10000000', '0.00020930', '0.03257542', '0.00759000', '0.10000000', '0.01054340']"
374,"['0.00654000', '0.00500000', '0.02000000', '0.01849000', '0.30000000']"
375,"['0.00090000', '0.00250000', '0.00003500', '0.00168140', '0.00990000', '0.00100000']"
376,"['0.00090000', '0.00031395']"
377,"['0.00109998', '0.00094703']"
378,['0.00054110']
379,['0.00376342']
380,"['0.00003552', '0.00100000']"
381,"['0.00002783', '0.01000000', '0.00020650', '0.00090000', '0.00040000']"
382,['0.00090000']
383,"['0.00039268', '0.00019000']"
384,"['0.00007445', '0.00267794', '0.01090000', '0.01740000', '0.00986679', '0.01090000']"
385,"['0.00490000', '0.06956158', '0.00500000', '0.00500000', '0.25000000', '0.03156101']"
386,['0.10000000']
387,['0.05000000']
388,['0.00028000']
389,"['0.00001937', '0.01000000', '0.00040000']"
390,['0.19906713']
391,['8.80479045']
392,"['0.05990000', '0.00011100', '0.00100000', '0.02702703', '0.00006436', '0.00040000', '0.00104404', '0.00049998', '0.00006372', '0.00210588', '0.00100000', '0.00104916', '0.00250000', '0.00086473', '0.00000897', '0.00140000', '0.00100000']"
393,['0.00421683']
394,['0.00311212']
395,['0.00827097']
396,"['0.50000000', '0.02784502']"
397,"['0.10570824', '0.04000000', '0.01194000', '0.02000000', '0.50148775', '0.08320540']"
398,['0.00100000']
399,['0.00058000']
400,['0.00100000']
401,['0.01630678']
402,"['0.00010486', '0.00010000', '0.00000925']"
403,"['0.00007664', '0.00049587']"
404,"['0.00050000', '0.00200662']"
405,['0.00500000']
406,"['0.00006481', '0.00005939', '0.00200000', '0.01420053', '0.00590430', '0.00040000', '0.00051449', '0.00006169', '0.00000597', '0.00008236', '0.00005747', '0.00118400', '0.00010000', '0.00040000']"
407,"['0.00836500', '0.00290000', '0.00019859', '0.01119474', '0.02849115', '0.00199299', '0.01458546', '0.02885962', '0.05344091', '0.10000000']"
408,['0.00500000']
409,"['0.01000000', '0.00220000', '0.01000000', '0.03915644', '0.02100000', '0.00766402', '0.01000000']"
410,['0.00205800']
411,"['0.01300000', '0.00051449', '0.03826319', '0.03000000', '0.00269414', '0.00848688', '0.03000000', '0.00205800']"
412,"['0.09890576', '0.00115363']"
413,['0.01000000']
414,['0.50000000']
415,['0.04490000']
416,"['0.00006169', '0.00008339', '0.00100000', '0.08998882', '0.01000000', '0.00005154', '0.00010000', '0.00500000', '0.05000000', '0.02200000', '0.00956300', '0.00005500', '0.00060000', '0.00100000', '0.02057994', '0.08994977']"
417,"['0.27513323', '0.02489307']"
418,['0.00205800']
419,['0.00180431']
420,['0.00090000']
421,['0.00054370']
422,"['0.00018703', '0.00500000', '0.00144978', '0.00929808']"
423,['0.50000000']
424,"['0.01000000', '0.03982924', '0.01239744', '0.00653000', '0.01000000', '0.00025000', '0.00001894', '0.00100000']"
425,['0.10345969']
426,['0.03108035']
427,"['0.00020000', '0.00020746', '0.00025000', '0.00103700', '0.00002501', '0.00030000']"
428,"['0.01000000', '0.00200000', '0.00500000', '0.04501000']"
429,['0.00372964']
430,['0.00272409']
431,['0.00171704']
432,"['0.00015000', '0.00017000', '0.00071189']"
433,['0.00374752']
434,"['0.20000000', '0.00000947']"
435,['0.00150000']
436,['0.05000000']
437,['0.37783203']
438,['0.02115000']
439,['0.05000000']
440,['0.01039651']
441,['8.75478009']
442,['0.10000000']
443,['2.88697803']
444,['0.00039202']
445,['2.97960430']
446,['0.19980000']
447,['0.06881642']
448,['0.01984500']
449,['0.00025000']
450,['0.05000000']
451,['0.93558138']
452,"['0.01461974', '0.05000000', '0.01041232']"
453,['0.25000000']
454,['0.09957132']
455,['0.10416666']
456,['0.04929637']
457,['0.37677492']
458,['0.06809683']
459,"['0.01155000', '0.00208290']"
460,['0.37570727']
461,['0.02454384']
462,['0.24600857']
463,['0.04853077']
464,['0.01000771']
465,"['0.00400000', '0.00076951']"
466,"['0.00040000', '0.00020800', '0.00002317', '0.00010000', '0.00104060', '0.00088052', '0.10436234', '0.00025000', '0.00012726', '0.00002439', '0.01000000', '0.00071040', '0.00290000']"
467,['0.00104079']
468,['0.00020872']
469,['0.00028044']
470,['0.00029100']
471,"['0.00007631', '0.00005460', '0.00008760']"
472,"['0.01621225', '0.00003664', '0.00190000', '0.00185463', '0.00001218']"
473,['0.09990000']
474,"['0.00178983', '0.00080000', '0.00207400', '0.00010837', '0.00142296', '0.21153276', '0.00060000', '0.00000412']"
475,"['0.00417211', '0.00090000', '0.00482560', '0.03522440', '0.00090000', '0.00100000']"
476,"['0.00012190', '0.00100000', '0.00026656', '0.00049998', '0.04195496', '0.00100000', '0.00002042', '0.00208120', '0.00100000', '0.00208290']"
477,['0.00124378']
478,"['0.00023367', '0.00037310']"
479,['0.00187023']
480,['0.35316118']
481,"['0.00215000', '0.00059000', '0.00010000']"
482,['1.00000000']
483,['0.09153473']
484,"['0.08066294', '0.01152508', '0.00012872', '0.00002473']"
485,"['0.00097909', '0.00003383', '0.00220428', '0.00200000']"
486,"['0.00100000', '0.00030000', '0.00080000', '0.01867219', '0.00020000', '0.00001882', '0.00100000', '0.00100000', '0.00202861']"
487,"['0.00028257', '0.00084389', '0.00250000', '0.00200000', '0.00030495', '0.00221800', '0.00187114']"
488,"['0.00500000', '0.00481691', '0.00400000', '0.00798782']"
489,"['0.00300000', '0.08160847', '0.00100000', '0.00200000', '0.00140000', '0.00100000', '0.00200000', '0.00070000', '0.00022000', '0.00709287']"
490,['0.05000000']
491,['0.00116400']
492,"['0.00197628', '0.00049998', '0.00015327']"
493,"['0.00100000', '0.00100000', '0.00240000', '0.00625800', '0.22830530', '0.00142422', '0.00002228', '0.00416051', '0.00545556']"
494,['0.05469927']
495,"['0.00250000', '0.01900000', '0.00851600', '0.05000000']"
496,['0.27526571']
497,"['0.00642099', '0.00207955', '0.00190000', '0.01896000', '0.00065949']"
498,"['0.00416319', '0.00295113', '0.00122000', '0.03000000', '0.00490000', '0.00040058', '0.00090000', '0.00469125', '0.00024091', '0.00056005']"
499,"['0.00007554', '0.00800000', '0.00622407', '0.00685854', '0.00345636', '0.00040000']"
500,['0.00248667']
501,"['0.00982000', '0.01030594']"
502,"['0.00500000', '0.01000000', '0.00500000', '0.00053000', '0.00500000', '0.00980000', '0.00010000', '0.00148091', '0.00700000', '0.00400000', '0.00220000', '0.00001878']"
503,['0.10414930']
504,['0.00130000']
505,"['0.00029760', '0.00051349', '0.00020000']"
506,"['0.00100000', '0.00000248', '0.00576620', '0.00038096', '0.00050000', '0.00061268']"
507,"['0.00090000', '0.02068400', '0.00100000']"
508,['0.00042100']
509,['0.19886137']
510,['0.02079131']
511,"['0.00007226', '0.00026000', '0.00140000', '0.00100000', '0.00040000', '0.00100000', '0.00169662', '0.00106000', '0.00050000']"
512,['0.01000000']
513,"['0.03580000', '0.00021578', '0.00975259', '0.00424628']"
514,"['0.00571000', '0.01580000']"
515,"['0.00050106', '0.00107100', '0.00344105']"
516,"['0.00130000', '0.00052161', '0.00647720', '0.00070000', '0.00011920', '0.00213201', '0.00001583', '0.00151412', '0.00010000', '0.00653948', '0.00210925']"
517,"['0.07050647', '0.00933765', '0.00397000', '0.00190000', '0.01026670', '0.01229700', '0.00930000', '0.00170000']"
518,"['0.00100000', '0.00000100', '0.00400000']"
519,['0.02203000']
520,"['0.10000000', '0.01000000', '0.00002333', '0.01000000', '0.01000000', '0.01000000', '0.00100000', '0.00400000', '0.00500000']"
521,['0.00184806']
522,['0.94699327']
523,"['0.00004516', '0.00950000', '0.00500000', '0.02079564', '0.01000000', '0.05000000', '0.01000000']"
524,"['0.04158176', '0.01578073', '0.00019143', '0.05246000']"
525,['0.00155000']
526,['0.00024378']
527,"['0.01504962', '0.01726500', '0.03296782', '0.00290000', '0.18183785']"
528,"['0.00055754', '0.00003994', '0.00067183', '0.04989045', '0.00259000']"
529,['0.01990000']
530,['0.49949320']
531,['0.83556088']
532,"['0.01000000', '0.25254894']"
533,['0.09338908']
534,['0.01000000']
535,['0.22748526']
536,['0.10480422']
537,['0.00745848']
538,['0.08320888']
539,['0.03398990']
540,['0.10000000']
541,"['0.00070000', '0.00013732', '0.00007836']"
542,"['0.00700000', '0.08290135', '0.00012845']"
543,"['0.00020000', '0.22443657', '0.00390000', '0.01604660', '1.00010000', '8.75435844', '0.00097964']"
544,"['0.00003375', '0.00009382', '0.00010000', '0.00128100', '0.00020000', '0.00015000', '0.01070755', '0.00069715', '0.00070000', '0.00040000', '0.00080000']"
545,"['0.00017890', '0.00005466']"
546,"['0.00200000', '0.00102837', '0.00562132', '0.17993787', '0.00320034', '0.00200000', '0.00002747', '0.00200000', '0.00313728', '0.00106400']"
547,['0.00213656']
548,['0.00300000']
549,"['0.00455000', '0.00423208', '0.00099552', '0.00023161']"
