----BEGIN SIMULATION RESULTS----
Scenario: bustabit-tiny-hot-wallet_peak-and-tail
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-tiny-hot-wallet_peak-and-tail | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 |  |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.19439335 | 27.0140000000 | 25 | 267 | 444 | 233 | 1 | 202 | bnb: **30** ; knapsack: **1** ; Total: **31** | 0.00000400 | 4.99595187 | 0.413215194455 | 1.13821848724 | 0.00446632 | 0.0000191687553648 | 0.000170000000 | 0.004636320000 | 1 | 15 | 1.90557939914 | 2.07813198071 | knapsack: **118** ; srd: **85** ; bnb: **30** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.92747138 | 37.5010000000 | 61 | 594 | 871 | 406 | 1 | 338 | bnb: **65** ; knapsack: **3** ; Total: **68** | 0.00000285 | 8.80479045 | 0.415380079852 | 1.21608212004 | 0.00785279 | 0.0000193418472906 | 0.000414800000 | 0.008267590000 | 1 | 17 | 2.14532019704 | 2.21466833254 | knapsack: **204** ; srd: **137** ; bnb: **65** |
| bustabit-tiny-hot-wallet_peak-and-tail | 27.28359704 | 52.4653333333 | 123 | 961 | 1266 | 539 | 2 | 428 | bnb: **108** ; knapsack: **3** ; Total: **111** | 0.00000285 | 8.80479045 | 0.382678406589 | 1.17771563408 | 0.01100796 | 0.0000204229313544 | 0.000836400000 | 0.011844360000 | 1 | 17 | 2.34879406308 | 2.53687551736 | knapsack: **242** ; srd: **189** ; bnb: **108** |
| bustabit-tiny-hot-wallet_peak-and-tail | 19.66808575 | 63.2690000000 | 50 | 1316 | 1790 | 684 | 4 | 524 | bnb: **156** ; knapsack: **4** ; Total: **160** | 0.00000285 | 9.89975556 | 0.364536483550 | 1.19101881765 | 0.01373840 | 0.0000200853801170 | 0.000340000000 | 0.014078400000 | 1 | 65 | 2.61695906433 | 3.60243192521 | knapsack: **296** ; srd: **232** ; bnb: **156** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.29795764 | 64.1992000000 | 81 | 1682 | 2223 | 818 | 4 | 622 | bnb: **191** ; knapsack: **5** ; Total: **196** | 0.00000285 | 9.89975556 | 0.358035891061 | 1.18919777461 | 0.01640339 | 0.0000200530440098 | 0.000550800000 | 0.016954190000 | 1 | 65 | 2.71760391198 | 3.63812373524 | knapsack: **356** ; srd: **271** ; bnb: **191** |
| bustabit-tiny-hot-wallet_peak-and-tail | 18.38214158 | 63.9713333333 | 56 | 2008 | 2708 | 992 | 4 | 756 | bnb: **230** ; knapsack: **6** ; Total: **236** | 0.00000285 | 9.89975556 | 0.357565159802 | 1.19775989470 | 0.02066589 | 0.0000208325504032 | 0.000380800000 | 0.021046690000 | 1 | 65 | 2.72983870968 | 3.54523838565 | knapsack: **420** ; srd: **342** ; bnb: **230** |
| bustabit-tiny-hot-wallet_peak-and-tail | 26.40574383 | 64.6845714286 | 83 | 2415 | 3155 | 1085 | 4 | 823 | bnb: **256** ; knapsack: **6** ; Total: **262** | 0.00000285 | 9.89975556 | 0.346696344727 | 1.15396588799 | 0.02264671 | 0.0000208725437788 | 0.000564400000 | 0.023211110000 | 1 | 65 | 2.90783410138 | 3.87093238601 | knapsack: **455** ; srd: **374** ; bnb: **256** |
| bustabit-tiny-hot-wallet_peak-and-tail | 23.47368876 | 67.2535000000 | 89 | 2818 | 3611 | 1182 | 4 | 882 | bnb: **294** ; knapsack: **6** ; Total: **300** | 0.00000285 | 9.89975556 | 0.331275318016 | 1.11810025241 | 0.02529711 | 0.0000214019543147 | 0.000605200000 | 0.025902310000 | 1 | 65 | 3.05499153976 | 4.00290173643 | knapsack: **491** ; srd: **397** ; bnb: **294** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.35716144 | 68.9700000000 | 24 | 3213 | 4143 | 1287 | 4 | 954 | bnb: **324** ; knapsack: **9** ; Total: **333** | 0.00000285 | 9.89975556 | 0.316822330084 | 1.07841659967 | 0.02900250 | 0.0000225349650350 | 0.000163200000 | 0.029165700000 | 1 | 65 | 3.21911421911 | 4.37796420713 | knapsack: **526** ; srd: **437** ; bnb: **324** |
| bustabit-tiny-hot-wallet_peak-and-tail | 15.78147015 | 67.1194000000 | 53 | 3571 | 4585 | 1429 | 4 | 1067 | bnb: **353** ; knapsack: **9** ; Total: **362** | 0.00000285 | 9.89975556 | 0.309076096120 | 1.02884996071 | 0.03156636 | 0.0000220898250525 | 0.000360400000 | 0.031926760000 | 1 | 65 | 3.20853743877 | 4.29773048075 | knapsack: **589** ; srd: **487** ; bnb: **353** |
| bustabit-tiny-hot-wallet_peak-and-tail | 22.01853309 | 64.6852727273 | 56 | 3938 | 5052 | 1562 | 4 | 1170 | bnb: **383** ; knapsack: **9** ; Total: **392** | 0.00000285 | 9.89975556 | 0.329813290573 | 1.08348457599 | 0.03443462 | 0.0000220452112676 | 0.000380800000 | 0.034815420000 | 1 | 65 | 3.23431498079 | 4.32994139865 | knapsack: **647** ; srd: **532** ; bnb: **383** |
