id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5501
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4993
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4671
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4956
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,0.01564049,22,21,4434
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,2.99678910,21,21,1595
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2104
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,21,21,2467
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,21,21,2318
9,0.00650000,0.00003919,0.00018838,0.000188413461538,srd,2,0,2,2.99524991,22,21,3282
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,21,21,1474
11,0.00310000,0.00002186,0.00007917,0.0000792028985507,srd,3,0,2,0.00545012,28,26,1727
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,2292
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00110590,27,27,2438
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,27,26,720
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00199716,32,32,3788
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1733
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,3.99692843,33,33,5434
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.00997270,33,32,8150
