id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.00940000']
3,['0.00483000']
4,"['0.01569000', '0.00329400']"
5,['3.00000000']
6,['0.00066424']
7,['0.00312770']
8,['0.00329400']
9,"['2.99678910', '0.00500000']"
10,['0.00023909']
11,"['0.00794500', '0.00014860', '0.00047838']"
12,['0.00014860']
13,['0.00226680']
14,['0.00011747']
15,['0.00604529']
16,['0.00103200']
17,['4.00000000']
18,"['0.01564049', '0.00109000']"
19,['5.00000000']
20,['0.00100000']
21,['0.01570000']
22,"['0.00329600', '0.00050000']"
23,"['0.00329000', '0.00008392']"
24,['1.00000000']
25,['0.01451736']
26,['0.00997270']
27,['0.99573006']
28,['0.00390000']
29,"['0.00163501', '0.00010863', '0.00010000', '0.00110590', '0.00002077']"
30,"['0.01010000', '0.00100000', '0.00088600']"
31,['4.99881687']
32,['0.00331400']
33,['4.99547552']
34,"['0.00056976', '0.00000100', '0.00090000', '0.00000200', '0.00199716']"
35,['0.00100000']
36,['0.00329400']
37,"['0.00012379', '0.00300000', '0.00028851']"
38,"['0.00331400', '0.00007532']"
39,['0.00545012']
40,['0.00794998']
41,['0.00471755']
42,"['0.00139180', '0.00069425']"
43,['0.00862868']
44,['0.00540455']
45,['0.00211987']
46,"['0.00020000', '0.00005734']"
47,['0.00106333']
48,"['0.00018985', '0.00004960']"
49,"['0.00003068', '0.00009527', '0.00300000', '0.00011000']"
50,['0.00980000']
51,"['0.00034588', '0.00645292']"
52,['0.01000000']
53,['0.00667003']
54,['0.00333389']
55,['0.01000000']
56,['0.00667138']
57,['0.00366725']
58,['0.01000000']
59,"['0.00667010', '0.00076900']"
60,['0.00443257']
61,['0.01116258']
62,"['0.99233983', '0.00034660']"
63,['0.00783095']
64,['0.00449800']
65,['0.01300000']
66,['0.00966998']
67,"['0.00116239', '3.99692843']"
68,['0.00634127']
69,"['0.00301215', '0.00033631']"
70,"['0.00001827', '4.99210141']"
71,['0.02500000']
72,['0.02178221']
73,['0.01977193']
74,['0.01656238']
75,['0.01323161']
76,['0.00992719']
77,['0.00652885']
78,['4.98911403']
79,['0.03535793']
80,"['0.00100000', '0.00319531']"
81,['0.03202379']
82,['0.02269153']
83,['0.01935380']
84,['0.00910000']
85,['0.00576575']
86,['2.99524991']
87,"['0.00085828', '0.00109954']"
88,['0.00275830']
89,['0.01601869']
90,['0.01268119']
91,['0.01714000']
92,['0.00213637']
93,"['0.00935026', '0.00113314']"
94,['0.03000000']
95,"['0.00116387', '0.00011191', '0.00023044', '0.00010044', '0.00047824']"
96,['0.00300000']
97,['4.98576632']
98,['4.98474840']
99,['0.01780000']
100,['2.97476718']
101,['0.00480000']
102,"['0.00098946', '0.00080000', '0.00021816']"
103,"['0.00100000', '0.00100000', '0.00006080', '0.00100000']"
104,['0.01578860']
105,['0.03500000']
106,['0.98935044']
107,"['0.00100000', '0.00200000']"
108,"['0.00100000', '0.00004900']"
109,['0.00790000']
110,"['0.00007138', '0.00100000', '0.00004354']"
111,['0.00088510']
112,"['0.00297424', '0.00010000', '0.00107722']"
113,['0.00390000']
114,"['0.00171142', '0.00100000', '0.00100000', '0.00087643', '0.00079210']"
115,['0.00120000']
116,"['0.00040000', '0.00480000']"
117,['0.00018570']
118,"['0.00038011', '0.00200000', '0.00120000', '0.00200000']"
119,"['0.00004194', '0.00300000']"
120,"['0.00370000', '0.00300000', '0.00148132', '0.00006000', '0.00003365', '0.00008000', '0.00091371']"
121,"['0.00010000', '0.00100000', '0.00163049', '0.00228044']"
122,['0.00341677']
123,['0.01450000']
124,"['0.00290000', '0.03199355']"
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.00500000', '0.01000000', '0.00003425']"
127,"['0.00090000', '0.00025639', '0.00090000']"
128,['0.00169500']
129,['0.00360000']
130,['0.00800000']
131,['0.01478112']
132,"['0.00598768', '0.00002034', '0.00034550']"
133,"['0.00004718', '0.00464370', '0.00189102', '0.00444318']"
134,"['0.00270000', '0.00037219']"
135,"['0.00031467', '0.00480000', '0.00226500', '0.00049540', '0.00213902']"
136,['3.99474956']
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00454585']
140,"['0.00880000', '0.00500000']"
141,['4.96973616']
142,['2.97275983']
143,['0.00069882']
144,['0.00293884']
