Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19441757,27.9580000000,28,267,441,233,1,202,bnb: **28** ; knapsack: **3** ; Total: **31**,0.00000394,4.99881687,0.512417665446,1.30320451144,0.00444210,0.0000190648068670,0.000190400000,0.004632500000,1,15,1.89270386266,2.09094682044,knapsack: **119** ; srd: **86** ; bnb: **28**
bustabit-tiny-hot-wallet_peak-and-tail,23.92745862,36.9070000000,62,594,873,406,1,341,bnb: **61** ; knapsack: **4** ; Total: **65**,0.00000338,4.99881687,0.426117603490,1.12949414161,0.00786555,0.0000193732758621,0.000421600000,0.008287150000,1,17,2.15024630542,2.34643673925,knapsack: **203** ; srd: **142** ; bnb: **61**
bustabit-tiny-hot-wallet_peak-and-tail,27.28347624,51.8540000000,120,961,1272,539,2,431,bnb: **103** ; knapsack: **5** ; Total: **108**,0.00000338,8.74498229,0.439449722668,1.23928404520,0.01112876,0.0000206470500928,0.000816000000,0.011944760000,1,17,2.35992578850,2.65492962159,knapsack: **239** ; srd: **197** ; bnb: **103**
bustabit-tiny-hot-wallet_peak-and-tail,19.66794562,63.1595000000,51,1316,1794,684,4,529,bnb: **147** ; knapsack: **8** ; Total: **155**,0.00000338,9.91820414,0.406961988563,1.27163353802,0.01387853,0.0000202902485380,0.000346800000,0.014225330000,1,54,2.62280701754,3.46593635301,knapsack: **293** ; srd: **244** ; bnb: **147**
bustabit-tiny-hot-wallet_peak-and-tail,26.29758421,62.7292000000,66,1682,2242,818,4,626,bnb: **183** ; knapsack: **9** ; Total: **192**,0.00000338,9.91820414,0.366972981054,1.23361785408,0.01677682,0.0000205095599022,0.000448800000,0.017225620000,1,54,2.74083129584,3.55668492156,knapsack: **351** ; srd: **284** ; bnb: **183**
bustabit-tiny-hot-wallet_peak-and-tail,18.38166459,60.7290000000,51,2008,2721,992,4,764,bnb: **216** ; knapsack: **12** ; Total: **228**,0.00000317,9.91820414,0.369147963141,1.22706000593,0.02114288,0.0000213133870968,0.000346800000,0.021489680000,1,54,2.74294354839,3.43711718974,knapsack: **427** ; srd: **349** ; bnb: **216**
bustabit-tiny-hot-wallet_peak-and-tail,26.40530372,62.2645714286,88,2415,3159,1085,4,832,bnb: **240** ; knapsack: **13** ; Total: **253**,0.00000317,9.91820414,0.362610705481,1.19863143103,0.02308682,0.0000212781751152,0.000598400000,0.023685220000,1,54,2.91152073733,3.79472176525,knapsack: **466** ; srd: **379** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,23.47326806,65.9792500000,96,2818,3614,1182,4,892,bnb: **276** ; knapsack: **14** ; Total: **290**,0.00000317,9.91820414,0.346055797769,1.16108771088,0.02571781,0.0000217578764805,0.000652800000,0.026370610000,1,54,3.05752961083,3.97473903163,knapsack: **502** ; srd: **404** ; bnb: **276**
bustabit-tiny-hot-wallet_peak-and-tail,15.35676845,67.7020000000,23,3213,4153,1287,4,963,bnb: **308** ; knapsack: **16** ; Total: **324**,0.00000317,9.91820414,0.334404325504,1.12142795993,0.02939549,0.0000228403185703,0.000156400000,0.029551890000,1,54,3.22688422688,4.37650216875,knapsack: **541** ; srd: **438** ; bnb: **308**
bustabit-tiny-hot-wallet_peak-and-tail,15.78105196,65.5090000000,44,3571,4601,1429,4,1074,bnb: **339** ; knapsack: **16** ; Total: **355**,0.00000317,9.91820414,0.328238743268,1.08279273919,0.03198455,0.0000223824702589,0.000299200000,0.032283750000,1,54,3.21973407978,4.31408703993,knapsack: **607** ; srd: **483** ; bnb: **339**
bustabit-tiny-hot-wallet_peak-and-tail,22.01791795,63.2198181818,60,3938,5057,1562,4,1179,bnb: **367** ; knapsack: **16** ; Total: **383**,0.00000317,9.91820414,0.360045519754,1.16531594641,0.03504976,0.0000224390268886,0.000408000000,0.035457760000,1,54,3.23751600512,4.30625199608,knapsack: **666** ; srd: **529** ; bnb: **367**
bustabit-tiny-hot-wallet_peak-and-tail,20.44541428,61.2936666667,37,4278,5551,1722,4,1310,bnb: **396** ; knapsack: **16** ; Total: **412**,0.00000317,9.91820414,0.363368284076,1.16190785048,0.03824936,0.0000222121718931,0.000251600000,0.038500960000,1,54,3.22357723577,4.23941569298,knapsack: **741** ; srd: **585** ; bnb: **396**
bustabit-tiny-hot-wallet_peak-and-tail,20.92396238,60.2635384615,50,4650,6018,1850,4,1418,bnb: **416** ; knapsack: **16** ; Total: **432**,0.00000317,9.91820414,0.351477818491,1.12126860228,0.04104220,0.0000221849729730,0.000340000000,0.041382200000,1,54,3.25297297297,4.27208787385,knapsack: **808** ; srd: **626** ; bnb: **416**
bustabit-tiny-hot-wallet_peak-and-tail,27.28494316,59.2634285714,73,4990,6471,2010,4,1554,bnb: **440** ; knapsack: **16** ; Total: **456**,0.00000317,9.91820414,0.344235917420,1.08082500009,0.04473453,0.0000222559850746,0.000496400000,0.045230930000,1,54,3.21940298507,4.21062223591,knapsack: **876** ; srd: **694** ; bnb: **440**
bustabit-tiny-hot-wallet_peak-and-tail,17.00007859,57.8706666667,34,5335,6980,2165,4,1679,bnb: **469** ; knapsack: **17** ; Total: **486**,0.00000317,9.91820414,0.345819545116,1.05959218734,0.04735419,0.0000218726050808,0.000231200000,0.047585390000,1,54,3.22401847575,4.18696325438,knapsack: **942** ; srd: **754** ; bnb: **469**
bustabit-tiny-hot-wallet_peak-and-tail,12.92028549,55.8423750000,32,5654,7463,2346,4,1841,bnb: **486** ; knapsack: **19** ; Total: **505**,0.00000317,9.91820414,0.368677692059,1.11167092361,0.05088227,0.0000216889471441,0.000217600000,0.051099870000,1,54,3.18115942029,4.11829385080,knapsack: **1032** ; srd: **828** ; bnb: **486**
bustabit-tiny-hot-wallet_peak-and-tail,26.62701403,54.8128235294,46,5963,7926,2537,4,2009,bnb: **509** ; knapsack: **19** ; Total: **528**,0.00000317,9.91820414,0.370171984744,1.10572486967,0.05499708,0.0000216779976350,0.000312800000,0.055309880000,1,54,3.12416239653,4.04937433561,knapsack: **1119** ; srd: **909** ; bnb: **509**
