id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5501
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312970,22,22,4993
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00459029,22,22,4671
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00042453,22,22,4956
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,1.99667372,22,22,2956
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002824,22,21,2138
6,0.00040100,0.00002353,0.00017125,0.000213909090909,bnb,1,0,1,,21,20,1361
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,20,20,2467
8,0.00100000,0.00002720,0.00019288,0.000192907801418,knapsack,1,0,2,0.00226680,20,20,2318
9,0.00650000,0.00003919,0.00018838,0.000188413461538,knapsack,2,0,2,0.00004881,21,20,3282
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,3.99984483,20,20,1474
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,0.01257883,27,27,1193
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.00213897,28,28,2292
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,1.99551282,28,28,2438
14,0.00010200,0.00002624,0.00013210,0.000148248587571,bnb,2,0,1,,28,26,1525
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00078187,32,32,3788
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1733
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00702843,33,33,5434
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,3.99311918,33,33,5159
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.02381687,33,33,6245
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6921
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00584579,32,32,6211
