id,input_amounts
0,['0.00329000']
1,['0.00329600']
2,['0.00794500']
3,['0.00459029']
4,['2.00000000']
5,"['0.00312970', '0.00011747']"
6,['0.00042453']
7,['0.00329000']
8,['0.00329400']
9,"['0.00329400', '0.00329400']"
10,['4.00000000']
11,['0.01569000']
12,['0.00226680']
13,['1.99667372']
14,"['0.00002824', '0.00010000']"
15,['0.00483000']
16,['0.00103200']
17,['0.01010000']
18,['3.99984483']
19,['0.02500000']
20,['0.00100000']
21,['0.00702843']
22,['0.00213897']
23,['1.00000000']
24,['0.00980000']
25,"['0.00004881', '0.00331400']"
26,['0.00390000']
27,['0.00584579']
28,"['0.00187728', '0.00100000', '0.00014860']"
29,"['0.00050000', '0.00245556']"
30,['5.00000000']
31,['3.99311918']
32,['0.00331400']
33,['0.00553006']
34,"['0.00014860', '0.00056976', '0.00090000', '0.00064068', '0.00109000']"
35,['0.00078187']
36,"['0.00215595', '0.00000100', '0.00000200', '0.00100000']"
37,"['0.00329400', '0.00010863']"
38,"['0.00300000', '0.00047612']"
39,['0.00500000']
40,['0.00940000']
41,['0.00616757']
42,"['0.00020000', '0.00014414', '0.00166975']"
43,['0.01000000']
44,"['0.00284182', '0.02381687']"
45,['0.00300000']
46,"['0.00014701', '0.00006761']"
47,['0.00194346']
48,['0.00106998']
49,['0.00677587']
50,['0.00354544']
51,['0.01000000']
52,"['0.00331533', '0.00002089']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,['0.01257883']
57,['0.00957470']
58,['0.00624376']
59,"['0.00291386', '0.00011000']"
60,['0.01300000']
61,['0.00966697']
62,"['0.00076900', '0.03535793']"
63,['0.00633534']
64,"['0.00034660', '0.00300239']"
65,['0.01570000']
66,['0.01236998']
67,['0.00904127']
68,['0.00570203']
69,"['0.00086274', '0.00237291', '0.00019836']"
70,['0.02159827']
71,['0.01859444']
72,['0.01537665']
73,['0.01336637']
74,['0.01015682']
75,['0.00682605']
76,['0.00352163']
77,['0.03279094']
78,['0.02945740']
79,['0.02610969']
80,['0.02277555']
81,"['3.00000000', '0.00012329']"
82,['0.01944111']
83,['0.01610338']
84,['0.00910000']
85,['0.00576575']
86,['0.99664113']
87,['0.00275830']
88,['0.01276827']
89,['0.01011041']
90,['0.00677291']
91,['0.01714000']
92,"['0.00001072', '0.00100000']"
93,['0.03000000']
94,['0.00213637']
95,"['0.00000595', '0.97615840', '0.00103265']"
96,['0.00300000']
97,['4.99665849']
98,['2.99078900']
99,['0.00344198']
100,['1.99551282']
101,['2.97577676']
102,"['0.00001733', '0.00100000', '0.00100000']"
103,"['0.00000911', '0.00080000', '0.00107722', '0.00100000', '0.00012866']"
