id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5501
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00483370,22,22,4993
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4671
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4956
4,0.00329000,0.00005351,0.00025725,0.000257259615385,knapsack,2,0,2,0.00006396,22,21,4434
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00008310,21,21,1595
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,2104
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,21,21,2467
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,21,21,2318
9,0.00650000,0.00006481,0.00018838,0.000188401162791,srd,4,0,2,0.01330296,22,19,5300
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00211163,19,19,1474
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00018483,26,26,1193
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.99987217,27,27,2292
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00095073,27,27,2438
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00377937,27,27,1717
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,3.99595187,33,33,3788
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1733
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00176213,34,34,5434
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,2.99330617,34,33,8150
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00213087,33,33,6245
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6921
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.01212032,32,32,6211
22,0.00209300,0.00003787,0.00032686,0.000344272727273,bnb,1,0,1,,32,31,2142
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,3.99259300,31,31,2717
24,0.00424600,0.00003337,0.00016975,0.000188531073446,bnb,2,0,1,,31,29,2080
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00674522,29,29,2148
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00129128,29,29,2004
27,0.00337500,0.00001523,0.00010801,0.000108014184397,srd,1,0,2,0.01230977,29,29,1478
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.00678600,29,29,1392
29,0.00294600,0.00001476,0.00005283,0.0000602448979592,bnb,3,0,1,,29,26,438
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,1.99665849,27,27,1568
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,4.99330394,27,27,1557
32,0.00330000,0.00002511,0.00006361,0.0000659055118110,bnb,5,0,1,,27,22,883
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00337111,22,22,1189
