id,input_amounts
0,['0.00329000']
1,['0.00500000']
2,['5.00000000']
3,['0.00483000']
4,"['0.00011747', '0.00329000']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00329400']
9,"['0.01569000', '0.00064468', '0.00329400', '0.00023909']"
10,['0.00226680']
11,['0.00329600']
12,['1.00000000']
13,['0.00211163']
14,['0.00390000']
15,['4.00000000']
16,['0.00103200']
17,['0.00483370']
18,"['3.00000000', '0.00006396']"
19,['0.00331400']
20,['0.00100000']
21,['0.01330296']
22,['0.00213087']
23,['3.99595187']
24,"['0.00377937', '0.00050000']"
25,['0.01010000']
26,['0.00331400']
27,['0.01570000']
28,['0.00980000']
29,"['0.00109000', '0.00176213', '0.00010863']"
30,['2.00000000']
31,['4.99664529']
32,"['0.00095073', '0.00008310', '0.00010000', '0.00090000', '0.00129128']"
33,['0.00674522']
34,['0.00337111']
35,['0.01230977']
36,"['0.00014860', '0.00000100', '0.00100000', '0.00056976', '0.00014860', '0.00000200', '0.00018483', '0.00100000']"
37,['0.00678600']
38,['0.00345292']
39,['0.00794500']
40,['0.00461475']
41,['0.01000000']
42,"['0.00003296', '0.01300000']"
43,"['0.00300000', '0.00003423', '0.00020000']"
44,['0.00667425']
45,['0.00138232']
46,['0.00032578']
47,['0.00161558']
48,"['0.00012053', '0.00011000']"
49,"['0.00034660', '0.00300000']"
50,['0.00940000']
51,"['0.00074210', '0.00605292']"
52,"['0.01200402', '0.00011407']"
53,['0.00878576']
54,['0.00544962']
55,['0.01000000']
56,"['0.00012254', '0.00212003', '0.00076900']"
57,['0.00667138']
58,['0.00334044']
59,['0.01000000']
60,['0.00699557']
61,['0.00366254']
62,['0.01104218']
63,['0.00770876']
64,['0.00437581']
65,['0.01212032']
66,['0.00879030']
67,['0.00546159']
68,"['0.00033091', '0.00104020', '0.00212235']"
69,['0.02500000']
70,['0.02167148']
71,['0.01866765']
72,['0.01544986']
73,['0.01343958']
74,['0.01023003']
75,['0.00689926']
76,['0.00359484']
77,['0.03535793']
78,['0.03202439']
79,['0.02867668']
80,"['3.99259300', '0.00010813']"
81,['0.02534254']
82,['0.01601028']
83,['0.01267255']
84,['0.00910000']
85,['0.00576575']
86,['0.99987217']
87,['0.00275830']
88,['0.00933744']
89,['0.00667958']
90,['0.00334208']
91,['0.01714000']
92,"['0.00001054', '0.00100000']"
93,['0.03000000']
94,['0.00213637']
95,"['0.00103265', '0.00116387']"
96,['0.00300000']
97,['1.99665849']
98,['3.98936410']
99,['0.01999650']
100,"['0.00000577', '0.00002176', '0.00098946', '0.00100000']"
101,['0.00480000']
102,"['0.00100000', '0.00100000', '0.00001115']"
103,"['0.00021816', '0.00012866', '0.00018969', '0.00016039', '0.00107722', '0.00100000', '0.00019650', '0.00006080']"
104,"['0.00001033', '0.00100000']"
105,['0.00370000']
106,['1.99564057']
107,['0.01490000']
108,['0.00120000']
109,['3.97435186']
110,"['0.00019630', '0.00100000']"
111,['0.00069355']
112,['0.00800000']
113,['0.01450000']
114,"['0.00100000', '0.00270000', '0.00087643', '0.00080000']"
115,['0.00480000']
116,['0.01109159']
117,['0.01000000']
118,"['0.00228044', '0.00010000', '0.00120000', '0.00200000']"
119,"['0.00040000', '0.00171142', '0.00090000']"
120,"['0.00100000', '0.00390000', '0.00008000', '0.00200000', '0.00200000', '0.00018856', '0.00010000']"
121,"['0.00100000', '0.00378570', '0.00025639']"
122,['0.00790000']
123,"['0.00451748', '0.00985624']"
124,"['0.00500000', '0.00454585']"
125,['3.96942610']
126,"['0.00008807', '0.00360000', '0.00152398', '0.00003259', '0.00110000', '0.00444318', '0.00169500', '0.00091371', '0.00163049']"
127,['0.00290000']
128,"['0.00089529', '0.00090000']"
129,['0.00341677']
130,"['0.01000000', '0.00018896']"
131,['4.99330394']
132,"['0.00006000', '0.00044319', '0.00585554']"
133,"['0.00300000', '0.00000805', '0.00800000']"
134,['0.00300000']
135,"['0.00049540', '0.00213902', '0.00737602']"
136,['0.01139210']
137,['0.00226500']
138,"['0.00138576', '0.00024425', '0.00025978']"
139,['0.00300000']
140,"['0.00100000', '0.00464370', '0.00017913', '0.00480000', '0.00100000', '0.00139299']"
141,['0.00300000']
142,['0.97938944']
143,['0.00069882']
144,['0.00880000']
145,['0.01680000']
146,"['0.00024428', '0.00280000']"
147,"['0.00070000', '0.00099291']"
148,"['0.00200000', '0.00385998']"
149,"['0.00500000', '0.00180000', '0.00300000', '0.00002079']"
150,"['0.00500000', '0.00490000']"
151,"['0.00263338', '0.00017514', '0.00980000', '0.00600000', '0.00880000', '0.00600000', '0.00000791', '0.00500000', '0.00500000', '0.00668817', '0.00290000', '0.00009901', '0.00592000']"
152,['4.98719636']
153,"['0.97738374', '0.00900000']"
154,['0.01000000']
155,['0.00407572']
156,"['0.00040000', '0.01500000', '0.01780000', '0.00860000', '0.03500000', '0.01798510', '0.00969612', '0.00900000', '0.00754363']"
157,['0.00500000']
158,['0.00086916']
159,"['0.00142790', '0.04000000', '0.01990000', '0.00090000', '0.02000000', '0.01278990', '0.00500000']"
160,['2.99330617']
161,"['0.01000000', '0.00084400', '0.02959206', '0.05000000', '0.00963986']"
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,['0.00090000']
167,"['0.00098627', '0.00002022', '0.00001992', '0.00199320']"
168,"['0.01000000', '0.00000693']"
169,"['0.00006116', '0.00021000', '0.00017000', '0.00038000', '0.00020207']"
170,"['0.00800000', '0.00499505']"
171,"['0.00100000', '0.00040000']"
172,['0.00295828']
173,['0.02471042']
174,['0.03000000']
175,['0.02020658']
176,['0.93636840']
177,"['0.00090000', '0.00980000']"
178,['3.95941506']
179,['0.00168323']
180,['0.00131909']
181,['0.02499382']
182,['4.98517356']
183,['2.89329858']
184,['0.05000000']
185,['0.00095256']
186,['0.05000000']
187,['0.92616213']
188,['0.01466164']
189,['0.06000000']
190,['0.03886379']
191,['0.00318000']
192,['0.03300000']
