id,input_amounts
0,['0.00329000']
1,['4.00000000']
2,['3.99983370']
3,['0.00483000']
4,['0.00500000']
5,['0.00329000']
6,['3.00000000']
7,['0.00940000']
8,['0.00794500']
9,"['0.00329400', '0.00329400']"
10,['5.00000000']
11,['0.00329400']
12,['0.00329400']
13,"['0.00167372', '0.00007910']"
14,['0.00011747']
15,['0.00675068']
16,['0.00103200']
17,['2.99957485']
18,"['0.00014860', '0.00331400', '0.00331400']"
19,['2.00000000']
20,['0.00100000']
21,"['0.01010000', '0.00109000']"
22,['0.00691780']
23,['3.99647899']
24,"['0.01570000', '0.00010863']"
25,['0.00477871']
26,['0.00390000']
27,"['0.00329600', '0.00010000']"
28,"['0.00187728', '0.00057819', '0.00056976']"
29,['3.99312012']
30,"['0.00018283', '0.00316617']"
31,['0.01569000']
32,"['3.99016667', '0.00050000']"
33,['0.01000000']
34,"['0.00066424', '0.00270255', '0.00000100', '0.00000200']"
35,['0.00090000']
36,"['0.00100000', '0.00059425', '0.00142393']"
37,"['0.00100000', '0.00300000']"
38,['0.00662589']
39,"['0.00329551', '0.00004881']"
40,['0.00980000']
41,['0.00656757']
42,['0.00324182']
43,['0.00996809']
44,['0.00674396']
45,['0.00125322']
46,"['0.00019668', '0.00001253']"
47,"['0.00066498', '0.00020000', '0.00002566']"
48,"['0.00014860', '0.00011000']"
49,"['0.00034660', '0.00300000']"
50,['0.01000000']
51,"['0.00665292', '0.00004983']"
52,['0.01000000']
53,['0.00667003']
54,['0.00333389']
55,['0.01152732']
56,['0.00819870']
57,['0.00519457']
58,"['0.00168529', '0.00186363']"
59,['0.01234865']
60,['0.00934422']
61,"['2.99650328', '0.00021669']"
62,"['0.01300000', '0.00076900']"
63,['0.00601119']
64,['0.01043301']
65,['0.00709740']
66,['0.00376738']
67,['0.02500000']
68,['0.02166076']
69,['0.01833164']
70,"['0.00267824', '0.00043867']"
71,"['3.98735343', '0.00001287', '0.00011407']"
72,['0.01500312']
73,['0.01299284']
74,['0.00978329']
75,['0.00645252']
76,['0.03535793']
77,"['0.00100000', '0.00314810']"
78,['0.03195959']
79,['0.02861188']
80,['0.02527774']
81,['0.02194330']
82,['0.01261104']
83,['0.00927331']
84,['0.00593820']
85,['1.00000000']
86,['0.99699255']
87,['0.00260395']
88,['0.00910000']
89,['0.00644214']
90,"['0.00310464', '0.00081146']"
91,"['3.98425705', '0.00001586']"
92,"['0.00087830', '0.00058235']"
93,['0.01714000']
94,['0.00713650']
95,['0.00512879']
96,['0.00300000']
97,['0.00312416']
98,['1.99881687']
99,"['1.98380463', '0.00098946']"
100,['0.00210624']
101,['0.00480000']
102,"['0.00009889', '0.00100000', '0.00080000', '0.00011126']"
103,"['0.00100000', '0.00100000', '0.00100000', '0.00006080']"
104,['0.00480000']
105,"['0.00300000', '0.00004900']"
106,['2.99338614']
107,"['0.00116387', '0.00100000']"
108,"['0.00003949', '0.00100000']"
109,"['0.00100000', '0.00270000', '0.00003403', '0.00120000']"
110,"['0.00107722', '0.00004897']"
111,"['0.00045588', '0.00010000']"
112,"['0.01000000', '0.00087643']"
113,['2.99184932']
114,"['0.00001796', '0.00100000', '0.00040000', '0.00370000', '0.00021816', '0.00004852']"
115,['0.00120000']
116,"['1.98277727', '0.00390000']"
117,['0.00018570']
118,"['0.00228044', '0.00341677']"
119,"['0.00006000', '0.00200000', '0.00004194', '0.00091371']"
120,"['0.00025639', '0.00008000', '0.00500000', '0.00171142', '0.00012205', '0.00010000', '0.00200000']"
121,"['0.00163049', '0.00360000']"
122,['0.01780000']
123,"['0.03000000', '0.00100000']"
124,"['0.00300000', '0.00592000']"
125,"['0.00790000', '0.00290000']"
126,"['0.00090000', '0.00379252', '0.00454585', '0.00078372', '0.00090000', '0.00110000', '0.00300000']"
127,"['0.00200000', '0.00022333']"
128,['0.00169500']
129,['0.00444318']
130,['1.98295859']
131,"['0.00500000', '0.00089813', '0.00021639']"
132,"['0.00121537', '0.00034550', '0.00480000']"
133,['0.01109159']
134,['0.00464370']
135,"['0.00500000', '0.00001019', '0.00500000']"
136,"['0.00008743', '0.01000000']"
137,['0.00213902']
138,['0.00188795']
139,"['0.00100000', '0.00049540', '0.00013380']"
140,"['0.00100000', '0.00300000', '0.00001548', '0.00673260', '0.00226500']"
141,['0.00490000']
142,"['0.00200000', '0.00007808']"
143,['0.00069882']
144,"['0.00180000', '0.01441748']"
145,"['0.00018250', '0.00280000', '0.00600000', '0.00024428', '0.00006967']"
146,"['0.00289291', '0.00070000']"
147,['0.00300000']
148,['0.00600000']
149,"['0.00900000', '0.00055064', '0.00002786', '0.00024160']"
150,"['0.00500000', '0.00500000']"
151,"['0.00880000', '0.00000722', '0.00263338', '0.00027514', '0.00800000', '0.01680000', '0.00800000', '0.01450000']"
152,['2.98874142']
153,"['3.96926756', '0.02248182']"
154,['0.01000000']
155,"['0.00290000', '0.00040000']"
156,"['0.00009033', '0.03500000', '0.06000000', '0.01490000', '0.00969612', '0.00133049']"
157,['0.00500000']
158,['0.00090000']
159,"['0.00142790', '0.00900000', '0.00963986', '0.02000000', '0.00005076', '0.04000000', '0.01990000']"
160,['0.97650982']
161,"['0.00002022', '0.01000000', '0.01500000', '0.05000000', '0.01410004', '0.00090000', '0.01000000']"
162,['0.00700000']
163,"['0.00038000', '0.06000000']"
164,['0.00860000']
165,"['0.00199320', '0.00359242']"
166,"['0.00057831', '0.00021000']"
167,['0.00800000']
168,"['0.00008851', '0.00980000', '0.00017000']"
169,"['0.00100000', '0.00005101']"
170,"['0.00880000', '0.00084400', '0.00040000']"
171,['0.00499480']
172,['0.00361931']
173,['0.01000000']
174,"['0.00004667', '0.00500000']"
175,['0.07024500']
176,"['0.00250000', '0.00234426', '0.00549616']"
177,"['0.00090000', '0.00980000']"
178,['0.02471042']
179,['0.01000000']
180,['0.00963586']
181,['0.87650223']
182,['0.01403148']
183,['0.05000000']
184,['0.03964019']
185,['0.02850398']
186,['0.00318644']
187,['0.05900000']
188,['0.02959206']
189,['0.03000000']
190,['0.00244279']
191,['0.00318000']
192,['0.01541177']
193,"['0.00003756', '0.86617005']"
194,['0.09990000']
195,['0.01000000']
196,['2.98671862']
197,"['0.00012816', '0.00090000']"
198,['1.97684961']
199,['0.05000000']
200,['0.01000000']
201,['0.01000000']
202,"['0.00019185', '0.00888883']"
203,"['0.01883470', '0.01000000']"
204,['0.00400000']
205,['2.97116572']
206,"['0.01000000', '0.00050000', '0.00044827', '0.00500000', '0.00000502', '0.00297606']"
207,"['0.01000000', '0.01000000']"
208,['0.01000000']
209,['0.01000000']
210,"['0.00010000', '0.00014000']"
211,"['0.00180000', '0.00200000', '0.00037803', '0.00090000', '0.00006080', '0.00100000', '0.00111521', '0.00010000', '0.00229076', '0.00598365', '0.00099000', '0.00170000', '0.00002362']"
212,"['0.00180000', '0.00105068', '0.00390000', '0.00097600', '0.00290000', '0.01090000', '0.00990000', '0.06003763', '0.00597564', '0.00028000', '0.00229870']"
213,"['0.02400000', '0.00390000', '0.00005460', '0.00328264']"
214,['0.00039116']
215,"['0.00795187', '0.03300000', '0.01570000', '0.00004601', '0.00013614', '0.00899103', '0.00019558', '0.00900000']"
216,"['0.00005460', '0.01000000']"
217,"['0.01000000', '0.00004686', '0.01000000', '0.02000000', '0.01000000', '0.00900000', '0.03097240', '0.01000000']"
218,"['0.00193800', '0.02822530']"
219,['0.00881269']
220,['0.00860861']
221,"['0.01950000', '0.00006877', '0.01000000', '0.01030000', '0.00839747', '0.01000000', '0.05637093', '0.00969500']"
222,"['0.00096700', '0.00100000', '0.00926933', '0.02310000']"
223,['0.00038063']
224,"['0.00500000', '0.02700000']"
225,"['0.05000000', '0.00010000', '0.09980000', '0.00012668']"
