Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19428802,26.6580000000,23,267,447,233,1,203,bnb: **29** ; knapsack: **1** ; Total: **30**,0.00000502,4.99984483,0.385712723300,1.04562392850,0.00457165,0.0000196208154506,0.000156400000,0.004728050000,1,13,1.91845493562,1.74624059716,knapsack: **135** ; srd: **69** ; bnb: **29**
bustabit-tiny-hot-wallet_peak-and-tail,23.92724570,31.9940000000,40,594,897,406,1,343,bnb: **60** ; knapsack: **3** ; Total: **63**,0.00000309,8.81245391,0.381429558192,1.10658735499,0.00807847,0.0000198977093596,0.000272000000,0.008350470000,1,17,2.20935960591,2.31004485740,knapsack: **238** ; srd: **108** ; bnb: **60**
bustabit-tiny-hot-wallet_peak-and-tail,27.28331546,43.3346666667,101,961,1298,539,2,438,bnb: **96** ; knapsack: **5** ; Total: **101**,0.00000309,8.81245391,0.350137895205,1.02264577271,0.01128954,0.0000209453432282,0.000686800000,0.011976340000,1,17,2.40816326531,2.59689694784,knapsack: **284** ; srd: **159** ; bnb: **96**
bustabit-tiny-hot-wallet_peak-and-tail,19.66770868,45.3415000000,19,1316,1841,684,4,544,bnb: **133** ; knapsack: **7** ; Total: **140**,0.00000309,8.81245391,0.333155898824,0.996001894621,0.01411547,0.0000206366520468,0.000129200000,0.014244670000,1,49,2.69152046784,3.45095543854,knapsack: **357** ; srd: **194** ; bnb: **133**
bustabit-tiny-hot-wallet_peak-and-tail,26.29748219,42.9040000000,49,1682,2285,818,4,652,bnb: **158** ; knapsack: **8** ; Total: **166**,0.00000309,9.98993440,0.351874950491,1.05563009630,0.01687884,0.0000206342787286,0.000333200000,0.017212040000,1,49,2.79339853301,3.56579774071,knapsack: **429** ; srd: **231** ; bnb: **158**
bustabit-tiny-hot-wallet_peak-and-tail,18.38148321,42.6116666667,26,2008,2778,992,4,796,bnb: **185** ; knapsack: **11** ; Total: **196**,0.00000309,9.98993440,0.370465039083,1.17277304718,0.02132426,0.0000214962298387,0.000176800000,0.021501060000,1,49,2.80040322581,3.51707379958,knapsack: **522** ; srd: **285** ; bnb: **185**
bustabit-tiny-hot-wallet_peak-and-tail,26.40503237,43.6308571429,56,2415,3224,1085,4,865,bnb: **207** ; knapsack: **13** ; Total: **220**,0.00000309,9.98993440,0.351563083064,1.12978989682,0.02335817,0.0000215282672811,0.000380800000,0.023738970000,1,49,2.97142857143,3.82168437751,knapsack: **571** ; srd: **307** ; bnb: **207**
bustabit-tiny-hot-wallet_peak-and-tail,23.47292512,45.9715000000,57,2818,3692,1182,4,931,bnb: **238** ; knapsack: **13** ; Total: **251**,0.00000309,9.98993440,0.333028160720,1.09264141335,0.02606075,0.0000220480118443,0.000387600000,0.026448350000,1,49,3.12351945854,4.03120408818,knapsack: **622** ; srd: **322** ; bnb: **238**
bustabit-tiny-hot-wallet_peak-and-tail,15.35657859,48.0853333333,20,3213,4202,1287,4,1009,bnb: **263** ; knapsack: **15** ; Total: **278**,0.00000309,9.98993440,0.319018834262,1.05328745658,0.02958535,0.0000229878399378,0.000136000000,0.029721350000,1,49,3.26495726496,4.32528908163,knapsack: **666** ; srd: **358** ; bnb: **263**
bustabit-tiny-hot-wallet_peak-and-tail,15.78074305,47.5512000000,24,3571,4673,1429,4,1126,bnb: **288** ; knapsack: **15** ; Total: **303**,0.00000309,9.98993440,0.310062260782,1.02213759819,0.03229346,0.0000225986424073,0.000163200000,0.032456660000,1,49,3.27011896431,4.29315575426,knapsack: **747** ; srd: **394** ; bnb: **288**
