id,input_amounts
0,['0.00329000']
1,['1.00000000']
2,"['0.00011747', '0.00329000']"
3,['0.00483000']
4,"['0.00002392', '0.00331400']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00500000']
9,"['0.00329400', '0.00329400']"
10,['0.00940000']
11,['0.00329600']
12,['0.01000000']
13,['0.02500000']
14,['5.00000000']
15,"['0.00010000', '0.00397280']"
16,['0.00103200']
17,"['0.00794500', '0.00010863']"
18,['0.01570000']
19,"['0.00014860', '0.00494805']"
20,['0.00100000']
21,['2.00000000']
22,['3.00000000']
23,['0.01000000']
24,"['0.00924483', '0.00023909']"
25,"['0.00004881', '0.00331400']"
26,['0.00897435']
27,['0.00987217']
28,['0.01010000']
29,"['0.00109000', '0.00100000', '0.00008310', '0.00064468', '0.00014860']"
30,['0.00387403']
31,['0.00390000']
32,['0.00520261']
33,['4.99987937']
34,"['0.00055865', '0.00090000', '0.00000100', '0.00189364', '0.00000200']"
35,['0.00050000']
36,['0.00648194']
37,"['0.00300000', '0.00018483', '0.00019425']"
38,['0.00347645']
39,['0.00664113']
40,['0.00331088']
41,['0.00695163']
42,"['0.00014607', '0.00007845', '0.00100000', '0.00004210', '0.00053252', '0.00020000']"
43,['0.00362588']
44,['0.00708600']
45,['0.00202733']
46,['0.00040175']
47,['0.00097079']
48,"['0.00009731', '0.00019650']"
49,"['0.00034660', '0.00300000']"
50,['0.00980000']
51,"['0.00645292', '0.00011407', '0.00011000', '0.00008504']"
52,['0.01000000']
53,['0.00667003']
54,['0.00333389']
55,['0.01300000']
56,['0.00967138']
57,['0.00666725']
58,"['0.03535793', '0.00056976']"
59,['0.00333631']
60,"['0.00033188', '4.00000000']"
61,['0.01569000']
62,['0.01235837']
63,['0.00902495']
64,['0.00569200']
65,"['0.00076900', '0.03259546']"
66,['0.02383910']
67,['0.02051039']
68,['0.01717115']
69,['0.01384203']
70,['0.01051351']
71,['0.00750968']
72,['0.00235639']
73,['0.00429189']
74,"['4.99650526', '0.00108234']"
75,['0.03003205']
76,['0.02672763']
77,['0.02332929']
78,['0.01999575']
79,['0.01664804']
80,['0.01331390']
81,['0.00997946']
82,['0.99983370']
83,['0.99649597']
84,['0.00910000']
85,['0.00576575']
86,['0.99316086']
87,"['0.00100000', '0.00034611', '0.00064720']"
88,['0.00275830']
89,['0.01714000']
90,['0.01380250']
91,['0.97267813']
92,['0.01047157']
93,['0.03000000']
94,['0.00946834']
95,['0.00746063']
96,['0.00300000']
97,['0.01999650']
98,"['0.01897858', '0.01490000']"
99,['0.00480000']
100,"['0.00116387', '0.95767450']"
101,['2.99786091']
102,"['0.00080000', '0.00007064', '0.00006080', '0.00098946', '0.00010044']"
103,"['0.00000907', '0.00300000']"
104,['0.00107722']
105,"['0.00026418', '0.00278860']"
106,['2.99327907']
107,['0.00390000']
108,"['0.00004327', '0.00100000']"
109,"['0.00003781', '0.00370000', '0.00120000']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00000655', '0.00100000', '0.00171142', '0.00087643', '0.00049501', '0.00006974']"
113,"['0.00010000', '0.00444318']"
114,"['0.00100000', '0.00200000', '0.00040000', '0.00200000']"
115,['0.00200000']
116,"['0.00100000', '0.00002211', '0.00270000']"
117,['0.00098570']
118,"['0.00454585', '0.00100000', '0.00009442']"
119,"['0.00006278', '0.00091371', '0.00100000', '0.00006000', '0.00100000']"
120,"['0.00178990', '0.00143153', '0.00002008', '0.00163049', '0.00090000', '0.00341677', '0.00008000']"
121,"['0.00228044', '0.00090000', '0.00084194', '0.00100000']"
122,['0.00360000']
123,['2.99174225']
124,['4.99425409']
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00464370', '0.00169500', '0.00290000', '0.00545600', '0.00021748', '0.00001054', '0.00010000']"
127,['0.00300000']
128,['0.00480000']
129,['0.00345050']
130,"['0.00490000', '0.00099529', '0.00022269']"
131,['0.00790000']
132,"['0.00179242', '0.00480000']"
133,['0.01109159']
134,"['0.00024437', '0.00025639', '0.00226500']"
135,"['0.01000000', '0.00000643']"
136,"['0.00500000', '0.00008743', '0.00500000']"
