Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19426675,26.0520000000,23,267,448,233,1,204,bnb: **28** ; knapsack: **1** ; Total: **29**,0.00000399,4.99987937,0.308035981569,0.993375030619,0.00459292,0.0000197121030043,0.000156400000,0.004749320000,1,13,1.92274678112,1.85766056305,knapsack: **144** ; srd: **61** ; bnb: **28**
bustabit-tiny-hot-wallet_peak-and-tail,23.92715450,32.2320000000,48,594,891,406,1,345,bnb: **59** ; knapsack: **2** ; Total: **61**,0.00000339,8.81935990,0.265690524232,0.936701699251,0.00816967,0.0000201223399015,0.000326400000,0.008496070000,1,16,2.19458128079,2.27689851800,knapsack: **246** ; srd: **101** ; bnb: **59**
bustabit-tiny-hot-wallet_peak-and-tail,27.28311645,42.4786666667,91,961,1313,539,2,443,bnb: **93** ; knapsack: **3** ; Total: **96**,0.00000339,8.81935990,0.294868310316,1.09421798494,0.01148855,0.0000213145640074,0.000618800000,0.012107350000,1,16,2.43599257885,2.64453625704,knapsack: **295** ; srd: **151** ; bnb: **93**
bustabit-tiny-hot-wallet_peak-and-tail,19.66752073,48.3100000000,20,1316,1847,684,4,551,bnb: **128** ; knapsack: **5** ; Total: **133**,0.00000339,9.93998776,0.274305361561,1.08815172897,0.01430342,0.0000209114327485,0.000136000000,0.014439420000,1,53,2.70029239766,3.49053519277,knapsack: **373** ; srd: **183** ; bnb: **128**
bustabit-tiny-hot-wallet_peak-and-tail,26.29721311,45.7268000000,50,1682,2287,818,4,655,bnb: **156** ; knapsack: **7** ; Total: **163**,0.00000339,9.93998776,0.260138817389,1.03950100211,0.01714792,0.0000209632273839,0.000340000000,0.017487920000,1,53,2.79584352078,3.61164068407,knapsack: **448** ; srd: **214** ; bnb: **156**
bustabit-tiny-hot-wallet_peak-and-tail,18.38132418,45.1150000000,34,2008,2777,992,4,803,bnb: **181** ; knapsack: **8** ; Total: **189**,0.00000317,9.93998776,0.279676848207,1.07043506657,0.02148329,0.0000216565423387,0.000231200000,0.021714490000,1,53,2.79939516129,3.51371532650,knapsack: **535** ; srd: **276** ; bnb: **181**
bustabit-tiny-hot-wallet_peak-and-tail,26.40488636,47.6057142857,64,2415,3224,1085,4,873,bnb: **204** ; knapsack: **8** ; Total: **212**,0.00000317,9.93998776,0.271006470905,1.03746495479,0.02350418,0.0000216628387097,0.000435200000,0.023939380000,1,53,2.97142857143,3.85891815682,knapsack: **582** ; srd: **299** ; bnb: **204**
bustabit-tiny-hot-wallet_peak-and-tail,23.47268653,50.2492500000,57,2818,3701,1182,4,940,bnb: **234** ; knapsack: **8** ; Total: **242**,0.00000317,9.93998776,0.258940709,1.00293285175,0.02629934,0.0000222498646362,0.000387600000,0.026686940000,1,53,3.13113367174,4.11258516208,knapsack: **630** ; srd: **318** ; bnb: **234**
bustabit-tiny-hot-wallet_peak-and-tail,15.35637750,51.8237777778,21,3213,4208,1287,4,1016,bnb: **261** ; knapsack: **10** ; Total: **271**,0.00000317,9.93998776,0.250634928150,0.967920655576,0.02978644,0.0000231440870241,0.000142800000,0.029929240000,1,53,3.26961926962,4.37345325810,knapsack: **676** ; srd: **350** ; bnb: **261**
bustabit-tiny-hot-wallet_peak-and-tail,15.78054111,50.9200000000,29,3571,4678,1429,4,1136,bnb: **283** ; knapsack: **10** ; Total: **293**,0.00000317,9.93998776,0.244290199331,0.922695483786,0.03249540,0.0000227399580126,0.000197200000,0.032692600000,1,53,3.27361791463,4.35343447561,knapsack: **757** ; srd: **389** ; bnb: **283**
