id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5433
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4925
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,4.99664529,22,22,4603
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4888
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.00607372,22,22,2888
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.00473410,22,22,1527
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,2036
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,22,22,2399
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226880,22,22,2250
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,3.99347343,23,23,2205
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,23,23,1406
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,2.99688883,30,30,1125
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,2224
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00110790,31,31,2370
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,652
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00202559,36,36,3720
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1665
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00702843,37,37,5366
18,0.00665800,0.00010169,0.00047972,0.000574519774011,bnb,2,0,1,,37,35,7474
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01451687,35,35,6177
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6853
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00211136,34,34,6143
22,0.00209300,0.00006799,0.00032686,0.000326875000,srd,2,0,2,4.99538430,34,33,5460
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00664113,33,33,2649
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.99573006,33,33,2022
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,1.99664522,33,33,2080
26,0.00200000,0.00003351,0.00016108,0.000161105769231,srd,2,0,2,0.00298726,33,32,2692
27,0.00337500,0.00002292,0.00010801,0.000129491525424,bnb,2,0,1,,32,30,1158
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,srd,1,0,2,0.01267600,30,30,1324
29,0.00294600,0.00002259,0.00005283,0.0000592913385827,bnb,5,0,1,,30,25,337
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00665849,26,26,1500
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00933465,26,26,1489
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,26,25,792
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,srd,1,0,2,0.00642589,25,25,1121
34,0.00333400,0.00000812,0.00002942,0.0000294202898551,knapsack,3,0,2,0.00012552,28,26,355
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00026401,26,26,744
36,0.00300100,0.00001094,0.00003180,0.0000318023255814,knapsack,4,1,2,0.00007906,26,23,287
37,0.00332900,0.00001407,0.00002890,0.0000574285714286,bnb,3,0,1,,24,21,265
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00008354,21,20,401
39,0.00332700,0.00000479,0.00002302,0.0000230288461538,knapsack,2,0,2,0.00004575,20,19,386
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00006157,19,19,722
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00057425,19,19,745
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00443729,20,20,664
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00121316,20,20,630
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00158246,22,22,598
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00005136,23,23,800
46,0.00020000,0.00000774,0.00003719,0.0000372115384615,knapsack,2,0,2,0.00003801,23,22,622
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00033968,22,22,656
48,0.00020400,0.00000633,0.00002292,0.0000229347826087,knapsack,3,0,2,0.00001260,23,21,200
49,0.00322600,0.00000653,0.00003136,0.0000313942307692,knapsack,2,0,2,0.00010715,21,20,526
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00331141,20,20,627
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00034376,20,20,669
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00001709,20,19,590
53,0.00332500,0.00001643,0.00007896,0.0000789903846154,srd,2,0,2,0.01151920,19,18,1319
54,0.00332500,0.00001342,0.00003255,0.0000325728155340,knapsack,5,0,2,0.00004104,18,14,191
55,0.00332500,0.00000362,0.00002561,0.0000256737588652,knapsack,1,0,2,0.00600603,14,14,595
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00300190,14,14,631
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00666906,14,14,617
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00333916,14,14,685
59,0.00300000,0.00001450,0.00003138,0.0000819209039548,knapsack,2,0,1,,14,12,522
60,0.00332700,0.00001216,0.00004272,0.000110545454545,bnb,1,0,1,,12,11,696
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00818757,11,11,666
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00485415,11,11,720
63,0.00332900,0.00000395,0.00002798,0.0000280141843972,knapsack,1,0,2,0.00152120,11,11,618
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00966439,11,11,735
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00633437,11,11,230
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00300566,11,11,137
67,0.00333500,0.00000626,0.00003005,0.0000300961538462,knapsack,2,0,2,0.00118560,11,10,24
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.02167088,10,10,151
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.01834236,10,10,109
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01533853,10,10,131
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01212074,10,10,268
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01011046,11,11,598
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00690091,11,11,547
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00357014,11,11,282
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00026572,11,11,186
76,0.00339300,0.00000534,0.00003786,0.0000378723404255,knapsack,1,0,2,0.03195959,11,11,251
