id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['5.00000000']
3,['0.00483000']
4,['0.00940000']
5,['0.00794500']
6,['0.00066424']
7,['0.00312770']
8,['0.00329600']
9,['4.00000000']
10,['0.00023909']
11,['3.00000000']
12,['0.00014860']
13,['0.00226880']
14,['0.00011747']
15,['0.00607372']
16,['0.00103200']
17,['0.01010000']
18,"['0.00202559', '0.00473410']"
19,['0.01570000']
20,['0.00100000']
21,['0.00329400']
22,"['4.99664529', '0.00090000']"
23,['0.01000000']
24,['1.00000000']
25,['2.00000000']
26,"['0.00500000', '0.00002077']"
27,"['0.00331400', '0.00008392']"
28,['0.01569000']
29,"['0.00010863', '0.00014860', '0.00211136', '0.00010000', '0.00050000']"
30,['0.01000000']
31,['0.01267600']
32,['0.00331400']
33,['0.00980000']
34,"['0.00298726', '0.00000200', '0.00047838']"
35,['0.00056976']
36,"['0.00100000', '0.00109000', '0.00100000', '0.00000100']"
37,"['0.00300000', '0.00026401', '0.00007906']"
38,"['0.00012552', '0.00329000']"
39,"['0.00329400', '0.00008354']"
40,['0.00329400']
41,['0.00390000']
42,['0.00642589']
43,['0.00443729']
44,['0.00664113']
45,['0.00110790']
46,"['0.00004575', '0.00020000']"
47,['0.00121316']
48,"['0.00006157', '0.00005136', '0.00011000']"
49,"['0.00033968', '0.00300000']"
50,['0.00665849']
51,['0.00702843']
52,"['0.00331141', '0.00003801']"
53,"['0.00034376', '0.01451687']"
54,"['0.00057425', '0.00034660', '0.00010715', '0.00158246', '0.00076900']"
55,['0.00933465']
56,['0.00600603']
57,['0.01000000']
58,['0.00666906']
59,"['0.00300190', '0.00001260']"
60,['0.00333916']
61,['0.01151920']
62,['0.00818757']
63,['0.00485415']
64,['0.01300000']
65,['0.00966439']
66,['0.00633437']
67,"['0.00152120', '0.00300566']"
68,['0.02500000']
69,['0.02167088']
70,['0.01834236']
71,['0.01533853']
72,['0.01212074']
73,['0.01011046']
74,['0.00690091']
75,['0.00357014']
76,['0.03535793']
77,['0.03195959']
78,['0.02862605']
79,['0.02527834']
80,"['0.00118560', '3.99347343']"
81,['0.02194420']
82,['0.01261194']
83,['0.00927421']
84,['0.00593910']
85,"['0.00100000', '0.00260485']"
86,"['1.99664522', '0.00026572']"
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.01380907', '0.00137899']"
92,['0.03000000']
93,['0.02899677']
94,['0.01899327']
95,['0.01698556']
96,['0.00300000']
97,['0.99573006']
98,"['0.00004104', '0.01498093']"
99,"['2.99688883', '0.00100000']"
100,['4.99538430']
101,['0.00480000']
102,"['0.00100000', '0.00059386', '0.00018271', '0.00001709', '0.00021816']"
103,"['0.00080000', '0.00116387', '0.00006080', '0.00098946']"
104,['0.00107722']
105,"['0.00006974', '0.00100000', '0.00100000', '0.00100000']"
106,['0.00200000']
107,['0.99471214']
108,"['0.00100000', '0.00005402']"
109,"['0.00100000', '0.00270000', '0.00120000', '0.00004856']"
110,['0.00120000']
111,"['0.00046318', '0.00009442']"
112,"['0.00200000', '0.00005024', '0.00010000', '0.00200000']"
113,['0.00370000']
114,"['0.00480000', '0.00059210']"
115,['0.00500000']
116,"['0.00341677', '0.00040000']"
117,['0.00087643']
118,"['0.00454585', '0.00002089', '0.00100000', '0.00001452']"
119,"['0.00228044', '0.00073267']"
120,"['0.00010000', '0.00398570', '0.00500000', '0.00009809', '0.00008000']"
121,"['0.00300000', '0.00171142', '0.00006000', '0.00025639']"
122,"['0.00592000', '0.00169500']"
123,"['0.00800000', '0.00290000']"
124,['0.01450000']
125,"['0.00001597', '0.01000000']"
126,"['0.00091371', '0.00360000', '0.00238182', '0.00090000', '0.00110000', '0.00090000', '0.00422890', '0.00100000']"
127,['0.00300000']
128,['0.00163049']
129,['0.00648517']
130,['4.99337695']
131,['1.97642549']
132,"['0.00325736', '0.00028099', '0.00300000']"
133,"['0.00099529', '0.00018767', '0.00500000', '0.00490000']"
134,['0.00390000']
135,"['0.00500000', '0.00444318', '0.00007282', '0.00049540']"
136,"['0.00790000', '0.00213902']"
137,"['0.00100000', '0.00114425']"
138,['0.00226500']
139,['0.00300000']
140,"['0.00069882', '0.00139299', '0.00600000', '0.00480000', '0.00013655']"
141,['0.00464370']
142,"['0.00200000', '0.00001619']"
